municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,28,28
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,61,61
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,48,48
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8278,8278
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,36,36
"COLCHA ""K""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
COLLANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,208,208
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,20,20
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
COMANCHE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,23,23
COPACABANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
CORO CORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
COROICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
CORQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
COTAGAITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,15,15
COTOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,58,58
CUATRO CAÑADAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,80,80
CUEVO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
CULPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,28,28
CURAHUARA DE CARANGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
DESAGUADERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,34,34
EL ALTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,665,665
EL CHORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7,7
EL TORNO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,20,20
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6440,6440
EUREKA (SANTOS MERCADO),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,18,18
EXALTACION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
FILADELFIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,22,22
GENERAL SAAVEDRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,159,159
GUAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,16,16
GUTIERREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
HUACARETA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
ICHOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
ICLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,17,17
INCAHUASI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,27,27
INQUISIVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,37,37
IRUPANA (VILLA DE LANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,58,58
JESUS DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
LA ASUNTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,32,32
LA GUARDIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,48,48
LA PAZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4213,4213
LAGUNILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
LAJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,17,17
LAS CARRERAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
LICOMA PAMPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
LLALLAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,86,86
MACHACAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
MAGDALENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,23,23
MAIRANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
MALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
MAPIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,268,268
MINEROS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,49,49
MIZQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,83,83
MOJOCOYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
MONTEAGUDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,40,40
MONTERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1077,1077
MORO MORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
MOROCHATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,62,62
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
OCURI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,37,37
OKINAWA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,21,21
OMEREQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
ORURO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,583,583
PADCAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,41,41
PADILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,9,9
PAILON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,37,37
PALCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
PALOS BLANCOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,97,97
PAMPA GRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,29,29
PASORAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,13,13
PATACAMAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
PAZÑA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
PELECHUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
POCOATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,76,76
POCONA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
POJO (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
POROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
PORONGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,33,33
PORTACHUELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,60,60
PORVENIR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
POTOSI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,122,122
PRESTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,33,33
PUCARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,49,49
PUERTO ACOSTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,37,37
PUERTO CARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
PUERTO PEREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
PUERTO QUIJARRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,17,17
PUERTO RICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
PUERTO SUAREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,269,269
PUERTO VILLARROEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,740,740
PUNA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,34,34
PUNATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,206,206
QUILLACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,319,319
QUIME,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,44,44
REYES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
RIBERALTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,426,426
ROBORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,66,66
RURRENABAQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,48,48
SACABA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,746,746
SACABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,20,20
SACACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
SAIPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
SAMAIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,28,28
SAN ANDRES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,25,25
SAN ANTONIO DE LOMERIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
SAN BENITO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,119,119
SAN BORJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
SAN BUENA VENTURA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,12,12
SAN CARLOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,203,203
SAN IGNACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7,7
SAN IGNACIO DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,32,32
SAN JAVIER(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,13,13
SAN JOAQUIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,24,24
SAN JUAN DE YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,66,66
SAN JULIAN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,62,62
SAN LORENZO(PND),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
SAN LORENZO(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
SAN LUCAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,98,98
SAN MATIAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,107,107
SAN MIGUEL DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
SAN PEDRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,116,116
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
SAN PEDRO DE TIQUINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
SAN RAFAEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
SAN RAMON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,12,12
SANTA ANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7059,7059
SANTA ROSA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
SANTA ROSA DEL SARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,24,24
SANTIVAÑES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
SAPAHAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
SENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
SICA SICA (VILLA AROMA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
SIPE SIPE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,13,13
SORACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
SORATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,80,80
SUCRE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,868,868
TACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
TACACOMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,31,31
TACOBAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,12,12
TACOPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,20,20
TAPACARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,6,6
TARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,15,15
TARACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
TARIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,829,829
TARVITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
TEOPONTE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,228,228
TIAWANACU,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
TINGUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,65,65
TIPUANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,47,47
TIQUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,122,122
TIRAQUE (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,317,317
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
TOLATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,241,241
TOMAVE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,29,29
TOMINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
TORO TORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,33,33
TOTORA(CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,16,16
TRINIDAD,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,465,465
TUPIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,46,46
TURCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,5,5
UMALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
UNCIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,48,48
VACAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,75,75
VALLEGRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
VIACHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,29,29
VILLA MONTES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,240,240
VILLA NUEVA (LOMA ALTA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
VILLA RIVERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,16,16
VILLA SERRANO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,3,3
VILLA TUNARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,614,614
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,8,8
VILLAZON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,10,10
VINTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,18,18
VITICHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,2,2
WARNES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,103,103
YACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,4,4
YACUIBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,178,178
YAMPARAEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
YANACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,1,1
YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,359,359
YOTALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,7,7
ZUDAÑEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-01-01,19,19
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,417,417
ACHOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,27,27
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,176,176
ALALAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,4,4
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,22,22
ANCORAIMES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,6,6
ANTEQUERA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,2,2
ANZALDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,220,220
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,325,325
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,367,367
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,153,153
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,33,33
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,12,12
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,211,211
AUCAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,5,5
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,3,3
AYO AYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,238,238
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,20,20
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,172,172
BELEN DE URMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,13,13
BELLA FLOR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,6,6
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,18,18
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,2,2
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,272,272
BOYUIBE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,11,11
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,228,228
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,20,20
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,90,90
"CAIZA ""D""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,2,2
CAJUATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,4,4
CALACOTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,5,5
CALAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,11,11
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,43,43
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,9,9
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,75,75
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,188,188
CAQUIAVIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,3,3
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,3409,3409
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,9,9
CARIPUYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,15,15
CHACARILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,32,32
CHALLAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,7,7
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,7,7
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,10,10
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,985,985
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,49,49
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,9,9
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,386,386
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,161,161
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,8846,8846
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,575,575
COLLANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,4,4
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,382,382
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,7,7
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,4,4
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,63,63
COMANCHE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,8,8
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-02-01,7,7
