,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,0,5
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1663,26,1689
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,21,1,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,12,7,19
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,95,0,95
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,2,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,31,19,50
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,68,9,77
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,1,8
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,3,3
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,1,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,1,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,1,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,4,20
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,9,2,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,29,4,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,10,17
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,16,27
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,6,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,99,12,111
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,20,14,34
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,2,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,5,8
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,42,1,43
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,9,0,9
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,3,7
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,6,8
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,2,7
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,7,12
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,9,13
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,19,9,28
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,0,2
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,11,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,7,14
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,20,6,26
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,21,2,23
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,75,15,90
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,168,2,170
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1248,9,1257
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,3,11
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,20,6,26
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,67,25,92
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,9,1,10
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,4,4
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,0,6
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,2,7
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,18,14,32
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,1,16
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,30,0,30
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,14,29
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,48,16,64
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,47,21,68
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,18,6,24
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,10,17
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,47,2,49
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,234,1,235
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,12,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,7,9
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,3,4
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,13,20,33
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,23,2,25
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,10,13
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,590,0,590
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,4,19
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,17,2,19
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,50,8,58
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,17,10,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,41,5,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,0,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,6,9
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,33,2,35
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,0,8
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,14,11,25
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,25,35
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,6,16
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,1,17
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,0,10
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,25,3,28
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,9,13,22
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,2,12
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,42,0,42
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,1,11
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,504,13,517
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,10,11
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,3,6
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,34,22,56
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,12,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,17,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,3,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,0,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,30,15,45
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,0,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,35,3,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,113,5,118
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,17,20,37
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,54,0,54
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,221,6,227
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,5,9
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,11,21
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,22,5,27
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,252,26,278
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,22,1,23
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,27,0,27
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,256,11,267
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,2,8
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,28,14,42
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,3,2,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,8,12
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,17,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,1,4,5
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,1,7
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,6,3,9
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,15,1,16
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,89,6,95
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,13,0,13
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,43,2,45
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,35,7,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,115,22,137
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,1,8
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,44,0,44
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,10,1,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,32,0,32
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,78,34,112
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,11,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,22,4,26
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,28,27,55
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,23,2,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,23,0,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,25,25,50
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2,7,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,12,3,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,10,15
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,37,0,37
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,2571,39,2610
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,11,0,11
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,33,1,34
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,0,5,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,9,5,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,7,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,1,6
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,1,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,4,0,4
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,7,6,13
SENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,8,1,9
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,25,3,28
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,18,20,38
SICAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,5,2,7
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2013-01-01,70,1,71
