,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1529,18,1547
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,1,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,1,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,3,17
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,96,2,98
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,0,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,25,19,44
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,56,8,64
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,0,5
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,4,18
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,0,4
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,2,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,1,15
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,5,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,29,5,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,12,19
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,18,13,31
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,7,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,73,13,86
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,15,12,27
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,3,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,6,10
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,43,3,46
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,0,8
HUARINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,4,13
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,3,4
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,2,6
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,3,7
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,4,8
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,6,14
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,0,3
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,7,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,10,8,18
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,9,28
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,4,16
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,65,18,83
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,161,9,170
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1232,37,1269
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,0,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,2,26
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,0,7
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,48,29,77
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,0,3
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,14,15
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,3,10
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,0,8
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,4,10
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,19,5,24
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,18,0,18
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,0,24
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,7,15
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,42,10,52
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,41,15,56
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,3,14
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,0,3
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,3,6
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,33,2,35
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,211,0,211
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,10,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,4,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,2,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,18,27
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,23,2,25
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,6,9
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,547,3,550
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,7,21
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,1,13
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,44,12,56
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,25,12,37
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,33,2,35
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,4,10
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,32,3,35
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,0,8
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,3,11
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,5,14
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,5,13
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,17,5,22
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,13,2,15
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,25,5,30
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,7,14
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,1,9
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,47,0,47
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,1,10
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,4,0,4
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,413,8,421
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,6,9
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,28,17,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,14,19
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,5,10
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,2,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,2,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,29,20,49
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,15,1,16
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,30,13,43
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,105,3,108
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,16,10,26
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,43,2,45
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,4,7
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,210,14,224
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,8,10,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,0,3
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,9,16
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,18,9,27
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,184,49,233
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,3,27
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,28,0,28
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,1,2
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,273,17,290
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,0,6
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,13,22
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,5,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,11,2,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,1,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,17,2,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,3,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,7,13
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,4,11
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,96,4,100
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,10,22
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,64,6,70
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,39,11,50
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,102,22,124
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,2,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,0,20
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,31,0,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,12,4,16
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,96,30,126
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,11,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,33,2,35
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,18,26,44
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,13,33
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,27,0,27
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,1,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,24,24,48
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,4,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,2,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,9,3,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,13,16
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,21,0,21
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,34,0,34
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2605,50,2655
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,14,2,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,3,23
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,5,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,1,5,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,2,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,0,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,3,0,3
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,4,9
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,6,0,6
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,53,5,58
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,20,19,39
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-01-01,5,2,7
