,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1871,34,1905
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,3,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,1,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,12,7,19
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,95,0,95
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,2,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,32,19,51
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,69,10,79
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,1,9
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,3,3
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,1,4
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,1,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,4,20
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,9,2,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,29,4,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,11,18
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,11,16,27
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,6,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,104,3,107
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,20,14,34
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,11,2,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,5,8
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,45,4,49
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,9,0,9
HUARINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,3,8
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,5,7
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,2,7
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,7,12
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,9,13
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,20,10,30
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,12,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,7,14
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,23,12,35
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,2,23
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,87,19,106
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,174,2,176
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1333,16,1349
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,3,11
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,22,7,29
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,70,25,95
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,9,1,10
LORETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,14,14
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,0,6
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,2,7
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,14,32
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,1,16
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,0,30
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,14,29
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,50,16,66
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,47,20,67
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,6,24
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,12,20
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,49,1,50
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,243,1,244
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,11,12,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,6,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,3,5
OCURI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,13,21,34
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,24,2,26
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,9,12
ORURO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,646,1,647
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,4,19
PADILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,17,2,19
PAILON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,58,11,69
PALCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,20,11,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,40,5,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,0,21
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,6,9
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,43,2,45
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,0,8
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,14,11,25
POCOATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,25,35
POCONA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,6,16
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,1,17
POOPO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,11,0,11
PORCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,32,4,36
POROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,9,13,22
PORONGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,2,12
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,44,0,44
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,1,11
POTOSI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,547,13,560
PRESTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,10,11
PUCARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,3,6
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,36,22,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,12,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,17,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,3,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,0,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,15,45
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,14,3,17
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,35,3,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,116,5,121
PUNA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,17,20,37
PUNATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,53,0,53
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,220,7,227
QUIME,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,20,9,29
RAVELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,12,10,22
REYES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,25,5,30
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,289,27,316
ROBORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,21,1,22
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,33,0,33
SABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
SACABA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,269,14,283
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,2,8
SACACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,15,45
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,4,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,9,13
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,17,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,1,4,5
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,1,8
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,3,9
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,1,16
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,101,6,107
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,13,0,13
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,45,4,49
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,36,7,43
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,119,22,141
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,6,1,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,44,0,44
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,1,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,34,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,0,15
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,80,34,114
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,15,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,24,5,29
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,30,32,62
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,24,2,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,23,0,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,25,26,51
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,2,7,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,12,3,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,10,15
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,31,0,31
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3179,50,3229
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,15,0,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,37,1,38
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,0,5,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,6,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,7,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,1,6
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,1,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,0,3
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,7,6,13
SENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,9,1,10
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,46,4,50
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,24,21,45
SICAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,5,2,7
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,98,1,99
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,6,16
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,8,7,15
SORATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,10,14,24
SUCRE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,568,14,582
TACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2013-01-01,3,0,3
