,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1581,30,1611
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,4,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,16,2,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,20,2,22
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,101,2,103
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,0,7
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,33,13,46
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,69,8,77
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,9,13
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,2,12
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,2,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,3,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,3,30
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,5,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,23,0,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,12,15
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,18,10,28
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,5,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,77,1,78
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,21,12,33
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,1,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,2,5
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,65,0,65
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,0,6
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,4,7
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,1,1
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,0,4
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,6,7
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,8,17
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,12,4,16
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,9,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,12,27
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,16,11,27
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,1,12
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,87,18,105
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,178,6,184
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1385,11,1396
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,3,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,21,6,27
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,72,25,97
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,1,3
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,15,15
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,11,16
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,5,15
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,26,11,37
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,18,1,19
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,37,1,38
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,13,7,20
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,45,10,55
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,46,16,62
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,7,22
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,2,6
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,40,6,46
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,260,2,262
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,1,6
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,20,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,3,5
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,12,14,26
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,28,2,30
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,5,8
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,612,3,615
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,32,6,38
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,1,16
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,47,14,61
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,16,14,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,31,3,34
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,1,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,24,0,24
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,5,8
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,53,5,58
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,0,7
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,7,12
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,6,16
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,7,18
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,20,1,21
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,0,6
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,28,7,35
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,10,19
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,2,13
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,32,0,32
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,0,4
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,471,12,483
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,19,28
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,17,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,12,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,13,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,1,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,9,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,30,11,41
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,2,10
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,23,6,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,80,4,84
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,30,15,45
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,48,0,48
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,4,9
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,204,11,215
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,14,8,22
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,14,10,24
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,26,2,28
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,217,41,258
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,18,0,18
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,37,0,37
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,2,8
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,235,11,246
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,4,8
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,9,12,21
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,3,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,14,19
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,5,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,12,0,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,7,14
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,16,4,20
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,105,2,107
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,3,30
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,39,6,45
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,40,12,52
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,116,22,138
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,4,8
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,27,0,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,11,3,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,34,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,13,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,86,26,112
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,7,12,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,22,2,24
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,37,62
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,12,37
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,25,0,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,35,0,35
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,23,32,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,3,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,3,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,1,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,12,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2686,63,2749
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,20,0,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,32,3,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,6,6,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,6,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,2,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,4,0,4
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,5,10
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,10,0,10
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,35,5,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,16,20,36
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,3,2,5
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,87,0,87
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,5,4,9
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,8,6,14
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,15,10,25
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-01-01,532,14,546
