,group,variable,month,BCG,BCG,TOTALES
HUARINA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,7,7
HUATAJATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,1,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,2,2
HUMANATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,4,9
ICHOCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,9,11
ICLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,9,3,12
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,11,28
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,11,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2013-01-01,3,7,10
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,10,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,5,15
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,72,13,85
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2013-01-01,110,7,117
LA PAZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,1736,3,1739
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,2,5
LAJA,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,12,27
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2013-01-01,60,56,116
LLICA,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,0,6
LORETO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,10,10
LURIBAY,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,1,3
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
MACHARETI,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,3,8
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,16,24
MAIRANA,vacunaciones en menores de 1 ano,bcg,2013-01-01,21,0,21
MALLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
MAPIRI,vacunaciones en menores de 1 ano,bcg,2013-01-01,20,0,20
MECAPACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,2,19
MINEROS,vacunaciones en menores de 1 ano,bcg,2013-01-01,46,0,46
MIZQUE,vacunaciones en menores de 1 ano,bcg,2013-01-01,37,30,67
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,14,7,21
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2013-01-01,46,2,48
MONTERO,vacunaciones en menores de 1 ano,bcg,2013-01-01,295,0,295
MORO MORO,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,6,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2013-01-01,2,4,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2013-01-01,1,3,4
OCURI,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,9,24
OKINAWA,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,0,12
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,2,7
ORURO,vacunaciones en menores de 1 ano,bcg,2013-01-01,758,0,758
PADCAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,3,13
PADILLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,24,0,24
PAILON,vacunaciones en menores de 1 ano,bcg,2013-01-01,45,19,64
PALCA,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,10,21
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2013-01-01,28,8,36
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,11,11
PASORAPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,31,0,31
PAZÑA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,2,6
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,1,4
POCOATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,18,22
POCONA,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,4,10
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2013-01-01,3,2,5
POOPO,vacunaciones en menores de 1 ano,bcg,2013-01-01,12,0,12
PORCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,18,5,23
POROMA,vacunaciones en menores de 1 ano,bcg,2013-01-01,9,7,16
PORONGO,vacunaciones en menores de 1 ano,bcg,2013-01-01,13,7,20
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2013-01-01,47,0,47
PORVENIR,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,2,6
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
POTOSI,vacunaciones en menores de 1 ano,bcg,2013-01-01,540,3,543
PRESTO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,11,13
PUCARANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,25,20,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,24,27
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,13,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,4,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,8,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,1,18
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,4,6
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,44,3,47
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2013-01-01,121,2,123
PUNA,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,21,32
PUNATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,79,0,79
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2013-01-01,244,0,244
QUIME,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,14,14
RAVELO,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,13,30
REYES,vacunaciones en menores de 1 ano,bcg,2013-01-01,24,3,27
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,309,3,312
ROBORE,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,0,15
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2013-01-01,42,1,43
SABAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,1,4
SACABA,vacunaciones en menores de 1 ano,bcg,2013-01-01,243,3,246
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,0,5
SACACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,28,16,44
SAIPINA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,4,8
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,1,5
SAN AGUSTIN,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,1,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,4,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,8,10
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,2,7
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2013-01-01,100,18,118
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,1,20
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2013-01-01,39,7,46
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2013-01-01,32,5,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,130,16,146
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2013-01-01,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2013-01-01,27,0,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,2,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2013-01-01,45,0,45
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,0,10
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2013-01-01,75,23,98
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2013-01-01,5,18,23
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2013-01-01,9,2,11
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,28,21,49
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,30,0,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,10,0,10
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2013-01-01,16,1,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,31,22,53
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,11,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,2,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,4,9
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,1,16
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2013-01-01,52,0,52
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2013-01-01,2281,154,2435
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,3,14
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2013-01-01,21,6,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,12,18
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,7,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,2,8
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,2,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,1,2
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,9,11
SENA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,0,4
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2013-01-01,45,1,46
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2013-01-01,15,18,33
SICAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,2,2
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2013-01-01,49,1,50
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,6,13
SORACACHI,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,3,6
SORATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,14,9,23
SUCRE,vacunaciones en menores de 1 ano,bcg,2013-01-01,510,4,514
TACACHI,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
TACACOMA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,3,11
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,7,8
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,9,12
TAHUA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,bcg,2013-01-01,20,9,29
TARABUCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,19,9,28
TARACO,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,0,5
TARATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,3,10
TARIJA,vacunaciones en menores de 1 ano,bcg,2013-01-01,468,1,469
TARVITA,vacunaciones en menores de 1 ano,bcg,2013-01-01,17,4,21
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,10,17
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2013-01-01,15,7,22
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,18,18,36
TIPUANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,1,8
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2013-01-01,100,8,108
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2013-01-01,19,12,31
TOCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,5,11
TOLATA,vacunaciones en menores de 1 ano,bcg,2013-01-01,7,2,9
TOLEDO,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,3,5
TOMAVE,vacunaciones en menores de 1 ano,bcg,2013-01-01,3,12,15
TOMINA,vacunaciones en menores de 1 ano,bcg,2013-01-01,8,2,10
TORO TORO,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,2,13
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2013-01-01,24,3,27
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2013-01-01,7,1,8
TRIGAL,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2013-01-01,337,2,339
TUPIZA,vacunaciones en menores de 1 ano,bcg,2013-01-01,68,15,83
TURCO,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,3,8
UMALA,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,1,2
UNCIA,vacunaciones en menores de 1 ano,bcg,2013-01-01,26,7,33
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2013-01-01,9,1,10
URUBICHA,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,0,5
UYUNI,vacunaciones en menores de 1 ano,bcg,2013-01-01,38,6,44
VACAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,2,12,14
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2013-01-01,24,2,26
VIACHA,vacunaciones en menores de 1 ano,bcg,2013-01-01,81,8,89
VILA VILA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,2,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2013-01-01,11,15,26
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2013-01-01,82,1,83
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,6,10
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,0,5
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2013-01-01,173,16,189
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2013-01-01,9,3,12
VILLAZON,vacunaciones en menores de 1 ano,bcg,2013-01-01,63,1,64
VINTO,vacunaciones en menores de 1 ano,bcg,2013-01-01,81,0,81
VITICHI,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,8,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,1,2
WARNES,vacunaciones en menores de 1 ano,bcg,2013-01-01,162,4,166
YACO,vacunaciones en menores de 1 ano,bcg,2013-01-01,1,6,7
YACUIBA,vacunaciones en menores de 1 ano,bcg,2013-01-01,149,14,163
YAMPARAEZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,9,0,9
YANACACHI,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,3,3
YAPACANI,vacunaciones en menores de 1 ano,bcg,2013-01-01,80,4,84
YOCALLA,vacunaciones en menores de 1 ano,bcg,2013-01-01,6,6,12
YOTALA,vacunaciones en menores de 1 ano,bcg,2013-01-01,4,1,5
YUNCHARA,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,9,9
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,bcg,2013-01-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,bcg,2013-01-01,5,3,8
ACACIO,vacunaciones en menores de 1 ano,bcg,2013-02-01,7,1,8
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2013-02-01,28,17,45
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2013-02-01,5,6,11
AIQUILE,vacunaciones en menores de 1 ano,bcg,2013-02-01,31,8,39
ALALAY,vacunaciones en menores de 1 ano,bcg,2013-02-01,1,3,4
ALCALA,vacunaciones en menores de 1 ano,bcg,2013-02-01,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2013-02-01,21,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2013-02-01,11,8,19
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2013-02-01,4,1,5
