,group,variable,month,NEUMOCÓCICA 1RA. DOSIS,NEUMOCÓCICA 1RA. DOSIS,TOTALES
TEOPONTE,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,36.0,9.0,45.0
TIAWANACU,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,35.0,11.0,46.0
TIPUANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,5.0,13.0
TRIGAL,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,0.0,1.0
TRINIDAD,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,11.0,0.0,11.0
UMALA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,3.0,3.0,6.0
UNCIA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,0.0,4.0,4.0
VIACHA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,8.0,0.0,8.0
YACO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,1.0,0.0,1.0
YANACACHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,9.0,2.0,11.0
YAPACANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-11-01,146.0,25.0,171.0
ACHACACHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,79.0,25.0,104.0
ACHOCALLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,10.0,23.0
ALCALA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,6.0,2.0,8.0
ALTO BENI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,80.0,2.0,82.0
ANCORAIMES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,18.0,8.0,26.0
ANZALDO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,0.0,2.0,2.0
APOLO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,22.0,7.0,29.0
AUCAPATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,12.0,18.0,30.0
AYO AYO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,12.0,0.0,12.0
AZURDUY,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,8.0,15.0,23.0
BATALLAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,5.0,18.0
BUENA VISTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,34.0,0.0,34.0
CAIROMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,46.0,15.0,61.0
CAJUATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,34.0,0.0,34.0
CALACOTO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,3.0,4.0
CAMARGO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,29.0,0.0,29.0
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,5.0,5.0,10.0
CAPINOTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,3.0,4.0
CAQUIAVIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,43.0,4.0,47.0
CARANAVI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,252.0,18.0,270.0
CATACORA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,4.0,0.0,4.0
CHACARILLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
CHARAÑA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
CHUA COCANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,7.0,6.0,13.0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,52.0,6.0,58.0
CHUMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,39.0,24.0,63.0
CLIZA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,1.0,4.0
COBIJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,0.0,9.0
COLLANA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,7.0,8.0
COLQUIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,28.0,66.0,94.0
COMANCHE,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,7.0,0.0,7.0
COMARAPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
COMBAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,7.0,10.0,17.0
COPACABANA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,17.0,3.0,20.0
CORIPATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,35.0,0.0,35.0
CORO CORO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,12.0,5.0,17.0
CULPINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,38.0,11.0,49.0
CURVA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,11.0,24.0
DESAGUADERO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,26.0,3.0,29.0
EL ALTO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3506.0,263.0,3769.0
EL VILLAR,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
ESCOMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,23.0,4.0,27.0
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,8.0,18.0,26.0
GUANAY,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,17.0,16.0,33.0
GUAQUI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,5.0,11.0,16.0
HUACARETA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,15.0,12.0,27.0
HUARINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,6.0,5.0,11.0
HUATAJATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,12.0,0.0,12.0
HUMANATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,4.0,2.0,6.0
ICHOCA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,7.0,22.0,29.0
INCAHUASI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,49.0,17.0,66.0
INQUISIVI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,18.0,38.0,56.0
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,24.0,15.0,39.0
IXIAMAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,22.0,0.0,22.0
JESUS DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,41.0,2.0,43.0
LA ASUNTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,174.0,13.0,187.0
LA PAZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,2535.0,0.0,2535.0
LAJA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,30.0,10.0,40.0
LAS CARRERAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,14.0,5.0,19.0
LURIBAY,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,7.0,16.0
MACHARETI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,34.0,28.0,62.0
MALLA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,0.0,2.0,2.0
MAPIRI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,87.0,2.0,89.0
MECAPACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,2.0,11.0
MOCOMOCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,19.0,21.0,40.0
MOJOCOYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,19.0,3.0,22.0
MONTEAGUDO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,170.0,14.0,184.0
MONTERO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,2.0,0.0,2.0
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,2.0,0.0,2.0
PALCA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,7.0,2.0,9.0
PALOS BLANCOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,129.0,56.0,185.0
PAPEL PAMPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,19.0,7.0,26.0
PATACAMAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,24.0,0.0,24.0
PELECHUCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,5.0,0.0,5.0
PORTACHUELO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,0.0,3.0
PORVENIR,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,11.0,1.0,12.0
POTOSI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,0.0,3.0
PRESTO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,4.0,1.0,5.0
PUCARANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,63.0,22.0,85.0
PUERTO ACOSTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,17.0,56.0,73.0
PUERTO CARABUCO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,12.0,7.0,19.0
PUERTO PEREZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,29.0,42.0
PUERTO RICO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,0.0,18.0,18.0
QUIABAYA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,12.0,25.0
QUIME,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,20.0,6.0,26.0
RAVELO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
SAN AGUSTIN,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,9.0,22.0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,23.0,0.0,23.0
SAN CARLOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,33.0,2.0,35.0
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,4.0,7.0
SAN JULIAN,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
SAN LUCAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,42.0,34.0,76.0
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,14.0,11.0,25.0
SAN RAMON SCZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,43.0,5.0,48.0
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,10.0,4.0,14.0
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,11.0,14.0,25.0
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,5.0,12.0,17.0
SAPAHAQUI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,11.0,1.0,12.0
SENA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,11.0,13.0,24.0
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,17.0,4.0,21.0
SOPACHUY,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,12.0,21.0
SORATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,15.0,18.0
SUCRE,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,303.0,0.0,303.0
TACACOMA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,1.0,10.0
TARACO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,0.0,3.0
TARATA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,0.0,9.0
TARVITA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,13.0,16.0,29.0
TEOPONTE,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,38.0,13.0,51.0
TIAWANACU,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,42.0,9.0,51.0
TIPUANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,51.0,9.0,60.0
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,2.0,3.0,5.0
TOMINA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,21.0,22.0,43.0
TRINIDAD,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,3.0,0.0,3.0
UMALA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,9.0,0.0,9.0
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,5.0,11.0,16.0
VIACHA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,16.0,10.0,26.0
VILLA CHARCAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,36.0,19.0,55.0
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,43.0,30.0,73.0
VILLAZON,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,55.0,0.0,55.0
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,4.0,0.0,4.0
YACO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,24.0,25.0,49.0
YAMPARAEZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,24.0,12.0,36.0
YANACACHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,10.0,3.0,13.0
YAPACANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,1.0,0.0,1.0
YUNCHARA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,0.0,1.0,1.0
ZUDAÑEZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2013-12-01,27.0,15.0,42.0
