,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,4,10
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,1,9
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1446,27,1473
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,4,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,2,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,16,2,18
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,87,2,89
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,0,7
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,33,14,47
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,70,5,75
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,8,12
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,10,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,2,5
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,2,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,26,3,29
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,5,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,21,0,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,12,15
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,18,10,28
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,5,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,79,2,81
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,21,10,31
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,0,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,2,5
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,61,0,61
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,0,6
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,2,5
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,1,1
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,0,3
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,5,6
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,8,17
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,4,16
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,9,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,12,27
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,7,22
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,80,19,99
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,159,3,162
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1324,12,1336
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,3,10
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,20,5,25
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,67,22,89
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,1,3
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,3,4
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,11,16
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,10,5,15
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,23,9,32
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,17,1,18
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,37,1,38
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,7,19
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,43,7,50
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,45,17,62
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,7,22
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,2,6
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,38,6,44
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,244,2,246
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,1,6
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,20,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,3,5
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,14,26
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,1,31
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,5,8
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,572,2,574
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,33,5,38
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,1,16
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,40,16,56
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,14,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,27,3,30
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,19,0,19
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,5,8
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,35,5,40
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,0,7
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,8,11
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,10,6,16
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,7,18
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,17,1,18
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,0,6
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,8,38
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,10,19
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,12,2,14
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,33,0,33
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,0,3
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,427,14,441
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,19,28
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,21,16,37
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,11,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,13,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,1,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,8,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,11,41
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,2,10
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,23,6,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,82,4,86
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,15,45
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,48,0,48
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,4,9
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,191,8,199
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,7,7
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,9,24
REYES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,26,1,27
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,182,14,196
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,18,0,18
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,29,0,29
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,6,2,8
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,223,13,236
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,4,8
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,9,11,20
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,14,21
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,5,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,0,11
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,7,14
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,15,4,19
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,83,2,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,25,3,28
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,40,5,45
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,37,10,47
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,110,21,131
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,4,4,8
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,27,0,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,3,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,37,0,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,11,2,13
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,84,24,108
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,7,9,16
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,18,2,20
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,25,37,62
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,23,12,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,25,0,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,34,0,34
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,22,30,52
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,3,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,3,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,8,1,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,12,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,27,0,27
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2239,55,2294
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,17,0,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,30,3,33
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,5,5,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,1,6,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,10,2,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2013-01-01,3,0,3
