,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,1,0,3,2,3,8,17,18,2,1,0,0,0,0,55
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,1,1,6,7,2,5,2,8,1,0,0,0,0,0,33
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,16,10,0,0,0,0,0,0,0,0,0,0,26
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,2,0,5,4,0,3,3,6,1,0,0,0,0,0,24
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,1,3,0,0,13,1,2,4,0,0,0,0,24
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,4,0,0,1,1,0,1,1,0,0,0,0,8
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,1,2,12,4,6,6,6,7,0,0,0,0,0,0,44
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,2,1,4,3,1,3,5,21,0,0,0,0,0,0,40
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2019-01-01,0,0,3,0,2,1,0,4,0,0,0,0,0,0,10
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,1,1,0,0,1,0,0,1,2,1,0,0,0,0,7
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,1,0,0,2,0,0,1,0,0,0,0,0,4
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,1,1,2,1,4,2,0,0,0,0,0,0,11
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,38,0,6,9,0,1,4,2,3,3,0,0,0,0,66
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,1,0,4,2,2,2,3,7,4,6,0,0,0,0,31
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,7,8,0,1,3,4,3,1,0,0,0,0,27
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,5,1,2,2,3,9,2,0,0,0,0,0,24
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,2,3,1,3,10,15,44,51,8,11,0,0,0,0,148
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,2,2,0,6,10,11,2,1,0,0,0,0,34
PORONGO,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,1,0,0,0,1,2,2,0,0,0,0,0,6
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,4,1,0,2,0,0,0,0,7
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,1,2,3,2,1,3,6,0,0,0,0,0,0,18
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,1,2,0,1,1,3,0,0,0,0,0,0,8
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,3,10,8,1,3,5,14,5,3,0,0,0,0,52
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
SANTIAGO DE HUARI,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,2,0,0,4,2,0,1,0,0,0,0,9
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,2,0,2,3,1,0,3,6,1,7,0,0,0,0,25
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-02-01,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,1,8,1,0,0,0,0,0,0,0,0,0,0,10
BELEN DE URMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,1,0,1,0,0,0,2,2,3,0,0,0,0,0,9
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,1,0,2,1,3,0,0,0,0,0,0,7
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,1,0,0,1,1,2,2,1,0,0,0,0,8
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,1,1,8,2,0,1,0,0,0,0,13
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,2,0,2,1,8,10,27,53,4,10,0,0,0,0,117
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,1,1,6,5,14,13,3,0,0,0,0,0,43
POOPO,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,1,2,2,2,4,2,5,5,0,0,0,0,0,23
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,1,0,11,11,0,4,12,4,1,0,0,0,0,0,44
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,5,0,0,1,1,0,0,0,0,0,0,7
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,5,0,3,0,0,0,0,0,0,0,0,0,8
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,1,6,8,0,0,1,10,9,12,0,0,0,0,47
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,2,0,2,2,0,1,1,2,1,1,0,0,0,0,12
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,5,3,3,2,13,20,0,0,0,0,0,0,46
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
BELLA FLOR,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,0,0,3,6,0,0,0,0,0,9
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,1,1,0,1,4,1,5,4,6,0,0,0,0,23
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,10,15,0,15,0,0,0,0,0,0,0,0,0,0,40
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,1,1,2,1,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,1,2,5,11,33,50,3,8,0,0,0,0,113
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,1,1,3,3,8,7,27,34,12,0,0,0,0,0,96
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,0,5,0,5,0,0,0,0,0,10
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,1,3,1,0,1,2,0,5,3,0,0,0,0,16
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,2,0,0,3,0,0,0,0,0,0,0,5
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,2,0,0,1,6,2,0,0,0,0,0,11
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,1,8,9,1,0,0,4,0,1,0,0,0,0,24
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,1,0,5,2,0,0,3,13,0,1,0,0,0,0,25
SANTIAGO DE HUARI,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucomaxilofacial menor,2019-04-01,0,0,8,2,6,2,18,39,62,17,0,0,0,0,154
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,0,1,2,3,2,1,0,0,0,0,0,9
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,2,3,0,1,4,5,0,0,0,0,0,0,15
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,1,0,1,2,0,1,0,0,0,0,0,5
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,2,3,1,1,2,3,2,0,0,0,0,0,14
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,15,20,1,8,0,4,0,4,0,0,0,0,52
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,4,6,0,0,2,2,1,7,0,0,0,0,22
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,1,0,2,0,0,4,6,1,0,0,0,0,0,14
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,4,2,9,5,23,66,6,4,0,0,0,0,119
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,5,2,1,0,0,0,0,1,0,0,0,0,9
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,1,4,6,2,2,0,8,8,3,8,0,0,0,0,42
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,1,0,0,2,1,2,0,0,0,0,0,0,6
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,2,0,7,4,3,1,5,22,0,0,0,0,0,0,44
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,2,0,1,1,2,2,0,0,0,0,0,8
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,2,5,1,3,0,1,9,4,0,0,0,0,0,25
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,2,5,4,3,1,0,1,2,0,0,0,0,0,0,18
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,4,0,5,7,1,6,3,1,0,0,0,0,0,0,27
SANTIAGO DE HUARI,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,1,0,1,0,0,3,4,0,0,0,0,0,0,9
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,3,0,0,2,1,0,0,0,0,0,0,6
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,4,0,0,0,1,0,0,1,0,0,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,1,0,2,1,1,1,0,0,0,0,0,6
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,1,3,1,0,0,0,0,0,0,0,0,0,5
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial menor,2019-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,1,2,1,1,1,0,1,1,2,0,0,0,0,10
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,1,1,1,0,7,0,0,0,0,0,0,10
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,10,5,2,0,2,0,0,0,0,0,0,19
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,18,15,0,0,0,0,0,1,0,0,0,0,34
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,8,91,49,101,67,94,96,88,8,8,0,0,0,0,610
MINEROS,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,1,7,0,0,22,0,0,3,0,0,0,0,33
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,2,1,5,6,7,6,16,13,0,0,0,0,0,0,56
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,2,4,0,0,0,0,2,0,0,0,0,0,8
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,0,6,3,0,0,0,0,0,0,9
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,10,10,0,0,0,0,0,0,0,0,0,0,20
SAN MATIAS,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,2,3,1,7,1,8,7,3,0,0,0,0,32
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,5,6,0,0,0,4,6,3,0,0,0,0,24
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,1,1,0,1,6,14,0,0,0,0,0,0,23
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,4,2,0,0,1,7,0,0,0,0,0,0,14
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,8,7,2,0,0,0,0,0,0,0,0,0,17
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,0,0,0,3,6,0,0,0,0,0,0,9
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial menor,2019-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,3,0,0,3,0,3,0,0,0,0,0,9
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,1,0,1,3,0,0,0,1,4,3,0,0,0,0,13
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,2,0,8,2,1,1,0,4,0,0,0,0,18
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,1,4,0,0,0,6,0,0,0,0,0,0,11
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,2,3,6,3,4,6,3,12,8,8,0,0,0,0,55
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,2,2,0,1,0,1,2,0,0,0,0,0,8
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,4,1,11,14,41,61,3,4,0,0,0,0,139
MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,1,0,3,1,2,4,5,10,3,0,0,0,0,0,29
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,1,5,4,3,0,0,0,0,0,0,0,13
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,8,6,4,2,2,3,5,4,0,0,0,0,34
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
SAN AGUSTIN,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,2,0,0,1,1,2,0,1,0,0,0,0,7
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,4,3,6,4,8,8,2,1,0,0,0,0,36
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,4,6,12,8,1,4,3,7,1,0,0,0,0,0,46
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,5,1,4,5,10,0,1,0,0,0,0,26
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,1,0,0,1,0,5,0,1,0,0,0,0,8
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2019-07-01,0,0,1,1,1,0,1,3,0,1,0,0,0,0,8
ALTO BENI,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,2,6,3,3,9,8,0,1,0,0,0,0,32
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,1,0,0,0,0,3,6,3,5,0,0,0,0,18
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,0,1,0,2,0,0,1,1,0,0,0,0,5
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,0,0,6,2,2,0,0,0,0,0,0,0,10
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2019-08-01,0,0,11,9,4,10,4,15,5,7,0,0,0,0,65
