,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,2,0,0,0,0,7,8,5,0,0,0,0,24
ARANI,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,8,7,0,2,4,11,3,3,0,0,0,0,39
ARBIETO,atencion odontologica,cirugia bucal menor,2019-01-01,2,6,18,12,2,0,1,15,8,8,0,0,0,0,72
ARQUE,atencion odontologica,cirugia bucal menor,2019-01-01,3,3,5,7,3,3,14,28,10,13,0,0,0,0,89
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2019-01-01,19,11,1,5,2,3,5,12,24,12,0,0,0,0,94
ATOCHA,atencion odontologica,cirugia bucal menor,2019-01-01,3,6,20,27,6,25,33,44,6,7,0,0,0,0,177
AUCAPATA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,1,0,0,0,0,0,4,1,0,0,0,0,7
AYATA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,3,2,1,0,1,9,4,2,0,0,0,0,23
AYO AYO,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,2,7,4,5,9,13,8,10,0,0,0,0,59
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2019-01-01,2,4,22,30,2,7,13,30,13,16,0,0,0,0,139
AZURDUY,atencion odontologica,cirugia bucal menor,2019-01-01,2,2,9,4,3,5,4,25,7,6,0,0,0,0,67
BATALLAS,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,4,8,3,6,8,25,16,18,0,0,0,0,90
BAURES,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,0,0,4,9,6,4,7,0,0,0,0,31
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
BELLA FLOR,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,2,0,1,1,2,2,0,0,0,0,0,9
BERMEJO,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,23,19,5,17,43,57,10,3,0,0,0,0,178
BETANZOS,atencion odontologica,cirugia bucal menor,2019-01-01,5,6,17,16,9,18,18,77,21,24,0,0,0,0,211
BOLIVAR,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,2,1,0,0,1,4,7,2,0,0,0,0,18
BOLPEBRA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,1,2,0,0,1,0,0,0,0,0,0,5
BOYUIBE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,3,6,0,1,5,9,0,0,0,0,0,0,24
BUENA VISTA,atencion odontologica,cirugia bucal menor,2019-01-01,6,2,1,0,1,1,1,2,7,7,0,0,0,0,28
CABEZAS,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,17,18,6,12,11,43,7,3,0,0,0,0,119
CAIROMA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,5,10,4,9,14,10,9,7,0,0,0,0,69
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2019-01-01,5,3,5,8,6,13,11,16,6,17,0,0,0,0,90
CAJUATA,atencion odontologica,cirugia bucal menor,2019-01-01,3,2,6,11,11,5,18,22,6,13,0,0,0,0,97
CALACOTO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,1,0,1,18,20,0,0,0,0,40
CALAMARCA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,9,7,4,9,5,6,0,0,0,0,0,0,41
CAMARGO,atencion odontologica,cirugia bucal menor,2019-01-01,1,5,10,10,3,2,8,12,5,11,0,0,0,0,67
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2019-01-01,0,0,4,5,0,5,8,2,1,4,0,0,0,0,29
CAMIRI,atencion odontologica,cirugia bucal menor,2019-01-01,3,4,10,21,6,21,16,43,17,3,0,0,0,0,144
CAPINOTA,atencion odontologica,cirugia bucal menor,2019-01-01,4,6,17,9,1,0,0,12,5,3,0,0,0,0,57
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2019-01-01,0,2,11,12,10,8,14,24,16,11,0,0,0,0,108
CARACOLLO,atencion odontologica,cirugia bucal menor,2019-01-01,8,5,23,15,6,13,15,23,11,6,0,0,0,0,125
CARANAVI,atencion odontologica,cirugia bucal menor,2019-01-01,8,9,9,16,1,10,8,43,47,17,0,0,0,0,168
CARANGAS,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,cirugia bucal menor,2019-01-01,3,1,31,20,3,14,23,47,0,1,0,0,0,0,143
CARIPUYO,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,7,3,4,2,7,10,5,8,0,0,0,0,47
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,2,3,0,0,2,12,4,6,0,0,0,0,30
CATACORA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,1,3,0,0,0,3,1,0,0,0,0,0,10
CHACARILLA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,0,1,4,6,0,0,0,0,11
CHALLAPATA,atencion odontologica,cirugia bucal menor,2019-01-01,20,16,90,84,8,22,21,41,21,31,0,0,0,0,354
CHAQUI,atencion odontologica,cirugia bucal menor,2019-01-01,3,4,3,7,3,2,1,13,13,12,0,0,0,0,61
CHARAGUA,atencion odontologica,cirugia bucal menor,2019-01-01,2,1,8,7,11,13,13,31,3,2,0,0,0,0,91
CHARAÑA,atencion odontologica,cirugia bucal menor,2019-01-01,0,2,1,5,0,3,5,5,0,0,0,0,0,0,21
CHAYANTA,atencion odontologica,cirugia bucal menor,2019-01-01,1,3,18,11,7,5,7,23,9,25,0,0,0,0,109
CHIMORE,atencion odontologica,cirugia bucal menor,2019-01-01,4,2,26,5,2,3,0,25,9,4,0,0,0,0,80
CHIPAYA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,2,0,5,5,0,2,0,0,0,0,14
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,1,1,0,1,0,1,1,0,0,0,0,6
CHUA COCANI,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,3,1,0,0,6,3,6,5,0,0,0,0,24
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2019-01-01,4,1,3,6,2,0,7,24,1,0,0,0,0,0,48
CHUMA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,15,22,4,6,30,59,34,18,0,0,0,0,190
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,2,0,3,0,3,4,2,0,0,0,0,14
CKOCHAS,atencion odontologica,cirugia bucal menor,2019-01-01,1,3,6,2,3,1,6,24,7,1,0,0,0,0,54
CLIZA,atencion odontologica,cirugia bucal menor,2019-01-01,3,5,17,27,2,6,3,22,14,25,0,0,0,0,124
COBIJA,atencion odontologica,cirugia bucal menor,2019-01-01,12,14,43,46,14,19,53,67,18,8,0,0,0,0,294
COCAPATA,atencion odontologica,cirugia bucal menor,2019-01-01,6,5,4,1,0,5,0,10,29,15,0,0,0,0,75
COCHABAMBA,atencion odontologica,cirugia bucal menor,2019-01-01,77,91,158,145,78,132,204,202,140,123,0,0,0,0,1350
COIPASA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,0,1,5,0,0,3,0,0,0,0,0,0,10
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2019-01-01,19,14,7,5,0,5,4,10,20,22,0,0,0,0,106
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2019-01-01,6,2,5,6,7,4,6,9,13,7,0,0,0,0,65
COLLANA,atencion odontologica,cirugia bucal menor,2019-01-01,3,3,11,6,13,15,3,20,0,1,0,0,0,0,75
COLOMI,atencion odontologica,cirugia bucal menor,2019-01-01,4,4,2,10,1,0,3,6,10,4,0,0,0,0,44
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
COLQUECHACA,atencion odontologica,cirugia bucal menor,2019-01-01,12,8,15,17,8,20,34,58,35,41,0,0,0,0,248
COLQUENCHA,atencion odontologica,cirugia bucal menor,2019-01-01,1,3,44,31,27,23,27,64,8,12,0,0,0,0,240
COLQUIRI,atencion odontologica,cirugia bucal menor,2019-01-01,2,1,19,18,2,15,10,33,5,5,0,0,0,0,110
COMANCHE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,2,0,2,0,5,0,1,0,0,0,0,11
COMARAPA,atencion odontologica,cirugia bucal menor,2019-01-01,4,4,9,11,4,9,5,11,6,18,0,0,0,0,81
CONCEPCION,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,4,3,1,1,3,6,3,3,0,0,0,0,24
COPACABANA,atencion odontologica,cirugia bucal menor,2019-01-01,5,6,7,12,10,4,5,18,6,1,0,0,0,0,74
CORIPATA,atencion odontologica,cirugia bucal menor,2019-01-01,1,4,9,1,0,3,6,8,1,0,0,0,0,0,33
CORO CORO,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,18,15,1,11,9,18,4,10,0,0,0,0,87
COROICO,atencion odontologica,cirugia bucal menor,2019-01-01,1,4,6,11,2,3,4,37,3,13,0,0,0,0,84
CORQUE,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,4,3,1,3,1,9,1,2,0,0,0,0,25
COTAGAITA,atencion odontologica,cirugia bucal menor,2019-01-01,11,2,23,19,9,11,17,25,9,5,0,0,0,0,131
COTOCA,atencion odontologica,cirugia bucal menor,2019-01-01,7,5,5,1,0,7,4,37,24,34,0,0,0,0,124
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2019-01-01,4,1,13,7,3,5,9,23,6,17,0,0,0,0,88
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2019-01-01,1,0,6,1,0,1,3,5,3,0,0,0,0,0,20
CUEVO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,6,6,2,4,0,14,0,1,0,0,0,0,33
CULPINA,atencion odontologica,cirugia bucal menor,2019-01-01,0,2,15,8,3,14,6,22,8,5,0,0,0,0,83
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,10,4,3,5,4,13,7,6,0,0,0,0,54
CURVA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,2,4,1,1,3,8,1,1,0,0,0,0,23
DESAGUADERO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,10,6,3,7,0,11,0,2,0,0,0,0,39
EL ALTO,atencion odontologica,cirugia bucal menor,2019-01-01,116,109,735,801,110,224,106,267,102,77,0,0,0,0,2647
EL CHORO,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,2,3,0,2,1,4,2,4,0,0,0,0,19
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2019-01-01,0,2,3,2,3,2,4,3,11,2,0,0,0,0,32
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2019-01-01,2,1,13,10,14,11,9,35,3,0,0,0,0,0,98
EL TORNO,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,14,13,3,7,5,19,18,17,0,0,0,0,98
EL VILLAR,atencion odontologica,cirugia bucal menor,2019-01-01,3,1,10,19,2,10,12,21,2,4,0,0,0,0,84
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,23,22,9,16,5,62,8,2,0,0,0,0,149
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2019-01-01,1,6,9,7,0,2,1,3,6,6,0,0,0,0,41
ESCARA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,0,0,0,0,1,1,1,0,0,0,0,0,4
ESCOMA,atencion odontologica,cirugia bucal menor,2019-01-01,3,3,5,8,6,3,8,11,6,3,0,0,0,0,56
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,5,5,2,3,4,10,1,10,0,0,0,0,40
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2019-01-01,2,1,6,10,1,0,6,10,3,5,0,0,0,0,44
FILADELFIA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,12,10,0,4,6,5,5,1,0,0,0,0,44
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2019-01-01,0,2,6,3,0,0,0,7,5,0,0,0,0,0,23
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2019-01-01,3,1,9,8,4,4,12,22,7,5,0,0,0,0,75
GUANAY,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,2,0,7,7,15,7,4,0,0,0,0,42
GUAQUI,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,4,8,5,1,3,14,10,0,0,0,0,0,46
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2019-01-01,5,4,59,72,6,30,21,55,16,2,0,0,0,0,270
GUTIERREZ,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,6,1,3,2,3,10,4,0,0,0,0,0,29
HUACARETA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,4,3,0,1,3,10,3,1,0,0,0,0,26
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2019-01-01,1,3,6,5,1,3,1,10,0,0,0,0,0,0,30
HUACHACALLA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,cirugia bucal menor,2019-01-01,0,4,19,41,10,15,14,25,13,13,0,0,0,0,154
HUARACAJE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,4,3,0,1,2,8,3,4,0,0,0,0,25
HUARINA,atencion odontologica,cirugia bucal menor,2019-01-01,2,0,3,4,3,3,1,8,12,7,0,0,0,0,43
HUATAJATA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,2,6,0,0,5,4,3,2,0,0,0,0,22
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,0,1,1,3,2,5,6,1,0,0,0,0,20
HUMANATA,atencion odontologica,cirugia bucal menor,2019-01-01,2,4,4,1,2,4,5,5,24,41,0,0,0,0,92
ICHOCA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,11,2,2,0,5,10,2,2,0,0,0,0,34
ICLA,atencion odontologica,cirugia bucal menor,2019-01-01,3,1,10,23,1,6,18,17,6,4,0,0,0,0,89
INCAHUASI,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,9,16,4,8,6,19,7,10,0,0,0,0,80
INQUISIVI,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,8,4,4,10,11,13,13,10,0,0,0,0,74
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2019-01-01,11,15,10,18,5,6,16,34,25,17,0,0,0,0,157
IXIAMAS,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,6,7,0,3,4,11,2,9,0,0,0,0,43
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2019-01-01,3,4,6,14,18,10,9,12,16,18,0,0,0,0,110
LA ASUNTA,atencion odontologica,cirugia bucal menor,2019-01-01,3,3,29,32,6,19,23,40,8,5,0,0,0,0,168
LA GUARDIA,atencion odontologica,cirugia bucal menor,2019-01-01,14,11,11,8,3,7,2,15,12,11,0,0,0,0,94
LA PAZ,atencion odontologica,cirugia bucal menor,2019-01-01,171,149,464,447,147,231,338,590,207,234,0,0,0,0,2978
LA RIVERA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,5,4,2,0,2,23,2,1,0,0,0,0,40
LAJA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,17,22,7,21,11,32,16,16,0,0,0,0,143
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,8,4,0,0,6,6,0,5,0,0,0,0,30
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,1,1,0,7,0,0,0,0,0,0,9
LLALLAGUA,atencion odontologica,cirugia bucal menor,2019-01-01,23,16,21,26,6,13,18,38,7,19,0,0,0,0,187
LORETO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,5,0,1,1,8,0,0,0,0,0,0,16
LURIBAY,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,5,1,1,4,4,6,2,0,0,0,0,0,24
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2019-01-01,2,2,8,10,1,1,2,16,2,6,0,0,0,0,50
MACHARETI,atencion odontologica,cirugia bucal menor,2019-01-01,1,2,1,3,0,0,5,12,1,0,0,0,0,0,25
MAGDALENA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,18,15,7,2,13,13,2,0,0,0,0,0,71
MAIRANA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,1,5,2,2,0,0,0,0,10
MALLA,atencion odontologica,cirugia bucal menor,2019-01-01,1,2,0,0,1,2,4,5,6,10,0,0,0,0,31
MAPIRI,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,3,3,0,0,1,2,1,1,0,0,0,0,11
MECAPACA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,6,4,1,2,5,7,2,1,0,0,0,0,29
MINEROS,atencion odontologica,cirugia bucal menor,2019-01-01,7,3,0,5,1,2,1,8,7,3,0,0,0,0,37
MIZQUE,atencion odontologica,cirugia bucal menor,2019-01-01,8,1,14,16,4,4,6,18,17,6,0,0,0,0,94
MOCOMOCO,atencion odontologica,cirugia bucal menor,2019-01-01,2,0,2,8,7,14,10,18,18,21,0,0,0,0,100
MOJINETE,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,2,0,0,0,0,7,0,0,0,0,0,0,10
MOJOCOYA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,9,12,4,5,3,11,0,7,0,0,0,0,51
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2019-01-01,3,2,18,18,2,8,10,22,24,18,0,0,0,0,125
MONTERO,atencion odontologica,cirugia bucal menor,2019-01-01,5,11,101,72,21,34,38,92,26,25,0,0,0,0,425
MORO MORO,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,7,8,1,1,8,5,2,2,0,0,0,0,35
MOROCHATA,atencion odontologica,cirugia bucal menor,2019-01-01,3,0,0,4,0,5,4,8,24,5,0,0,0,0,53
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,4,1,1,0,2,0,0,0,0,0,0,9
NAZACARA DE PACAJES,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,4,0,0,2,1,3,2,0,0,0,0,0,12
OCURI,atencion odontologica,cirugia bucal menor,2019-01-01,1,3,14,3,4,4,7,44,25,22,0,0,0,0,127
OKINAWA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,0,7,2,3,0,0,0,0,12
OMEREQUE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,5,0,2,3,2,2,0,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucal menor,2019-01-01,65,70,246,238,44,127,152,341,126,121,0,0,0,0,1530
PADCAYA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,12,16,7,10,20,25,6,1,0,0,0,0,98
PADILLA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,12,8,0,2,7,17,9,8,0,0,0,0,63
PAILON,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,7,6,2,2,8,22,5,6,0,0,0,0,59
PALCA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,10,17,8,7,30,30,14,16,0,0,0,0,134
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2019-01-01,5,3,10,7,4,7,16,28,20,11,0,0,0,0,111
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,6,7,0,1,2,2,1,6,0,0,0,0,26
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,0,5,0,1,1,3,6,2,0,0,0,0,19
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2019-01-01,1,0,2,1,2,5,5,8,6,3,0,0,0,0,33
PASORAPA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PATACAMAYA,atencion odontologica,cirugia bucal menor,2019-01-01,4,0,13,11,2,7,5,4,7,5,0,0,0,0,58
PAZÑA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,8,11,3,0,5,9,1,3,0,0,0,0,40
PELECHUCO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,1,0,1,1,11,11,4,1,0,0,0,0,30
POCOATA,atencion odontologica,cirugia bucal menor,2019-01-01,2,2,5,1,0,8,4,15,20,11,0,0,0,0,68
POCONA,atencion odontologica,cirugia bucal menor,2019-01-01,1,2,4,6,4,3,4,12,13,4,0,0,0,0,53
POJO (CBBA),atencion odontologica,cirugia bucal menor,2019-01-01,2,4,5,3,1,3,4,11,3,1,0,0,0,0,37
POOPO,atencion odontologica,cirugia bucal menor,2019-01-01,3,5,14,17,6,7,6,12,8,3,0,0,0,0,81
PORCO,atencion odontologica,cirugia bucal menor,2019-01-01,3,2,3,7,1,2,2,2,2,0,0,0,0,0,24
POROMA,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,5,9,4,0,5,23,6,2,0,0,0,0,54
PORONGO,atencion odontologica,cirugia bucal menor,2019-01-01,2,2,4,2,1,2,1,5,1,3,0,0,0,0,23
PORTACHUELO,atencion odontologica,cirugia bucal menor,2019-01-01,4,5,16,13,1,1,4,10,11,2,0,0,0,0,67
PORVENIR,atencion odontologica,cirugia bucal menor,2019-01-01,2,0,9,4,4,12,14,5,2,1,0,0,0,0,53
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,0,0,0,1,6,0,1,0,0,0,0,8
POTOSI,atencion odontologica,cirugia bucal menor,2019-01-01,71,63,104,124,63,113,115,204,48,54,0,0,0,0,959
PRESTO,atencion odontologica,cirugia bucal menor,2019-01-01,6,1,11,15,0,4,3,22,7,12,0,0,0,0,81
PUCARA,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,4,2,0,0,1,5,0,0,0,0,0,0,13
PUCARANI,atencion odontologica,cirugia bucal menor,2019-01-01,15,9,48,30,29,32,23,63,32,29,0,0,0,0,310
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2019-01-01,1,1,8,12,4,8,8,27,19,21,0,0,0,0,109
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2019-01-01,2,0,4,5,3,2,9,16,9,15,0,0,0,0,65
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2019-01-01,0,2,6,10,3,8,4,13,2,1,0,0,0,0,49
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,3,0,1,1,0,2,0,3,0,0,0,0,10
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,1,0,0,0,1,0,2,0,0,0,0,4
PUERTO RICO,atencion odontologica,cirugia bucal menor,2019-01-01,0,1,5,2,7,6,12,11,2,1,0,0,0,0,47
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2019-01-01,4,0,2,0,0,4,1,6,1,1,0,0,0,0,19
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2019-01-01,5,13,19,14,0,7,5,33,15,14,0,0,0,0,125
PUNA,atencion odontologica,cirugia bucal menor,2019-01-01,2,1,9,16,4,9,7,26,7,16,0,0,0,0,97
PUNATA,atencion odontologica,cirugia bucal menor,2019-01-01,0,6,8,8,0,5,6,10,9,8,0,0,0,0,60
QUIABAYA,atencion odontologica,cirugia bucal menor,2019-01-01,1,2,6,4,2,5,7,17,4,2,0,0,0,0,50
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2019-01-01,31,12,73,51,11,9,15,55,41,29,0,0,0,0,327
QUIME,atencion odontologica,cirugia bucal menor,2019-01-01,1,3,18,21,8,14,18,35,17,9,0,0,0,0,144
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2019-01-01,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
RAVELO,atencion odontologica,cirugia bucal menor,2019-01-01,3,3,3,4,3,0,10,17,13,11,0,0,0,0,67
