,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,0,5,1,2,2,3,9,2,0,0,0,0,0,24
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,0,0,0,2,0,5,8,0,0,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,0,1,0,0,1,6,1,0,2,0,0,0,0,11
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,0,0,0,0,5,3,4,0,0,0,0,0,0,12
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,1,0,0,1,3,9,3,0,1,0,0,0,0,18
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,1,0,0,1,2,0,2,3,0,0,0,0,0,9
ROBORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,0,0,5,0,0,1,1,0,0,0,0,0,0,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
YAPACANI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-03-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,5,10,15,10,15,10,5,8,0,0,0,0,0,0,78
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,0,5,4,8,1,0,0,0,0,0,0,18
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,2,1,2,3,2,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,34,0,0,0,1,0,1,0,0,0,0,36
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,1,0,0,3,0,0,1,0,0,0,0,5
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-04-01,0,0,0,0,0,1,3,3,2,0,0,0,0,0,9
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,7,12,20,15,20,5,4,7,0,0,0,0,0,0,90
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,2,0,7,6,2,0,0,0,0,0,0,17
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,3,2,1,0,0,0,0,1,0,0,0,0,7
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,2,0,1,3,7,2,8,12,8,1,0,0,0,0,44
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-05-01,0,0,0,1,0,3,4,4,1,0,0,0,0,0,13
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,8,13,18,14,21,4,3,9,0,0,0,0,0,0,90
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,5,91,49,57,68,32,13,19,0,0,0,0,0,0,334
MINEROS,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,11,0,0,8,0,0,1,0,0,0,0,20
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,4,5,13,11,3,3,0,0,0,0,39
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
RURRENABAQUE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
SACABA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,0,3,1,1,0,1,0,0,0,0,6
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
EL TORNO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,2,0,0,0,5,0,0,0,0,0,0,7
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,1,0,6,1,4,4,1,3,0,0,0,0,20
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,2,2,1,4,10,17,1,3,0,0,0,0,40
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
ROBORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,8,6,4,2,2,3,5,4,0,0,0,0,34
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,2,0,0,1,0,1,0,1,0,0,0,0,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,2,0,1,0,3,2,1,0,0,0,0,0,9
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,1,0,0,2,0,6,0,1,0,0,0,0,10
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ALTO BENI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,2,6,3,3,8,6,0,1,0,0,0,0,29
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,1,0,4,6,4,0,0,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,2,0,0,2,2,2,0,1,0,0,0,0,9
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,2,6,0,2,0,7,0,3,0,0,0,0,20
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ROBORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,10,3,1,0,0,4,3,4,0,0,0,0,25
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,0,0,1,2,0,1,1,0,0,0,0,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,4,3,3,2,0,0,0,0,0,12
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,1,0,0,4,6,8,25,32,2,5,0,0,0,0,83
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ROBORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,1,0,1,1,0,6,0,0,0,0,0,0,9
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUACARETA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,0,0,0,0,6,2,3,2,0,0,0,0,0,0,13
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,0,0,0,0,0,1,2,4,0,3,0,0,0,0,10
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,8,13,18,14,21,4,3,9,0,0,0,0,0,0,90
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,1,1,4,3,0,0,0,0,0,0,9
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MONTERO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,10,46,1,0,0,0,0,0,0,0,57
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,2,6,13,2,2,0,0,0,0,25
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,0,2,4,8,0,3,0,0,0,0,17
YACUIBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-11-01,0,0,0,0,1,5,0,1,0,0,0,0,0,0,7
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,5,10,15,20,25,5,5,10,0,0,0,0,0,0,95
ESCOMA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,1,1,2,2,0,3,1,0,0,0,0,0,10
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
TARABUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2019-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
