,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
ARAMPAMPA,atencion odontologica,medidas preventivas,2019-01-01,15,12,1,0,1,0,0,7,6,6,0,0,0,0,48
ARANI,atencion odontologica,medidas preventivas,2019-01-01,35,35,13,38,3,15,8,23,4,6,0,0,0,0,180
ARBIETO,atencion odontologica,medidas preventivas,2019-01-01,45,53,7,14,1,5,1,8,4,3,0,0,0,0,141
ARQUE,atencion odontologica,medidas preventivas,2019-01-01,33,11,5,3,2,5,4,11,14,14,0,0,0,0,102
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2019-01-01,37,28,1,0,0,14,0,20,3,1,0,0,0,0,104
ATOCHA,atencion odontologica,medidas preventivas,2019-01-01,6,14,71,56,11,35,42,36,0,0,0,0,0,0,271
AUCAPATA,atencion odontologica,medidas preventivas,2019-01-01,5,4,0,0,0,1,0,0,3,2,0,0,0,0,15
AYATA,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,1,0,1,0,2,0,1,0,0,0,0,5
AYO AYO,atencion odontologica,medidas preventivas,2019-01-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2019-01-01,15,20,59,50,8,39,36,52,17,16,0,0,0,0,312
AZURDUY,atencion odontologica,medidas preventivas,2019-01-01,31,17,0,6,0,6,4,8,0,6,0,0,0,0,78
BATALLAS,atencion odontologica,medidas preventivas,2019-01-01,6,3,0,0,0,1,0,1,0,0,0,0,0,0,11
BAURES,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,0,1,2,0,3,1,1,0,0,0,0,8
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2019-01-01,14,14,0,0,0,0,0,0,0,0,0,0,0,0,28
BELLA FLOR,atencion odontologica,medidas preventivas,2019-01-01,16,22,6,2,0,8,0,13,0,0,0,0,0,0,67
BERMEJO,atencion odontologica,medidas preventivas,2019-01-01,17,20,83,98,27,45,36,67,6,6,0,0,0,0,405
BETANZOS,atencion odontologica,medidas preventivas,2019-01-01,47,55,1,1,0,1,1,6,1,1,0,0,0,0,114
BOLIVAR,atencion odontologica,medidas preventivas,2019-01-01,2,2,5,0,0,1,0,4,2,0,0,0,0,0,16
BOLPEBRA,atencion odontologica,medidas preventivas,2019-01-01,7,15,0,0,0,0,0,2,0,0,0,0,0,0,24
BOYUIBE,atencion odontologica,medidas preventivas,2019-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
BUENA VISTA,atencion odontologica,medidas preventivas,2019-01-01,43,50,1,0,1,2,2,7,2,1,0,0,0,0,109
CABEZAS,atencion odontologica,medidas preventivas,2019-01-01,102,149,5,4,4,14,3,25,8,9,0,0,0,0,323
CAIROMA,atencion odontologica,medidas preventivas,2019-01-01,0,2,7,11,5,12,0,0,0,0,0,0,0,0,37
"CAIZA ""D""",atencion odontologica,medidas preventivas,2019-01-01,23,18,0,4,0,2,0,0,1,1,0,0,0,0,49
CAJUATA,atencion odontologica,medidas preventivas,2019-01-01,8,17,1,3,0,3,1,7,0,1,0,0,0,0,41
CALACOTO,atencion odontologica,medidas preventivas,2019-01-01,16,14,0,0,0,0,0,0,0,0,0,0,0,0,30
CALAMARCA,atencion odontologica,medidas preventivas,2019-01-01,2,7,1,0,0,0,0,0,0,0,0,0,0,0,10
CAMARGO,atencion odontologica,medidas preventivas,2019-01-01,22,49,23,39,6,0,0,2,1,0,0,0,0,0,142
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2019-01-01,2,0,7,21,0,4,1,2,0,0,0,0,0,0,37
CAMIRI,atencion odontologica,medidas preventivas,2019-01-01,78,76,42,70,34,51,24,63,16,14,0,0,0,0,468
CAPINOTA,atencion odontologica,medidas preventivas,2019-01-01,43,67,68,63,27,41,21,59,21,11,0,0,0,0,421
CAQUIAVIRI,atencion odontologica,medidas preventivas,2019-01-01,23,45,2,2,0,1,0,0,0,0,0,0,0,0,73
CARACOLLO,atencion odontologica,medidas preventivas,2019-01-01,17,13,45,51,8,25,16,56,11,7,0,0,0,0,249
CARANAVI,atencion odontologica,medidas preventivas,2019-01-01,65,87,24,28,4,3,0,13,7,5,0,0,0,0,236
CARAPARI,atencion odontologica,medidas preventivas,2019-01-01,4,15,29,54,7,23,19,39,1,3,0,0,0,0,194
CARIPUYO,atencion odontologica,medidas preventivas,2019-01-01,2,12,0,1,0,0,1,3,3,1,0,0,0,0,23
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2019-01-01,57,64,0,0,0,0,0,0,0,0,0,0,0,0,121
CATACORA,atencion odontologica,medidas preventivas,2019-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
CHACARILLA,atencion odontologica,medidas preventivas,2019-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,medidas preventivas,2019-01-01,55,81,167,187,35,71,18,69,3,9,0,0,0,0,695
CHAQUI,atencion odontologica,medidas preventivas,2019-01-01,15,36,7,0,0,4,4,6,4,8,0,0,0,0,84
CHARAGUA,atencion odontologica,medidas preventivas,2019-01-01,10,9,0,1,0,1,1,0,0,0,0,0,0,0,22
CHARAÑA,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHAYANTA,atencion odontologica,medidas preventivas,2019-01-01,54,38,0,0,0,2,0,3,0,3,0,0,0,0,100
CHIMORE,atencion odontologica,medidas preventivas,2019-01-01,52,69,20,16,8,19,4,33,4,2,0,0,0,0,227
CHIPAYA,atencion odontologica,medidas preventivas,2019-01-01,0,10,0,5,0,2,0,0,0,0,0,0,0,0,17
CHUA COCANI,atencion odontologica,medidas preventivas,2019-01-01,2,2,0,0,0,0,0,2,6,6,0,0,0,0,18
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2019-01-01,101,83,6,22,0,3,0,5,0,0,0,0,0,0,220
CHUMA,atencion odontologica,medidas preventivas,2019-01-01,5,23,6,13,1,7,0,8,12,7,0,0,0,0,82
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2019-01-01,9,12,18,17,7,33,2,13,12,11,0,0,0,0,134
CKOCHAS,atencion odontologica,medidas preventivas,2019-01-01,10,17,0,0,0,6,0,14,9,12,0,0,0,0,68
CLIZA,atencion odontologica,medidas preventivas,2019-01-01,31,52,39,38,14,11,0,5,3,2,0,0,0,0,195
COBIJA,atencion odontologica,medidas preventivas,2019-01-01,226,231,27,54,12,60,26,107,11,6,0,0,0,0,760
COCAPATA,atencion odontologica,medidas preventivas,2019-01-01,52,71,0,2,1,6,1,23,54,45,0,0,0,0,255
COCHABAMBA,atencion odontologica,medidas preventivas,2019-01-01,1513,1575,2100,1998,994,1246,1782,2724,682,403,0,0,0,0,15017
COIPASA,atencion odontologica,medidas preventivas,2019-01-01,4,0,0,9,4,2,2,0,0,0,0,0,0,0,21
COLCAPIRHUA,atencion odontologica,medidas preventivas,2019-01-01,82,88,28,24,6,14,18,32,12,11,0,0,0,0,315
"COLCHA ""K""",atencion odontologica,medidas preventivas,2019-01-01,18,11,7,0,0,0,1,1,0,3,0,0,0,0,41
COLLANA,atencion odontologica,medidas preventivas,2019-01-01,0,0,10,9,7,3,0,0,0,0,0,0,0,0,29
COLOMI,atencion odontologica,medidas preventivas,2019-01-01,35,55,3,1,0,3,0,10,14,14,0,0,0,0,135
COLPA BELGICA,atencion odontologica,medidas preventivas,2019-01-01,48,38,134,110,4,6,16,54,12,16,0,0,0,0,438
COLQUECHACA,atencion odontologica,medidas preventivas,2019-01-01,62,59,1,5,0,13,1,30,77,68,0,0,0,0,316
COLQUENCHA,atencion odontologica,medidas preventivas,2019-01-01,8,7,32,20,7,12,8,11,0,1,0,0,0,0,106
COLQUIRI,atencion odontologica,medidas preventivas,2019-01-01,11,14,23,11,4,13,2,5,1,0,0,0,0,0,84
COMANCHE,atencion odontologica,medidas preventivas,2019-01-01,1,0,3,7,0,1,1,0,0,0,0,0,0,0,13
COMARAPA,atencion odontologica,medidas preventivas,2019-01-01,25,43,0,0,0,3,1,0,1,0,0,0,0,0,73
CONCEPCION,atencion odontologica,medidas preventivas,2019-01-01,10,15,0,0,0,0,0,0,0,0,0,0,0,0,25
COPACABANA,atencion odontologica,medidas preventivas,2019-01-01,8,8,0,1,0,0,0,5,0,0,0,0,0,0,22
CORIPATA,atencion odontologica,medidas preventivas,2019-01-01,6,9,13,0,1,0,1,2,0,0,0,0,0,0,32
CORO CORO,atencion odontologica,medidas preventivas,2019-01-01,6,14,62,56,18,31,14,25,3,2,0,0,0,0,231
COROICO,atencion odontologica,medidas preventivas,2019-01-01,7,11,2,5,0,0,0,0,0,0,0,0,0,0,25
CORQUE,atencion odontologica,medidas preventivas,2019-01-01,3,4,0,3,0,9,0,3,7,10,0,0,0,0,39
COTAGAITA,atencion odontologica,medidas preventivas,2019-01-01,7,9,14,9,2,7,13,28,10,14,0,0,0,0,113
COTOCA,atencion odontologica,medidas preventivas,2019-01-01,123,173,1,1,1,8,2,34,6,7,0,0,0,0,356
CRUZ DE MACHACAMARCA,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,0,1,0,3,2,2,1,0,0,0,0,9
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2019-01-01,83,65,2,2,0,1,0,14,9,18,0,0,0,0,194
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2019-01-01,2,0,6,9,1,1,2,0,1,0,0,0,0,0,22
CUEVO,atencion odontologica,medidas preventivas,2019-01-01,1,5,1,0,0,6,0,8,0,0,0,0,0,0,21
CULPINA,atencion odontologica,medidas preventivas,2019-01-01,22,24,1,1,0,1,2,1,0,0,0,0,0,0,52
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2019-01-01,19,28,2,25,0,2,0,4,4,2,0,0,0,0,86
CURVA,atencion odontologica,medidas preventivas,2019-01-01,12,29,0,0,0,0,0,2,0,0,0,0,0,0,43
DESAGUADERO,atencion odontologica,medidas preventivas,2019-01-01,9,3,3,3,0,1,0,0,0,0,0,0,0,0,19
EL ALTO,atencion odontologica,medidas preventivas,2019-01-01,995,1172,2050,2278,765,925,441,864,185,166,0,0,0,0,9841
EL CHORO,atencion odontologica,medidas preventivas,2019-01-01,26,19,0,1,0,5,0,10,36,30,0,0,0,0,127
EL PUENTE(STC),atencion odontologica,medidas preventivas,2019-01-01,24,44,0,0,0,0,0,10,4,2,0,0,0,0,84
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2019-01-01,0,0,1,2,0,11,1,0,0,0,0,0,0,0,15
EL TORNO,atencion odontologica,medidas preventivas,2019-01-01,192,240,11,25,0,8,0,25,0,1,0,0,0,0,502
EL VILLAR,atencion odontologica,medidas preventivas,2019-01-01,0,4,0,3,0,1,2,1,0,0,0,0,0,0,11
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2019-01-01,11,10,9,13,3,4,2,3,1,7,0,0,0,0,63
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2019-01-01,90,72,20,23,2,20,2,30,6,9,0,0,0,0,274
ESCOMA,atencion odontologica,medidas preventivas,2019-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
ESMERALDA,atencion odontologica,medidas preventivas,2019-01-01,1,0,0,0,0,1,0,1,0,1,0,0,0,0,4
EUCALIPTUS,atencion odontologica,medidas preventivas,2019-01-01,9,24,0,2,1,1,0,0,7,5,0,0,0,0,49
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2019-01-01,44,53,4,6,1,4,0,10,10,6,0,0,0,0,138
FILADELFIA,atencion odontologica,medidas preventivas,2019-01-01,31,50,20,30,0,5,2,2,0,0,0,0,0,0,140
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2019-01-01,2,6,0,1,0,1,0,1,1,1,0,0,0,0,13
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2019-01-01,17,12,0,1,0,0,0,1,0,0,0,0,0,0,31
GUANAY,atencion odontologica,medidas preventivas,2019-01-01,33,36,1,3,1,2,3,13,5,5,0,0,0,0,102
GUAQUI,atencion odontologica,medidas preventivas,2019-01-01,0,0,1,3,0,0,1,2,2,0,0,0,0,0,9
GUAYARAMERIN,atencion odontologica,medidas preventivas,2019-01-01,8,5,10,14,2,6,6,8,0,1,0,0,0,0,60
HUACARETA,atencion odontologica,medidas preventivas,2019-01-01,1,10,0,0,0,0,0,0,0,0,0,0,0,0,11
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2019-01-01,26,30,5,11,0,3,0,4,0,0,0,0,0,0,79
HUACHACALLA,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
HUANUNI,atencion odontologica,medidas preventivas,2019-01-01,27,28,48,116,55,77,38,68,12,11,0,0,0,0,480
HUARACAJE,atencion odontologica,medidas preventivas,2019-01-01,4,4,2,2,2,0,0,0,0,0,0,0,0,0,14
HUARINA,atencion odontologica,medidas preventivas,2019-01-01,6,3,0,1,0,0,0,1,1,2,0,0,0,0,14
HUATAJATA,atencion odontologica,medidas preventivas,2019-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2019-01-01,4,0,5,11,0,1,0,0,0,0,0,0,0,0,21
HUMANATA,atencion odontologica,medidas preventivas,2019-01-01,4,14,5,1,2,8,6,14,34,54,0,0,0,0,142
ICHOCA,atencion odontologica,medidas preventivas,2019-01-01,0,10,0,0,0,0,0,2,0,0,0,0,0,0,12
ICLA,atencion odontologica,medidas preventivas,2019-01-01,38,36,1,5,0,4,2,14,0,0,0,0,0,0,100
INCAHUASI,atencion odontologica,medidas preventivas,2019-01-01,18,8,17,2,0,2,2,3,1,0,0,0,0,0,53
INQUISIVI,atencion odontologica,medidas preventivas,2019-01-01,2,9,2,0,2,5,0,1,0,0,0,0,0,0,21
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2019-01-01,56,53,30,6,0,4,0,11,2,2,0,0,0,0,164
IXIAMAS,atencion odontologica,medidas preventivas,2019-01-01,2,3,0,8,0,1,0,3,1,0,0,0,0,0,18
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2019-01-01,12,24,1,3,1,3,2,9,11,10,0,0,0,0,76
LA ASUNTA,atencion odontologica,medidas preventivas,2019-01-01,59,50,61,47,19,37,13,48,3,1,0,0,0,0,338
LA GUARDIA,atencion odontologica,medidas preventivas,2019-01-01,399,363,2,6,6,13,5,42,10,17,0,0,0,0,863
LA PAZ,atencion odontologica,medidas preventivas,2019-01-01,1742,1764,2020,2163,614,1072,957,1828,417,415,0,0,0,0,12992
LA RIVERA,atencion odontologica,medidas preventivas,2019-01-01,1,0,2,5,0,4,0,0,0,0,0,0,0,0,12
LAGUNILLAS,atencion odontologica,medidas preventivas,2019-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LAJA,atencion odontologica,medidas preventivas,2019-01-01,58,58,47,37,10,14,5,28,11,12,0,0,0,0,280
LAS CARRERAS,atencion odontologica,medidas preventivas,2019-01-01,3,0,0,1,0,0,2,2,1,0,0,0,0,0,9
LICOMA PAMPA,atencion odontologica,medidas preventivas,2019-01-01,2,7,0,0,0,2,0,0,0,0,0,0,0,0,11
LLALLAGUA,atencion odontologica,medidas preventivas,2019-01-01,86,60,0,3,0,0,1,6,5,11,0,0,0,0,172
LORETO,atencion odontologica,medidas preventivas,2019-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
LURIBAY,atencion odontologica,medidas preventivas,2019-01-01,1,1,1,2,0,0,0,1,0,0,0,0,0,0,6
MACHACAMARCA,atencion odontologica,medidas preventivas,2019-01-01,19,18,47,24,4,18,13,26,9,15,0,0,0,0,193
MACHARETI,atencion odontologica,medidas preventivas,2019-01-01,6,3,5,0,0,2,0,1,0,0,0,0,0,0,17
MAGDALENA,atencion odontologica,medidas preventivas,2019-01-01,1,2,9,7,3,4,1,4,1,0,0,0,0,0,32
MAIRANA,atencion odontologica,medidas preventivas,2019-01-01,18,28,24,26,2,12,12,78,20,25,0,0,0,0,245
MALLA,atencion odontologica,medidas preventivas,2019-01-01,0,3,0,0,2,1,0,2,2,1,0,0,0,0,11
MAPIRI,atencion odontologica,medidas preventivas,2019-01-01,3,3,1,1,1,1,1,3,1,0,0,0,0,0,15
MECAPACA,atencion odontologica,medidas preventivas,2019-01-01,3,4,3,2,1,1,0,0,0,0,0,0,0,0,14
MINEROS,atencion odontologica,medidas preventivas,2019-01-01,75,92,1,2,2,1,0,4,11,4,0,0,0,0,192
MIZQUE,atencion odontologica,medidas preventivas,2019-01-01,42,30,0,4,0,1,0,15,3,2,0,0,0,0,97
MOCOMOCO,atencion odontologica,medidas preventivas,2019-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
MOJINETE,atencion odontologica,medidas preventivas,2019-01-01,0,4,0,0,0,0,0,1,0,1,0,0,0,0,6
MOJOCOYA,atencion odontologica,medidas preventivas,2019-01-01,1,14,1,7,2,2,3,9,1,0,0,0,0,0,40
MONTEAGUDO,atencion odontologica,medidas preventivas,2019-01-01,57,19,13,9,10,9,8,15,0,1,0,0,0,0,141
MONTERO,atencion odontologica,medidas preventivas,2019-01-01,146,120,60,90,5,46,11,68,20,19,0,0,0,0,585
MORO MORO,atencion odontologica,medidas preventivas,2019-01-01,32,12,0,2,0,0,0,2,0,0,0,0,0,0,48
MOROCHATA,atencion odontologica,medidas preventivas,2019-01-01,13,22,0,2,0,4,1,5,20,13,0,0,0,0,80
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,medidas preventivas,2019-01-01,3,4,1,2,0,0,0,0,0,0,0,0,0,0,10
NAZACARA DE PACAJES,atencion odontologica,medidas preventivas,2019-01-01,10,0,0,1,0,1,0,0,0,0,0,0,0,0,12
OCURI,atencion odontologica,medidas preventivas,2019-01-01,36,36,14,1,1,11,0,30,32,34,0,0,0,0,195
OKINAWA,atencion odontologica,medidas preventivas,2019-01-01,12,12,4,3,0,0,0,0,0,0,0,0,0,0,31
ORURO,atencion odontologica,medidas preventivas,2019-01-01,350,302,467,621,243,365,382,631,90,54,0,0,0,0,3505
PADCAYA,atencion odontologica,medidas preventivas,2019-01-01,1,3,3,6,0,3,2,7,0,0,0,0,0,0,25
PADILLA,atencion odontologica,medidas preventivas,2019-01-01,16,30,11,11,0,5,6,12,0,1,0,0,0,0,92
PAILON,atencion odontologica,medidas preventivas,2019-01-01,48,30,18,7,1,18,6,18,7,5,0,0,0,0,158
PALCA,atencion odontologica,medidas preventivas,2019-01-01,63,62,5,4,2,4,1,7,6,1,0,0,0,0,155
PALOS BLANCOS,atencion odontologica,medidas preventivas,2019-01-01,87,81,29,20,8,30,16,77,31,17,0,0,0,0,396
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2019-01-01,5,18,0,4,0,0,0,0,0,0,0,0,0,0,27
PAMPA GRANDE,atencion odontologica,medidas preventivas,2019-01-01,22,20,4,3,0,2,0,7,5,8,0,0,0,0,71
PAPEL PAMPA,atencion odontologica,medidas preventivas,2019-01-01,0,1,0,5,0,0,0,2,3,0,0,0,0,0,11
PASORAPA,atencion odontologica,medidas preventivas,2019-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PATACAMAYA,atencion odontologica,medidas preventivas,2019-01-01,54,35,0,0,0,0,0,0,0,0,0,0,0,0,89
PAZÑA,atencion odontologica,medidas preventivas,2019-01-01,8,10,10,21,1,1,4,8,4,4,0,0,0,0,71
PELECHUCO,atencion odontologica,medidas preventivas,2019-01-01,13,18,0,0,0,0,1,5,1,0,0,0,0,0,38
POCOATA,atencion odontologica,medidas preventivas,2019-01-01,35,39,0,0,0,3,1,7,32,44,0,0,0,0,161
POCONA,atencion odontologica,medidas preventivas,2019-01-01,14,23,0,1,0,0,0,0,0,2,0,0,0,0,40
POJO (CBBA),atencion odontologica,medidas preventivas,2019-01-01,6,5,0,2,1,1,0,1,1,2,0,0,0,0,19
POOPO,atencion odontologica,medidas preventivas,2019-01-01,11,16,18,46,8,13,29,15,13,7,0,0,0,0,176
PORCO,atencion odontologica,medidas preventivas,2019-01-01,33,56,5,13,2,11,2,27,2,0,0,0,0,0,151
POROMA,atencion odontologica,medidas preventivas,2019-01-01,3,5,11,3,0,0,0,3,0,0,0,0,0,0,25
PORONGO,atencion odontologica,medidas preventivas,2019-01-01,44,43,11,10,2,1,3,17,9,7,0,0,0,0,147
PORTACHUELO,atencion odontologica,medidas preventivas,2019-01-01,1,3,1,0,1,0,0,1,0,0,0,0,0,0,7
PORVENIR,atencion odontologica,medidas preventivas,2019-01-01,22,24,3,2,2,2,0,0,0,0,0,0,0,0,55
POSTRER VALLE,atencion odontologica,medidas preventivas,2019-01-01,6,4,2,3,0,0,0,1,0,0,0,0,0,0,16
POTOSI,atencion odontologica,medidas preventivas,2019-01-01,171,269,48,78,48,64,65,96,16,14,0,0,0,0,869
PRESTO,atencion odontologica,medidas preventivas,2019-01-01,90,128,25,20,0,7,0,17,0,0,0,0,0,0,287
PUCARA,atencion odontologica,medidas preventivas,2019-01-01,27,15,0,0,0,0,0,0,0,0,0,0,0,0,42
PUCARANI,atencion odontologica,medidas preventivas,2019-01-01,68,45,8,1,0,3,1,11,4,2,0,0,0,0,143
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2019-01-01,8,6,1,3,1,0,1,0,0,0,0,0,0,0,20
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2019-01-01,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2019-01-01,23,17,13,10,1,26,0,23,2,2,0,0,0,0,117
PUERTO PEREZ,atencion odontologica,medidas preventivas,2019-01-01,4,2,0,0,0,0,2,1,0,0,0,0,0,0,9
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2019-01-01,33,24,0,1,0,2,0,4,0,1,0,0,0,0,65
PUERTO RICO,atencion odontologica,medidas preventivas,2019-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2019-01-01,1,4,0,0,0,1,2,0,0,0,0,0,0,0,8
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2019-01-01,118,99,33,32,4,25,0,40,17,6,0,0,0,0,374
PUNA,atencion odontologica,medidas preventivas,2019-01-01,7,0,0,0,1,0,0,0,0,1,0,0,0,0,9
PUNATA,atencion odontologica,medidas preventivas,2019-01-01,55,61,84,85,14,63,37,148,16,18,0,0,0,0,581
QUIABAYA,atencion odontologica,medidas preventivas,2019-01-01,13,9,0,1,0,0,0,4,0,0,0,0,0,0,27
QUILLACOLLO,atencion odontologica,medidas preventivas,2019-01-01,280,338,327,379,118,148,109,331,98,74,0,0,0,0,2202
QUIME,atencion odontologica,medidas preventivas,2019-01-01,6,26,12,16,4,3,6,8,1,0,0,0,0,0,82
QUIRUSILLAS,atencion odontologica,medidas preventivas,2019-01-01,2,6,1,1,0,0,0,0,0,0,0,0,0,0,10
RAVELO,atencion odontologica,medidas preventivas,2019-01-01,35,19,0,0,0,5,0,7,2,2,0,0,0,0,70
REYES,atencion odontologica,medidas preventivas,2019-01-01,5,2,51,6,16,2,15,20,7,2,0,0,0,0,126
RIBERALTA,atencion odontologica,medidas preventivas,2019-01-01,174,151,59,111,15,103,18,169,8,6,0,0,0,0,814
ROBORE,atencion odontologica,medidas preventivas,2019-01-01,9,12,89,95,27,37,52,77,16,18,0,0,0,0,432
RURRENABAQUE,atencion odontologica,medidas preventivas,2019-01-01,6,10,7,10,2,7,14,5,8,5,0,0,0,0,74
SABAYA,atencion odontologica,medidas preventivas,2019-01-01,4,6,4,6,1,0,4,4,0,0,0,0,0,0,29
SACABA,atencion odontologica,medidas preventivas,2019-01-01,187,184,289,310,113,212,165,380,84,74,0,0,0,0,1998
SACACA,atencion odontologica,medidas preventivas,2019-01-01,6,6,0,0,0,2,2,4,4,9,0,0,0,0,33
SAIPINA,atencion odontologica,medidas preventivas,2019-01-01,0,1,0,0,0,1,1,1,0,0,0,0,0,0,4
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2019-01-01,38,53,33,44,0,19,1,9,11,11,0,0,0,0,219
