,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
ARQUE,atencion odontologica,exodoncia,2019-01-01,0,0,3,5,2,3,8,21,7,6,0,0,0,0,55
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2019-01-01,1,0,1,4,2,0,5,0,20,10,0,0,0,0,43
ATOCHA,atencion odontologica,exodoncia,2019-01-01,1,1,11,11,4,14,13,32,4,7,0,0,0,0,98
AUCAPATA,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,0,0,0,0,4,1,0,0,0,0,6
AYATA,atencion odontologica,exodoncia,2019-01-01,0,0,3,2,1,0,1,6,4,1,0,0,0,0,18
AYO AYO,atencion odontologica,exodoncia,2019-01-01,0,0,2,4,2,3,3,5,3,9,0,0,0,0,31
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2019-01-01,0,0,17,22,2,6,10,25,10,15,0,0,0,0,107
AZURDUY,atencion odontologica,exodoncia,2019-01-01,0,0,8,4,1,3,4,21,6,6,0,0,0,0,53
BATALLAS,atencion odontologica,exodoncia,2019-01-01,0,1,3,8,2,6,6,23,14,16,0,0,0,0,79
BAURES,atencion odontologica,exodoncia,2019-01-01,0,1,0,1,0,1,4,6,0,2,0,0,0,0,15
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
BELEN DE URMIRI,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
BELLA FLOR,atencion odontologica,exodoncia,2019-01-01,0,0,1,2,0,1,1,2,2,0,0,0,0,0,9
BERMEJO,atencion odontologica,exodoncia,2019-01-01,0,1,19,12,1,9,40,41,8,3,0,0,0,0,134
BETANZOS,atencion odontologica,exodoncia,2019-01-01,0,0,13,9,8,10,13,52,16,19,0,0,0,0,140
BOLIVAR,atencion odontologica,exodoncia,2019-01-01,0,0,2,1,0,0,1,4,7,1,0,0,0,0,16
BOLPEBRA,atencion odontologica,exodoncia,2019-01-01,0,0,1,1,2,0,0,1,0,0,0,0,0,0,5
BOYUIBE,atencion odontologica,exodoncia,2019-01-01,0,0,3,6,0,1,5,7,0,0,0,0,0,0,22
BUENA VISTA,atencion odontologica,exodoncia,2019-01-01,1,1,1,0,2,1,1,3,0,0,0,0,0,0,10
CABEZAS,atencion odontologica,exodoncia,2019-01-01,1,0,14,14,2,10,11,31,6,1,0,0,0,0,90
CAIROMA,atencion odontologica,exodoncia,2019-01-01,0,1,5,3,2,6,10,8,6,6,0,0,0,0,47
"CAIZA ""D""",atencion odontologica,exodoncia,2019-01-01,0,0,1,4,1,10,6,7,5,14,0,0,0,0,48
CAJUATA,atencion odontologica,exodoncia,2019-01-01,0,0,6,10,11,5,14,18,6,12,0,0,0,0,82
CALACOTO,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,1,0,1,18,20,0,0,0,0,40
CALAMARCA,atencion odontologica,exodoncia,2019-01-01,0,0,5,6,4,8,4,6,0,0,0,0,0,0,33
CAMARGO,atencion odontologica,exodoncia,2019-01-01,0,1,6,7,3,2,8,5,5,8,0,0,0,0,45
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2019-01-01,0,0,3,3,0,3,4,1,0,2,0,0,0,0,16
CAMIRI,atencion odontologica,exodoncia,2019-01-01,0,0,9,11,8,15,17,24,12,4,0,0,0,0,100
CAPINOTA,atencion odontologica,exodoncia,2019-01-01,0,1,12,5,1,0,0,10,2,2,0,0,0,0,33
CAQUIAVIRI,atencion odontologica,exodoncia,2019-01-01,0,0,11,10,9,8,8,21,14,10,0,0,0,0,91
CARACOLLO,atencion odontologica,exodoncia,2019-01-01,1,0,21,19,3,8,12,8,4,2,0,0,0,0,78
CARANAVI,atencion odontologica,exodoncia,2019-01-01,2,3,6,15,1,8,8,28,40,13,0,0,0,0,124
CARANGAS,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,exodoncia,2019-01-01,0,0,25,17,1,11,16,25,0,1,0,0,0,0,96
CARIPUYO,atencion odontologica,exodoncia,2019-01-01,1,0,7,3,4,1,4,8,4,6,0,0,0,0,38
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2019-01-01,1,0,2,3,0,0,0,10,5,6,0,0,0,0,27
CATACORA,atencion odontologica,exodoncia,2019-01-01,1,0,0,1,0,0,0,2,1,0,0,0,0,0,5
CHACARILLA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,0,1,3,6,0,0,0,0,10
CHALLAPATA,atencion odontologica,exodoncia,2019-01-01,1,0,72,65,6,13,11,25,12,20,0,0,0,0,225
CHAQUI,atencion odontologica,exodoncia,2019-01-01,0,1,2,5,2,2,1,11,13,11,0,0,0,0,48
CHARAGUA,atencion odontologica,exodoncia,2019-01-01,2,1,8,6,9,12,10,29,3,2,0,0,0,0,82
CHARAÑA,atencion odontologica,exodoncia,2019-01-01,0,0,1,4,0,2,1,2,0,0,0,0,0,0,10
CHAYANTA,atencion odontologica,exodoncia,2019-01-01,0,0,13,2,7,4,6,13,8,20,0,0,0,0,73
CHIMORE,atencion odontologica,exodoncia,2019-01-01,1,0,24,5,2,2,0,25,6,4,0,0,0,0,69
CHIPAYA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,1,0,1,2,0,1,0,0,0,0,5
CHOQUE COTA,atencion odontologica,exodoncia,2019-01-01,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4
CHUA COCANI,atencion odontologica,exodoncia,2019-01-01,0,0,3,1,0,0,6,3,6,4,0,0,0,0,23
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2019-01-01,1,0,1,4,1,0,3,5,1,0,0,0,0,0,16
CHUMA,atencion odontologica,exodoncia,2019-01-01,0,0,14,22,4,6,25,57,28,15,0,0,0,0,171
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2019-01-01,0,0,0,2,0,3,0,3,2,2,0,0,0,0,12
CKOCHAS,atencion odontologica,exodoncia,2019-01-01,0,1,5,1,2,1,5,19,6,0,0,0,0,0,40
CLIZA,atencion odontologica,exodoncia,2019-01-01,0,0,5,2,1,1,1,5,6,9,0,0,0,0,30
COBIJA,atencion odontologica,exodoncia,2019-01-01,4,6,38,42,14,16,49,57,14,6,0,0,0,0,246
COCAPATA,atencion odontologica,exodoncia,2019-01-01,2,1,2,0,0,3,0,8,24,15,0,0,0,0,55
COCHABAMBA,atencion odontologica,exodoncia,2019-01-01,10,8,130,127,49,80,142,143,85,81,0,0,0,0,855
COIPASA,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,2,0,0,3,0,0,0,0,0,0,6
COLCAPIRHUA,atencion odontologica,exodoncia,2019-01-01,1,2,5,12,0,2,6,9,5,9,0,0,0,0,51
"COLCHA ""K""",atencion odontologica,exodoncia,2019-01-01,0,0,5,6,6,3,6,11,5,5,0,0,0,0,47
COLLANA,atencion odontologica,exodoncia,2019-01-01,1,0,10,4,11,11,1,17,0,1,0,0,0,0,56
COLOMI,atencion odontologica,exodoncia,2019-01-01,1,2,1,9,0,0,3,4,9,2,0,0,0,0,31
COLPA BELGICA,atencion odontologica,exodoncia,2019-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
COLQUECHACA,atencion odontologica,exodoncia,2019-01-01,2,1,15,11,7,13,27,45,18,15,0,0,0,0,154
COLQUENCHA,atencion odontologica,exodoncia,2019-01-01,0,0,38,20,24,14,18,50,7,11,0,0,0,0,182
COLQUIRI,atencion odontologica,exodoncia,2019-01-01,0,0,17,13,2,9,5,21,5,3,0,0,0,0,75
COMANCHE,atencion odontologica,exodoncia,2019-01-01,0,0,1,2,0,2,0,4,0,1,0,0,0,0,10
COMARAPA,atencion odontologica,exodoncia,2019-01-01,4,4,9,11,4,9,5,11,6,18,0,0,0,0,81
CONCEPCION,atencion odontologica,exodoncia,2019-01-01,0,0,4,3,1,1,3,6,3,3,0,0,0,0,24
COPACABANA,atencion odontologica,exodoncia,2019-01-01,0,0,5,9,6,2,2,12,6,1,0,0,0,0,43
CORIPATA,atencion odontologica,exodoncia,2019-01-01,0,1,1,1,0,2,4,8,1,0,0,0,0,0,18
CORO CORO,atencion odontologica,exodoncia,2019-01-01,0,0,8,6,0,7,4,13,2,8,0,0,0,0,48
COROICO,atencion odontologica,exodoncia,2019-01-01,1,2,4,10,2,3,4,22,2,5,0,0,0,0,55
CORQUE,atencion odontologica,exodoncia,2019-01-01,0,0,4,3,1,2,0,8,0,1,0,0,0,0,19
COTAGAITA,atencion odontologica,exodoncia,2019-01-01,0,2,16,19,2,10,9,12,8,5,0,0,0,0,83
COTOCA,atencion odontologica,exodoncia,2019-01-01,2,1,3,1,0,3,2,29,19,29,0,0,0,0,89
CUATRO CAÑADAS,atencion odontologica,exodoncia,2019-01-01,0,0,11,5,2,3,9,20,3,17,0,0,0,0,70
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2019-01-01,0,0,5,1,0,0,3,2,2,0,0,0,0,0,13
CUEVO,atencion odontologica,exodoncia,2019-01-01,0,0,6,5,2,3,0,8,0,1,0,0,0,0,25
CULPINA,atencion odontologica,exodoncia,2019-01-01,0,0,12,7,2,13,6,21,8,3,0,0,0,0,72
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2019-01-01,0,0,10,2,2,4,4,11,4,3,0,0,0,0,40
CURVA,atencion odontologica,exodoncia,2019-01-01,0,1,2,2,1,1,3,5,0,0,0,0,0,0,15
DESAGUADERO,atencion odontologica,exodoncia,2019-01-01,0,0,10,6,3,6,0,11,0,2,0,0,0,0,38
EL ALTO,atencion odontologica,exodoncia,2019-01-01,20,29,566,592,73,128,59,124,64,55,0,0,0,0,1710
EL CHORO,atencion odontologica,exodoncia,2019-01-01,0,0,2,2,0,2,1,2,2,3,0,0,0,0,14
EL PUENTE(STC),atencion odontologica,exodoncia,2019-01-01,0,0,2,2,3,1,2,3,8,2,0,0,0,0,23
EL PUENTE(TJA),atencion odontologica,exodoncia,2019-01-01,0,0,7,7,11,4,4,17,2,0,0,0,0,0,52
EL TORNO,atencion odontologica,exodoncia,2019-01-01,0,1,14,12,3,5,5,17,18,15,0,0,0,0,90
EL VILLAR,atencion odontologica,exodoncia,2019-01-01,0,0,9,12,1,6,6,11,1,2,0,0,0,0,48
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2019-01-01,0,0,13,17,7,8,11,34,6,2,0,0,0,0,98
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2019-01-01,0,0,9,6,0,2,1,1,2,5,0,0,0,0,26
ESCARA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ESCOMA,atencion odontologica,exodoncia,2019-01-01,0,0,1,1,1,0,5,5,5,3,0,0,0,0,21
EUCALIPTUS,atencion odontologica,exodoncia,2019-01-01,0,0,5,3,2,2,4,8,1,8,0,0,0,0,33
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2019-01-01,2,0,5,8,1,0,3,8,3,3,0,0,0,0,33
FILADELFIA,atencion odontologica,exodoncia,2019-01-01,1,0,12,10,0,4,6,5,5,1,0,0,0,0,44
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2019-01-01,0,0,5,3,0,0,0,7,5,0,0,0,0,0,20
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2019-01-01,0,0,7,7,4,3,10,18,5,5,0,0,0,0,59
GUANAY,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,0,6,7,11,5,3,0,0,0,0,33
GUAQUI,atencion odontologica,exodoncia,2019-01-01,0,0,4,6,4,1,3,10,10,0,0,0,0,0,38
GUAYARAMERIN,atencion odontologica,exodoncia,2019-01-01,4,2,59,72,6,26,21,51,15,2,0,0,0,0,258
GUTIERREZ,atencion odontologica,exodoncia,2019-01-01,0,0,6,1,3,2,2,10,4,0,0,0,0,0,28
HUACARETA,atencion odontologica,exodoncia,2019-01-01,0,0,4,3,0,1,2,10,2,0,0,0,0,0,22
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2019-01-01,0,0,5,4,1,0,1,3,0,0,0,0,0,0,14
HUACHACALLA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,exodoncia,2019-01-01,0,0,21,44,7,15,15,25,10,13,0,0,0,0,150
HUARACAJE,atencion odontologica,exodoncia,2019-01-01,0,0,4,3,0,1,2,7,3,4,0,0,0,0,24
HUARINA,atencion odontologica,exodoncia,2019-01-01,0,0,2,2,2,3,1,4,8,4,0,0,0,0,26
HUATAJATA,atencion odontologica,exodoncia,2019-01-01,0,0,1,4,0,0,3,3,1,0,0,0,0,0,12
HUAYLLAMARCA,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,1,2,1,5,0,1,0,0,0,0,11
HUMANATA,atencion odontologica,exodoncia,2019-01-01,1,1,4,1,2,4,4,2,8,14,0,0,0,0,41
ICHOCA,atencion odontologica,exodoncia,2019-01-01,0,0,9,1,2,0,4,10,2,2,0,0,0,0,30
ICLA,atencion odontologica,exodoncia,2019-01-01,0,0,6,19,0,5,16,11,6,4,0,0,0,0,67
INCAHUASI,atencion odontologica,exodoncia,2019-01-01,0,0,7,15,4,8,6,16,7,9,0,0,0,0,72
INQUISIVI,atencion odontologica,exodoncia,2019-01-01,1,0,7,3,4,10,8,12,10,9,0,0,0,0,64
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2019-01-01,2,0,7,18,3,6,11,19,15,11,0,0,0,0,92
IXIAMAS,atencion odontologica,exodoncia,2019-01-01,0,0,6,6,0,3,4,7,2,9,0,0,0,0,37
JESUS DE MACHACA,atencion odontologica,exodoncia,2019-01-01,1,0,4,12,14,7,5,7,14,15,0,0,0,0,79
LA ASUNTA,atencion odontologica,exodoncia,2019-01-01,1,0,28,30,6,18,20,38,8,5,0,0,0,0,154
LA GUARDIA,atencion odontologica,exodoncia,2019-01-01,14,11,11,8,3,7,2,15,12,11,0,0,0,0,94
LA PAZ,atencion odontologica,exodoncia,2019-01-01,15,14,370,349,102,138,236,387,146,160,0,0,0,0,1917
LA RIVERA,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
LAGUNILLAS,atencion odontologica,exodoncia,2019-01-01,0,0,5,4,2,0,2,20,2,1,0,0,0,0,36
LAJA,atencion odontologica,exodoncia,2019-01-01,0,0,14,20,7,20,7,26,16,16,0,0,0,0,126
LAS CARRERAS,atencion odontologica,exodoncia,2019-01-01,0,0,8,4,0,0,6,6,0,4,0,0,0,0,28
LICOMA PAMPA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6
LLALLAGUA,atencion odontologica,exodoncia,2019-01-01,2,0,13,18,4,4,6,16,3,11,0,0,0,0,77
LORETO,atencion odontologica,exodoncia,2019-01-01,0,0,1,5,0,1,1,5,0,0,0,0,0,0,13
LURIBAY,atencion odontologica,exodoncia,2019-01-01,0,1,5,1,1,2,1,4,2,0,0,0,0,0,17
MACHACAMARCA,atencion odontologica,exodoncia,2019-01-01,0,0,7,10,1,1,0,4,0,0,0,0,0,0,23
MACHARETI,atencion odontologica,exodoncia,2019-01-01,1,2,1,3,0,0,3,11,1,0,0,0,0,0,22
MAGDALENA,atencion odontologica,exodoncia,2019-01-01,0,0,14,15,6,2,12,12,2,0,0,0,0,0,63
MAIRANA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,0,5,2,2,0,0,0,0,9
MALLA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,1,2,3,4,4,9,0,0,0,0,23
MAPIRI,atencion odontologica,exodoncia,2019-01-01,0,0,2,2,0,0,0,2,0,0,0,0,0,0,6
MECAPACA,atencion odontologica,exodoncia,2019-01-01,0,0,5,4,1,2,5,4,2,1,0,0,0,0,24
MINEROS,atencion odontologica,exodoncia,2019-01-01,1,0,0,5,0,0,0,4,4,1,0,0,0,0,15
MIZQUE,atencion odontologica,exodoncia,2019-01-01,3,1,13,14,3,4,5,13,16,6,0,0,0,0,78
MOCOMOCO,atencion odontologica,exodoncia,2019-01-01,1,0,2,6,7,14,9,16,17,21,0,0,0,0,93
MOJINETE,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,0,0,0,7,0,0,0,0,0,0,8
MOJOCOYA,atencion odontologica,exodoncia,2019-01-01,0,0,9,10,4,5,2,9,0,7,0,0,0,0,46
MONTEAGUDO,atencion odontologica,exodoncia,2019-01-01,1,1,15,16,2,8,7,20,23,18,0,0,0,0,111
MONTERO,atencion odontologica,exodoncia,2019-01-01,0,1,69,51,8,19,20,55,16,17,0,0,0,0,256
MORO MORO,atencion odontologica,exodoncia,2019-01-01,1,0,6,7,1,1,8,5,2,1,0,0,0,0,32
MOROCHATA,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,0,2,4,4,17,5,0,0,0,0,33
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,exodoncia,2019-01-01,0,0,1,4,1,1,0,2,0,0,0,0,0,0,9
NAZACARA DE PACAJES,atencion odontologica,exodoncia,2019-01-01,0,0,3,0,0,2,1,3,2,0,0,0,0,0,11
OCURI,atencion odontologica,exodoncia,2019-01-01,0,0,12,2,3,2,6,26,7,13,0,0,0,0,71
OKINAWA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,0,5,2,3,0,0,0,0,10
OMEREQUE,atencion odontologica,exodoncia,2019-01-01,0,0,1,4,0,1,1,1,1,0,0,0,0,0,9
ORURO,atencion odontologica,exodoncia,2019-01-01,5,6,175,184,33,94,98,220,100,92,0,0,0,0,1007
PADCAYA,atencion odontologica,exodoncia,2019-01-01,0,0,8,10,2,7,13,16,6,0,0,0,0,0,62
PADILLA,atencion odontologica,exodoncia,2019-01-01,0,0,12,8,0,2,5,15,9,7,0,0,0,0,58
PAILON,atencion odontologica,exodoncia,2019-01-01,0,1,7,6,2,1,8,22,5,6,0,0,0,0,58
PALCA,atencion odontologica,exodoncia,2019-01-01,0,1,10,15,8,6,29,29,14,16,0,0,0,0,128
PALOS BLANCOS,atencion odontologica,exodoncia,2019-01-01,2,0,8,6,2,5,9,25,18,8,0,0,0,0,83
PAMPA AULLAGAS,atencion odontologica,exodoncia,2019-01-01,0,0,6,7,0,1,0,2,1,6,0,0,0,0,23
PAMPA GRANDE,atencion odontologica,exodoncia,2019-01-01,0,1,0,5,0,1,1,2,4,2,0,0,0,0,16
PAPEL PAMPA,atencion odontologica,exodoncia,2019-01-01,0,0,1,1,1,3,1,3,5,3,0,0,0,0,18
PASORAPA,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PAZÑA,atencion odontologica,exodoncia,2019-01-01,0,0,8,11,3,0,3,8,0,2,0,0,0,0,35
PELECHUCO,atencion odontologica,exodoncia,2019-01-01,0,0,1,0,1,1,11,11,4,0,0,0,0,0,29
POCOATA,atencion odontologica,exodoncia,2019-01-01,0,1,5,1,0,7,3,14,19,9,0,0,0,0,59
POCONA,atencion odontologica,exodoncia,2019-01-01,1,2,4,6,4,3,4,12,13,4,0,0,0,0,53
POJO (CBBA),atencion odontologica,exodoncia,2019-01-01,0,0,4,3,0,2,3,8,2,0,0,0,0,0,22
POOPO,atencion odontologica,exodoncia,2019-01-01,0,2,14,14,7,6,7,8,6,1,0,0,0,0,65
PORCO,atencion odontologica,exodoncia,2019-01-01,0,0,1,2,2,0,0,5,1,1,0,0,0,0,12
POROMA,atencion odontologica,exodoncia,2019-01-01,0,0,3,6,2,0,2,18,5,2,0,0,0,0,38
PORONGO,atencion odontologica,exodoncia,2019-01-01,1,2,1,2,0,4,1,6,0,3,0,0,0,0,20
PORTACHUELO,atencion odontologica,exodoncia,2019-01-01,1,0,14,12,0,1,3,8,10,2,0,0,0,0,51
PORVENIR,atencion odontologica,exodoncia,2019-01-01,0,0,8,4,4,12,14,4,2,1,0,0,0,0,49
POSTRER VALLE,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,0,0,1,6,0,1,0,0,0,0,8
POTOSI,atencion odontologica,exodoncia,2019-01-01,5,3,62,71,32,52,62,106,29,36,0,0,0,0,458
PRESTO,atencion odontologica,exodoncia,2019-01-01,0,0,8,15,0,2,3,19,3,0,0,0,0,0,50
PUCARA,atencion odontologica,exodoncia,2019-01-01,0,0,4,1,0,0,0,2,0,0,0,0,0,0,7
PUCARANI,atencion odontologica,exodoncia,2019-01-01,2,4,35,22,25,25,16,46,24,24,0,0,0,0,223
PUERTO ACOSTA,atencion odontologica,exodoncia,2019-01-01,0,0,8,7,3,6,3,22,15,14,0,0,0,0,78
PUERTO CARABUCO,atencion odontologica,exodoncia,2019-01-01,1,0,3,5,3,2,7,15,9,15,0,0,0,0,60
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2019-01-01,0,2,5,10,3,7,3,13,1,1,0,0,0,0,45
PUERTO PEREZ,atencion odontologica,exodoncia,2019-01-01,0,0,3,0,0,1,0,1,0,3,0,0,0,0,8
PUERTO QUIJARRO,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3
PUERTO RICO,atencion odontologica,exodoncia,2019-01-01,0,0,5,2,7,6,10,11,2,1,0,0,0,0,44
PUERTO SUAREZ,atencion odontologica,exodoncia,2019-01-01,2,0,2,0,0,0,2,4,0,0,0,0,0,0,10
PUERTO VILLARROEL,atencion odontologica,exodoncia,2019-01-01,1,1,8,8,0,2,4,29,11,13,0,0,0,0,77
PUNA,atencion odontologica,exodoncia,2019-01-01,0,0,8,13,4,8,5,19,5,14,0,0,0,0,76
PUNATA,atencion odontologica,exodoncia,2019-01-01,0,0,7,6,0,1,1,4,8,6,0,0,0,0,33
QUIABAYA,atencion odontologica,exodoncia,2019-01-01,0,2,3,4,2,4,6,15,3,2,0,0,0,0,41
QUILLACOLLO,atencion odontologica,exodoncia,2019-01-01,1,2,64,44,10,5,12,40,34,25,0,0,0,0,237
QUIME,atencion odontologica,exodoncia,2019-01-01,0,1,15,20,5,10,16,21,10,6,0,0,0,0,104
QUIRUSILLAS,atencion odontologica,exodoncia,2019-01-01,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
RAVELO,atencion odontologica,exodoncia,2019-01-01,0,0,2,3,2,0,10,10,12,3,0,0,0,0,42
REYES,atencion odontologica,exodoncia,2019-01-01,1,1,7,7,4,3,12,11,4,2,0,0,0,0,52
RIBERALTA,atencion odontologica,exodoncia,2019-01-01,7,0,77,62,10,28,39,69,15,16,0,0,0,0,323
ROBORE,atencion odontologica,exodoncia,2019-01-01,0,0,15,13,25,25,4,12,5,2,0,0,0,0,101
RURRENABAQUE,atencion odontologica,exodoncia,2019-01-01,2,1,15,7,4,4,10,11,11,6,0,0,0,0,71
SABAYA,atencion odontologica,exodoncia,2019-01-01,0,0,5,10,3,3,6,5,4,2,0,0,0,0,38
SACABA,atencion odontologica,exodoncia,2019-01-01,0,2,32,25,3,12,12,28,11,36,0,0,0,0,161
SACABAMBA,atencion odontologica,exodoncia,2019-01-01,0,0,4,4,0,0,1,1,1,1,0,0,0,0,12
SACACA,atencion odontologica,exodoncia,2019-01-01,0,0,3,4,7,5,4,26,3,6,0,0,0,0,58
SAIPINA,atencion odontologica,exodoncia,2019-01-01,2,0,1,1,2,0,3,8,2,2,0,0,0,0,21
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2019-01-01,1,0,13,10,5,7,6,6,4,10,0,0,0,0,62
SAMAIPATA,atencion odontologica,exodoncia,2019-01-01,0,0,6,0,2,0,1,1,5,1,0,0,0,0,16
SAN AGUSTIN,atencion odontologica,exodoncia,2019-01-01,0,0,0,0,2,2,1,0,0,0,0,0,0,0,5
SAN ANDRES,atencion odontologica,exodoncia,2019-01-01,0,0,5,3,4,3,6,9,2,0,0,0,0,0,32
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2019-01-01,0,0,2,2,1,1,1,7,3,8,0,0,0,0,25
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2019-01-01,0,0,1,2,0,0,0,2,0,0,0,0,0,0,5
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2019-01-01,0,0,8,4,1,0,5,5,5,2,0,0,0,0,30
SAN BENITO,atencion odontologica,exodoncia,2019-01-01,0,0,2,5,0,0,1,3,6,2,0,0,0,0,19
SAN BORJA,atencion odontologica,exodoncia,2019-01-01,7,5,19,17,7,7,5,27,7,9,0,0,0,0,110
