,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-02-01,4,1,11,39,0,25,0,5,2,0,0,0,0,0,87
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-02-01,0,0,2,5,0,2,18,26,5,0,0,0,0,0,58
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,3,0,6,4,2,1,27,32,6,6,0,0,0,0,87
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,0,0,0,1,0,0,8,7,4,2,0,0,0,0,22
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,2,0,0,0,2,9,0,6,6,6,0,0,0,0,31
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,0,1,3,0,0,0,17,11,5,1,0,0,0,0,38
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
YAPACANI,atencion odontologica,trat. de fracturas dentoalveolares,2019-03-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,0,1,3,0,0,3,2,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,4,12,17,5,14,13,8,6,0,0,0,0,0,0,79
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,4,1,5,6,0,2,24,39,3,7,0,0,0,0,91
MIZQUE,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,1,1,0,0,0,5,11,4,2,0,0,0,0,24
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,3,0,0,0,3,0,0,31,0,3,0,0,0,0,40
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,1,1,2,1,0,0,7,8,3,0,0,0,0,0,23
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-04-01,0,2,1,5,0,0,0,0,0,0,0,0,0,0,8
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,2,1,2,3,0,1,1,1,0,2,0,0,0,0,13
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,5,13,15,6,15,12,7,7,0,0,0,0,0,0,80
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,1,0,7,9,0,1,31,38,10,8,0,0,0,0,105
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,0,0,2,0,1,0,5,6,6,3,0,0,0,0,23
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,7,3,0,0,2,0,0,2,5,3,0,0,0,0,22
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,1,1,1,1,2,0,9,11,4,3,0,0,0,0,33
TARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,4,0,0,0,0,0,0,9,0,0,0,0,0,0,13
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-05-01,1,2,1,0,0,0,0,1,0,0,0,0,0,0,5
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,1,0,0,0,0,0,3,4,0,0,0,0,0,0,8
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,6,15,17,8,17,11,8,4,0,0,0,0,0,0,86
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,11,81,85,83,33,35,25,43,3,1,0,0,0,0,400
MINEROS,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,0,1,0,0,0,4,0,0,4,0,0,0,0,9
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,1,0,1,0,1,4,8,4,1,0,0,0,0,20
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,10,0,0,0,0,0,0,5,6,6,0,0,0,0,27
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,3,6,7,0,1,8,17,1,1,0,0,0,0,44
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5
WARNES,atencion odontologica,trat. de fracturas dentoalveolares,2019-06-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,6,1,14,12,0,1,22,12,1,6,0,0,0,0,75
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,0,1,0,0,5,7,13,4,3,0,0,0,0,33
ROBORE,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
SAN JOSE DE CHIQUITOS,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,0,2,1,2,1,0,0,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,6,0,3,2,0,5,0,4,4,0,0,0,0,24
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,0,2,1,1,1,12,22,1,1,0,0,0,0,41
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-07-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,1,0,1,1,0,0,0,5,0,0,0,0,0,0,8
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,4,2,2,3,1,1,16,22,4,4,0,0,0,0,59
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,1,0,0,1,0,4,10,18,5,4,0,0,0,0,43
PORONGO,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,4,0,2,3,3,0,0,3,2,0,0,0,0,0,17
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,0,2,2,2,0,0,11,21,3,2,0,0,0,0,43
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-08-01,1,10,13,7,6,10,12,22,1,2,0,0,0,0,84
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,1,2,0,1,0,0,0,5,1,0,0,0,0,0,10
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,0,0,0,0,1,3,0,1,0,0,0,0,5
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,2,0,0,2,0,4,0,0,0,0,0,0,8
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,1,1,4,1,0,0,5,14,3,3,0,0,0,0,32
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,0,0,2,3,10,10,5,3,0,0,0,0,33
PORONGO,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ROBORE,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,3,0,0,0,0,0,1,0,0,5,0,0,0,0,9
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,1,1,2,0,0,0,23,26,4,3,0,0,0,0,60
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-09-01,0,0,4,1,1,4,7,18,3,2,0,0,0,0,40
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,1,1,1,0,0,2,0,1,0,0,0,0,0,6
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,3,2,5,0,3,0,11,10,1,2,0,0,0,0,37
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,0,0,0,5,7,19,12,3,2,0,0,0,0,48
PORONGO,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,3,0,0,0,0,5,1,0,1,0,0,0,0,10
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,0,0,3,0,0,1,17,10,5,1,0,0,0,0,37
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-10-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,0,0,1,0,2,0,6,0,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,6,15,17,8,17,11,8,10,0,0,0,0,0,0,92
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,2,0,2,4,1,1,12,23,1,3,0,0,0,0,49
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,0,0,1,0,4,3,6,8,2,1,0,0,0,0,25
SAN JOSE DE CHIQUITOS,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,2,0,0,2,1,2,4,7,1,3,0,0,0,0,22
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,1,1,1,0,1,2,4,13,6,2,0,0,0,0,31
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6
YACUIBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,1,0,0,0,1,3,2,3,0,0,0,0,10
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,7,14,15,9,18,12,7,8,0,0,0,0,0,0,90
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,1,0,2,2,1,5,10,10,9,6,0,0,0,0,46
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,1,0,6,6,9,16,3,1,0,0,0,0,42
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,2,0,0,1,7,5,1,0,0,0,0,0,16
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,4,3,1,5,6,28,1,0,0,0,0,0,48
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2019-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
