,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
ARQUE,atencion odontologica,consulta repetida,2019-01-01,1,1,0,1,0,0,2,6,0,0,0,0,0,2,13
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2019-01-01,20,15,0,0,2,10,3,25,6,4,0,7,0,7,99
ATOCHA,atencion odontologica,consulta repetida,2019-01-01,8,19,64,44,31,53,80,80,5,4,0,2,0,0,390
AYO AYO,atencion odontologica,consulta repetida,2019-01-01,3,2,2,1,3,2,2,7,0,0,0,1,0,3,26
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2019-01-01,1,3,12,14,9,4,13,27,3,1,0,2,0,1,90
AZURDUY,atencion odontologica,consulta repetida,2019-01-01,18,4,18,8,33,32,32,98,1,6,0,16,0,4,270
BAURES,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,1,8,11,7,4,6,0,0,0,1,38
BELEN DE ANDAMARCA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
BELEN DE URMIRI,atencion odontologica,consulta repetida,2019-01-01,8,15,3,0,0,6,5,0,0,3,0,0,0,0,40
BERMEJO,atencion odontologica,consulta repetida,2019-01-01,19,10,25,57,14,26,35,54,1,3,0,2,0,1,247
BETANZOS,atencion odontologica,consulta repetida,2019-01-01,4,7,12,28,6,29,13,39,13,6,0,11,0,18,186
BOLIVAR,atencion odontologica,consulta repetida,2019-01-01,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6
BOYUIBE,atencion odontologica,consulta repetida,2019-01-01,0,2,0,3,3,4,1,16,1,0,0,0,0,0,30
BUENA VISTA,atencion odontologica,consulta repetida,2019-01-01,13,20,1,1,2,14,0,10,0,3,0,5,0,11,80
CABEZAS,atencion odontologica,consulta repetida,2019-01-01,1,3,1,2,1,5,3,6,0,0,0,0,0,0,22
CAIROMA,atencion odontologica,consulta repetida,2019-01-01,0,1,2,4,0,0,0,4,0,0,0,0,0,1,12
"CAIZA ""D""",atencion odontologica,consulta repetida,2019-01-01,1,0,5,4,0,4,8,20,2,4,0,1,0,0,49
CAJUATA,atencion odontologica,consulta repetida,2019-01-01,1,0,1,12,0,1,2,0,0,0,0,0,0,0,17
CALAMARCA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,1,0,4,2,0,0,0,1,0,0,8
CAMARGO,atencion odontologica,consulta repetida,2019-01-01,18,24,5,16,0,3,2,49,1,5,0,1,0,9,133
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2019-01-01,0,0,0,7,0,2,5,18,2,1,0,3,0,0,38
CAMIRI,atencion odontologica,consulta repetida,2019-01-01,46,28,20,44,28,40,25,80,17,12,0,13,0,4,357
CAPINOTA,atencion odontologica,consulta repetida,2019-01-01,12,12,26,14,0,5,2,22,7,2,0,0,0,2,104
CAQUIAVIRI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,11,0,1,0,0,0,0,0,0,12
CARACOLLO,atencion odontologica,consulta repetida,2019-01-01,8,8,10,17,18,23,9,30,2,3,0,2,0,0,130
CARANAVI,atencion odontologica,consulta repetida,2019-01-01,1,0,0,0,0,2,1,13,2,0,0,6,0,8,33
CARANGAS,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,2,0,1,1,0,0,0,0,0,4
CARAPARI,atencion odontologica,consulta repetida,2019-01-01,0,0,7,9,3,7,12,36,0,0,0,0,0,0,74
CARIPUYO,atencion odontologica,consulta repetida,2019-01-01,0,2,1,1,2,3,2,11,2,0,0,1,0,0,25
CHACARILLA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4
CHALLAPATA,atencion odontologica,consulta repetida,2019-01-01,13,17,31,26,11,17,8,42,10,14,0,4,0,2,195
CHAQUI,atencion odontologica,consulta repetida,2019-01-01,1,1,6,4,2,11,2,13,2,9,0,1,0,13,65
CHARAGUA,atencion odontologica,consulta repetida,2019-01-01,0,4,0,0,0,1,2,14,0,0,0,2,0,0,23
CHAYANTA,atencion odontologica,consulta repetida,2019-01-01,11,1,7,8,5,13,6,22,0,3,0,6,0,3,85
CHIMORE,atencion odontologica,consulta repetida,2019-01-01,1,0,3,11,1,1,1,5,4,0,0,1,0,4,32
CHIPAYA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,1,0,2,1,2,0,0,0,0,0,0,6
CHUA COCANI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2019-01-01,10,12,0,3,0,2,1,5,0,0,0,0,0,0,33
CHUMA,atencion odontologica,consulta repetida,2019-01-01,1,0,0,0,0,3,5,6,0,0,0,0,0,1,16
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2019-01-01,0,15,5,8,0,16,1,23,19,0,0,2,0,25,114
CKOCHAS,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,3,0,5,0,0,0,0,0,0,8
CLIZA,atencion odontologica,consulta repetida,2019-01-01,43,23,24,11,10,43,22,58,15,31,0,9,0,19,308
COBIJA,atencion odontologica,consulta repetida,2019-01-01,22,29,59,81,36,46,65,98,7,4,0,9,0,24,480
COCAPATA,atencion odontologica,consulta repetida,2019-01-01,1,1,7,2,0,8,0,2,1,0,0,0,0,0,22
COCHABAMBA,atencion odontologica,consulta repetida,2019-01-01,365,462,634,609,286,358,951,1356,280,206,0,18,0,54,5579
COIPASA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8
COLCAPIRHUA,atencion odontologica,consulta repetida,2019-01-01,13,6,15,3,4,3,4,11,5,1,0,1,0,5,71
"COLCHA ""K""",atencion odontologica,consulta repetida,2019-01-01,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5
COLLANA,atencion odontologica,consulta repetida,2019-01-01,3,1,4,8,2,12,4,9,0,0,0,0,0,0,43
COLOMI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COLQUECHACA,atencion odontologica,consulta repetida,2019-01-01,3,1,10,24,8,20,22,58,9,8,0,9,0,16,188
COLQUENCHA,atencion odontologica,consulta repetida,2019-01-01,0,0,2,1,2,6,5,6,0,0,0,0,0,0,22
COLQUIRI,atencion odontologica,consulta repetida,2019-01-01,1,2,42,71,36,45,5,16,0,1,0,0,0,0,219
COMARAPA,atencion odontologica,consulta repetida,2019-01-01,4,2,3,4,6,15,7,17,3,4,0,1,0,14,80
CONCEPCION,atencion odontologica,consulta repetida,2019-01-01,0,0,1,2,0,0,1,3,0,0,0,0,0,0,7
CORIPATA,atencion odontologica,consulta repetida,2019-01-01,1,0,2,0,1,0,0,8,0,0,0,0,0,6,18
CORO CORO,atencion odontologica,consulta repetida,2019-01-01,2,1,4,6,9,10,1,8,3,4,0,0,0,0,48
COROICO,atencion odontologica,consulta repetida,2019-01-01,7,0,3,3,0,0,0,6,2,0,0,0,0,0,21
CORQUE,atencion odontologica,consulta repetida,2019-01-01,0,0,2,6,0,9,1,6,0,5,0,0,0,0,29
COTAGAITA,atencion odontologica,consulta repetida,2019-01-01,11,6,26,36,22,42,43,69,2,4,0,0,0,0,261
COTOCA,atencion odontologica,consulta repetida,2019-01-01,38,36,3,1,0,15,0,78,2,8,0,0,0,0,181
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2019-01-01,6,5,4,6,0,2,4,11,2,1,0,3,0,2,46
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2019-01-01,5,14,0,0,0,0,0,6,0,0,0,0,0,0,25
CUEVO,atencion odontologica,consulta repetida,2019-01-01,0,0,2,1,1,2,0,1,0,0,0,0,0,0,7
CULPINA,atencion odontologica,consulta repetida,2019-01-01,4,2,18,12,1,16,8,20,3,10,0,2,0,3,99
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2019-01-01,0,0,3,4,0,2,1,8,3,6,0,0,0,2,29
DESAGUADERO,atencion odontologica,consulta repetida,2019-01-01,4,2,1,1,0,2,0,0,0,0,0,1,0,1,12
EL ALTO,atencion odontologica,consulta repetida,2019-01-01,224,183,417,428,251,311,264,537,74,57,0,28,0,12,2786
EL CHORO,atencion odontologica,consulta repetida,2019-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EL PUENTE(STC),atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EL PUENTE(TJA),atencion odontologica,consulta repetida,2019-01-01,0,0,1,2,3,2,2,19,0,0,0,0,0,0,29
EL TORNO,atencion odontologica,consulta repetida,2019-01-01,8,13,3,2,3,4,2,10,2,0,0,2,0,3,52
EL VILLAR,atencion odontologica,consulta repetida,2019-01-01,0,1,1,8,7,11,9,41,0,7,0,2,0,0,87
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2019-01-01,0,0,5,12,2,21,3,10,0,0,0,0,0,0,53
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2019-01-01,4,7,1,4,1,2,0,9,0,2,0,1,0,5,36
ESCARA,atencion odontologica,consulta repetida,2019-01-01,1,7,0,0,0,0,0,0,2,3,0,0,0,0,13
ESCOMA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,1,5,6,0,1,0,0,0,0,13
ESMERALDA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
EUCALIPTUS,atencion odontologica,consulta repetida,2019-01-01,0,1,2,0,0,5,6,16,0,1,0,2,0,2,35
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2019-01-01,1,0,0,0,0,1,0,0,4,2,0,1,0,0,9
FILADELFIA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GUANAY,atencion odontologica,consulta repetida,2019-01-01,26,22,4,9,5,9,12,43,10,2,0,16,0,4,162
GUAQUI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,consulta repetida,2019-01-01,9,13,90,127,41,39,65,81,8,12,0,0,0,2,487
GUTIERREZ,atencion odontologica,consulta repetida,2019-01-01,0,0,1,0,2,1,5,8,0,2,0,0,0,0,19
HUACARETA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2019-01-01,8,3,1,7,0,3,4,25,0,0,0,0,0,0,51
HUANUNI,atencion odontologica,consulta repetida,2019-01-01,10,45,17,33,30,35,44,83,10,10,0,2,0,1,320
HUARACAJE,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUARINA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUATAJATA,atencion odontologica,consulta repetida,2019-01-01,2,0,0,1,7,1,2,2,2,6,0,1,0,0,24
HUAYLLAMARCA,atencion odontologica,consulta repetida,2019-01-01,0,1,0,0,0,2,0,11,5,0,0,0,0,0,19
HUMANATA,atencion odontologica,consulta repetida,2019-01-01,1,3,0,0,0,0,0,5,14,23,0,2,0,1,49
ICLA,atencion odontologica,consulta repetida,2019-01-01,1,0,2,2,0,1,0,1,0,0,0,0,0,0,7
INCAHUASI,atencion odontologica,consulta repetida,2019-01-01,0,0,3,2,1,0,3,14,0,2,0,0,0,0,25
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2019-01-01,2,2,0,3,2,0,0,5,5,1,0,2,0,1,23
IXIAMAS,atencion odontologica,consulta repetida,2019-01-01,1,0,3,0,2,10,4,9,0,0,0,1,0,0,30
LA ASUNTA,atencion odontologica,consulta repetida,2019-01-01,6,3,10,6,0,2,3,4,0,1,0,3,0,1,39
LA GUARDIA,atencion odontologica,consulta repetida,2019-01-01,16,2,0,0,0,0,1,0,0,0,0,3,0,3,25
LA PAZ,atencion odontologica,consulta repetida,2019-01-01,450,390,962,1076,490,774,1096,1920,414,382,0,56,0,36,8046
LA RIVERA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LAJA,atencion odontologica,consulta repetida,2019-01-01,2,1,5,4,0,6,3,10,2,0,0,0,0,0,33
LAS CARRERAS,atencion odontologica,consulta repetida,2019-01-01,0,0,1,0,0,0,13,24,2,5,0,0,0,0,45
LLALLAGUA,atencion odontologica,consulta repetida,2019-01-01,4,7,8,3,0,8,10,28,4,0,0,1,0,12,85
MACHACAMARCA,atencion odontologica,consulta repetida,2019-01-01,7,4,14,34,4,6,8,58,8,12,0,0,0,8,163
MACHARETI,atencion odontologica,consulta repetida,2019-01-01,2,0,0,0,0,0,1,3,0,0,0,0,0,0,6
MAGDALENA,atencion odontologica,consulta repetida,2019-01-01,0,0,1,0,1,1,2,7,4,1,0,0,0,0,17
MAIRANA,atencion odontologica,consulta repetida,2019-01-01,12,9,5,3,4,11,1,20,1,3,0,2,0,10,81
MAPIRI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MECAPACA,atencion odontologica,consulta repetida,2019-01-01,2,4,1,0,0,0,0,1,0,0,0,0,0,0,8
MINEROS,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,0,5,2,0,0,0,0,7
MIZQUE,atencion odontologica,consulta repetida,2019-01-01,23,17,19,17,1,10,4,31,1,3,0,1,0,3,130
MOCOMOCO,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,3,0,0,9,0,0,0,0,0,0,12
MOJINETE,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
MOJOCOYA,atencion odontologica,consulta repetida,2019-01-01,1,0,0,7,0,7,10,26,0,0,0,1,0,0,52
MONTEAGUDO,atencion odontologica,consulta repetida,2019-01-01,22,2,8,9,1,26,20,39,6,8,0,6,0,8,155
MONTERO,atencion odontologica,consulta repetida,2019-01-01,10,5,10,7,3,32,6,9,8,1,0,1,0,0,92
MORO MORO,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,5,3,3,1,1,0,0,0,0,13
OCURI,atencion odontologica,consulta repetida,2019-01-01,3,0,1,0,1,1,0,10,0,2,0,2,0,6,26
OKINAWA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OMEREQUE,atencion odontologica,consulta repetida,2019-01-01,1,2,0,16,2,8,4,6,0,0,0,0,0,0,39
ORURO,atencion odontologica,consulta repetida,2019-01-01,233,205,335,359,120,360,374,713,133,83,0,51,0,44,3010
PADCAYA,atencion odontologica,consulta repetida,2019-01-01,0,1,19,14,4,9,25,31,0,1,0,0,0,0,104
PADILLA,atencion odontologica,consulta repetida,2019-01-01,32,17,20,8,7,15,9,45,1,3,0,1,0,16,174
PAILON,atencion odontologica,consulta repetida,2019-01-01,11,4,1,3,1,1,0,4,1,3,0,0,0,4,33
PALCA,atencion odontologica,consulta repetida,2019-01-01,2,0,1,0,0,0,0,2,0,0,0,0,0,0,5
PALOS BLANCOS,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,2,2,2,0,0,0,0,2,8
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
PASORAPA,atencion odontologica,consulta repetida,2019-01-01,0,2,0,4,0,0,1,2,1,0,0,0,0,0,10
PATACAMAYA,atencion odontologica,consulta repetida,2019-01-01,15,7,4,1,1,1,1,3,0,0,0,0,0,0,33
PAZÑA,atencion odontologica,consulta repetida,2019-01-01,6,6,9,2,11,9,13,34,2,1,0,1,0,12,106
POCOATA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4
POCONA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
POJO (CBBA),atencion odontologica,consulta repetida,2019-01-01,3,0,5,8,4,7,3,11,0,3,0,4,0,2,50
POOPO,atencion odontologica,consulta repetida,2019-01-01,7,5,2,14,7,3,5,10,2,1,0,1,0,3,60
PORCO,atencion odontologica,consulta repetida,2019-01-01,2,2,1,15,4,5,0,10,0,0,0,1,0,1,41
POROMA,atencion odontologica,consulta repetida,2019-01-01,1,0,4,1,8,0,5,4,0,0,0,0,0,0,23
PORTACHUELO,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,consulta repetida,2019-01-01,1,0,0,3,0,1,1,7,0,0,0,0,0,0,13
POSTRER VALLE,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
POTOSI,atencion odontologica,consulta repetida,2019-01-01,196,233,245,327,209,351,515,809,22,11,0,45,0,36,2999
PRESTO,atencion odontologica,consulta repetida,2019-01-01,0,1,1,0,1,8,1,8,3,1,0,0,0,1,25
PUCARANI,atencion odontologica,consulta repetida,2019-01-01,8,13,1,0,0,3,1,6,25,21,0,0,0,2,80
PUERTO CARABUCO,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2019-01-01,1,1,3,1,0,11,0,27,0,0,0,20,0,10,74
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2019-01-01,4,0,0,0,0,0,0,0,2,0,0,0,0,0,6
PUERTO RICO,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5
PUERTO SUAREZ,atencion odontologica,consulta repetida,2019-01-01,0,0,0,1,1,1,2,3,1,1,0,1,0,1,12
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2019-01-01,15,22,10,13,5,20,2,49,3,1,0,16,0,34,190
PUNA,atencion odontologica,consulta repetida,2019-01-01,5,3,1,0,2,5,5,8,0,0,0,0,0,1,30
PUNATA,atencion odontologica,consulta repetida,2019-01-01,30,16,13,23,1,30,5,43,2,20,0,9,0,8,200
QUIABAYA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
QUILLACOLLO,atencion odontologica,consulta repetida,2019-01-01,4,8,25,36,17,15,28,75,27,13,0,0,0,3,251
QUIME,atencion odontologica,consulta repetida,2019-01-01,8,5,32,47,12,11,68,27,15,4,0,0,0,0,229
QUIRUSILLAS,atencion odontologica,consulta repetida,2019-01-01,0,0,1,0,0,0,2,5,0,0,0,0,0,0,8
RAVELO,atencion odontologica,consulta repetida,2019-01-01,1,5,0,1,0,2,3,4,1,0,0,4,0,0,21
REYES,atencion odontologica,consulta repetida,2019-01-01,5,1,61,13,6,1,24,43,8,4,0,0,0,0,166
RIBERALTA,atencion odontologica,consulta repetida,2019-01-01,38,47,136,145,121,123,150,206,51,26,0,10,0,22,1075
ROBORE,atencion odontologica,consulta repetida,2019-01-01,5,8,7,6,13,8,15,13,6,2,0,0,0,1,84
RURRENABAQUE,atencion odontologica,consulta repetida,2019-01-01,0,0,1,1,2,7,3,5,6,0,0,0,0,0,25
SABAYA,atencion odontologica,consulta repetida,2019-01-01,1,0,1,0,0,1,2,1,5,3,0,1,0,0,15
SACABA,atencion odontologica,consulta repetida,2019-01-01,32,37,63,69,20,49,36,100,27,19,0,10,0,12,474
SACABAMBA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
SACACA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
SAIPINA,atencion odontologica,consulta repetida,2019-01-01,2,1,2,1,1,4,1,5,0,0,0,0,0,2,19
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2019-01-01,6,26,3,8,10,18,5,11,12,10,0,1,0,1,111
SAMAIPATA,atencion odontologica,consulta repetida,2019-01-01,0,0,1,4,0,0,0,3,0,0,0,0,0,0,8
SAN ANDRES,atencion odontologica,consulta repetida,2019-01-01,0,0,2,2,1,0,0,0,0,0,0,0,0,0,5
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2019-01-01,0,2,0,1,2,6,2,2,3,0,0,1,0,0,19
SAN ANTONIO DE LOMERIO,atencion odontologica,consulta repetida,2019-01-01,0,1,1,0,0,0,0,3,0,0,0,0,0,0,5
SAN BENITO,atencion odontologica,consulta repetida,2019-01-01,25,34,38,45,21,30,19,55,19,33,0,24,0,17,360
SAN BORJA,atencion odontologica,consulta repetida,2019-01-01,12,3,18,25,21,5,33,40,15,1,0,0,0,0,173
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
SAN CARLOS,atencion odontologica,consulta repetida,2019-01-01,2,3,0,3,2,6,0,0,0,0,0,0,0,0,16
SAN IGNACIO,atencion odontologica,consulta repetida,2019-01-01,3,2,8,18,4,5,4,38,2,0,0,1,0,0,85
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2019-01-01,0,0,10,19,14,6,4,25,1,2,0,2,0,1,84
SAN JAVIER(STC),atencion odontologica,consulta repetida,2019-01-01,0,0,0,3,0,3,0,4,2,0,0,1,0,0,13
SAN JOAQUIN,atencion odontologica,consulta repetida,2019-01-01,0,1,2,4,7,6,4,8,0,6,0,3,0,2,43
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2019-01-01,0,0,1,7,2,0,2,3,3,0,0,0,0,0,18
SAN JUAN DE YAPACANI,atencion odontologica,consulta repetida,2019-01-01,0,0,1,4,0,2,0,3,0,0,0,0,0,0,10
SAN JULIAN,atencion odontologica,consulta repetida,2019-01-01,25,14,0,0,3,5,6,25,2,3,0,1,0,15,99
SAN LORENZO(PND),atencion odontologica,consulta repetida,2019-01-01,0,1,0,1,0,0,1,1,0,0,0,0,0,0,4
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2019-01-01,0,1,8,13,13,19,18,47,0,0,0,0,0,1,120
SAN LUCAS,atencion odontologica,consulta repetida,2019-01-01,2,0,8,6,4,5,2,20,1,0,0,0,0,0,48
SAN MATIAS,atencion odontologica,consulta repetida,2019-01-01,2,3,1,0,2,2,3,5,1,0,0,2,0,0,21
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2019-01-01,4,0,4,16,1,4,8,28,5,1,0,0,0,6,77
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,consulta repetida,2019-01-01,1,7,5,4,8,8,13,24,5,2,0,0,0,0,77
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2019-01-01,8,12,2,2,0,27,6,39,11,4,0,1,0,30,142
SAN RAFAEL,atencion odontologica,consulta repetida,2019-01-01,1,0,0,1,0,0,1,7,0,0,0,1,0,0,11
SAN RAMON BENI,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,7,0,0,0,5,0,0,12
SAN RAMON SCZ,atencion odontologica,consulta repetida,2019-01-01,0,0,0,2,3,6,1,2,7,0,0,1,0,1,23
SANTA ANA,atencion odontologica,consulta repetida,2019-01-01,4,1,27,13,5,3,8,7,6,0,0,0,0,0,74
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2019-01-01,394,385,711,735,590,848,1161,1931,294,246,0,102,0,32,7429
SANTA ROSA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2019-01-01,0,0,1,7,1,3,4,8,0,0,0,0,0,0,24
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2019-01-01,20,21,30,39,6,32,15,35,15,4,0,1,0,0,218
SANTIVAÑES,atencion odontologica,consulta repetida,2019-01-01,1,0,0,3,5,1,2,3,8,7,0,1,0,0,31
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2019-01-01,10,4,5,2,7,0,14,18,7,1,0,0,0,3,71
SAPAHAQUI,atencion odontologica,consulta repetida,2019-01-01,0,0,2,0,0,0,2,5,0,0,0,0,0,2,11
SENA,atencion odontologica,consulta repetida,2019-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SHINAOTA,atencion odontologica,consulta repetida,2019-01-01,0,8,1,1,0,0,0,0,0,0,0,0,0,0,10
