,group,variable,month,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
PUERTO RICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,2.0,0.0,2.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,1.0,4.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,6.0,2.0,8.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,19.0,15.0,34.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,13.0,11.0,24.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,10.0,4.0,14.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,4.0,7.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,0.0,3.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,5.0,6.0,11.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,2.0,1.0,3.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,1.0,2.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,43.0,36.0,79.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,2.0,3.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,2.0,2.0,4.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,241.0,221.0,462.0
SENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,5.0,0.0,5.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SUCRE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,6.0,3.0,9.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,104.0,112.0,216.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,14.0,15.0,29.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,1.0,4.0
URIONDO (A. CONCEPCION),diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,3.0,3.0,6.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,6.0,6.0,12.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,4.0,2.0,6.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,7.0,4.0,11.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,5.0,6.0,11.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,36.0,21.0,57.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,2.0,2.0,4.0
YOCALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-01-01,4.0,5.0,9.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
APOLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,4.0,4.0,8.0
BAURES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,1.0,2.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,29.0,25.0,54.0
BOYUIBE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,4.0,7.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,8.0,6.0,14.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,2.0,2.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,0.0,3.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,1.0,2.0
CHAQUI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,2.0,4.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,7.0,3.0,10.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,27.0,25.0,52.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,5.0,2.0,7.0
CUATRO CAÑADAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,41.0,38.0,79.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,87.0,79.0,166.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,7.0,4.0,11.0
ENTRE RIOS TRJ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
GUANAY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,7.0,13.0,20.0
HUACARETA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,22.0,19.0,41.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,2.0,2.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,6.0,8.0,14.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,37.0,23.0,60.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,20.0,20.0,40.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,5.0,3.0,8.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,29.0,21.0,50.0
OCURI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,1.0,3.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,9.0,12.0,21.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,13.0,10.0,23.0
PORVENIR,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,2.0,3.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,18.0,18.0,36.0
PUERTO CARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,0.0,3.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,4.0,1.0,5.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,1.0,4.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,28.0,21.0,49.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,5.0,7.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,3.0,3.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,4.0,6.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,5.0,8.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,4.0,3.0,7.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,4.0,0.0,4.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,5.0,4.0,9.0
SAN JOAQUIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,2.0,3.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,4.0,0.0,4.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,27.0,39.0,66.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,9.0,5.0,14.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SAN PABLO DE LIPEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,3.0,5.0
SAN RAMON SCZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,227.0,200.0,427.0
SANTA ROSA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,3.0,3.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,6.0,2.0,8.0
SUCRE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,2.0,5.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,12.0,6.0,18.0
TIPUANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,12.0,13.0,25.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,3.0,5.0
UYUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,1.0,4.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,3.0,2.0,5.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,30.0,22.0,52.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,7.0,11.0,18.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,3.0,5.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,27.0,18.0,45.0
YAMPARAEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,2.0,0.0,2.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,8.0,10.0,18.0
YOCALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-02-01,0.0,1.0,1.0
ACHACACHI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,8.0,6.0,14.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,0.0,2.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,1.0,3.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,3.0,6.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,16.0,9.0,25.0
BUENA VISTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,1.0,3.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,6.0,3.0,9.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,6.0,9.0,15.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,2.0,3.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,1.0,3.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,1.0,3.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,10.0,10.0,20.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,19.0,22.0,41.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
COLQUECHACA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,5.0,7.0
CONCEPCION,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,0.0,1.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,89.0,85.0,174.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,6.0,10.0
ENTRE RIOS TRJ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,22.0,11.0,33.0
HUACARETA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,12.0,12.0,24.0
ICLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,6.0,14.0,20.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,29.0,43.0,72.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,0.0,4.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,2.0,6.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,46.0,29.0,75.0
OCURI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,2.0,5.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,12.0,13.0,25.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,1.0,4.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,3.0,7.0
PORVENIR,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,22.0,22.0,44.0
PUERTO QUIJARRO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,3.0,3.0
PUERTO RICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
PUERTO SUAREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,2.0,5.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,2.0,6.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,45.0,28.0,73.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,16.0,8.0,24.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,2.0,4.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,10.0,6.0,16.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,1.0,2.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,4.0,5.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,5.0,8.0,13.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,1.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,6.0,9.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,1.0,4.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,4.0,8.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,25.0,15.0,40.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,0.0,2.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,2.0,3.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,187.0,124.0,311.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,3.0,7.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,2.0,2.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,8.0,8.0,16.0
TIPUANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,2.0,3.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,18.0,23.0,41.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,0.0,2.0,2.0
UMALA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,0.0,2.0
UYUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,4.0,2.0,6.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,2.0,5.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,18.0,20.0,38.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,2.0,0.0,2.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,5.0,3.0,8.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,26.0,22.0,48.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,21.0,17.0,38.0
YOCALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-03-01,3.0,2.0,5.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,1.0,1.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,6.0,10.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,8.0,2.0,10.0
BELLA FLOR,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,1.0,2.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,38.0,32.0,70.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,12.0,5.0,17.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,8.0,4.0,12.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,1.0,1.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,3.0,4.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,1.0,5.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,2.0,6.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,12.0,16.0,28.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,39.0,34.0,73.0
COLQUECHACA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,4.0,6.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,3.0,4.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,72.0,64.0,136.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,2.0,6.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,15.0,13.0,28.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,4.0,9.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,34.0,44.0,78.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,4.0,4.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,1.0,3.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,36.0,22.0,58.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,16.0,22.0,38.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,0.0,2.0
PORONGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,1.0,5.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,5.0,10.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,21.0,26.0,47.0
PUERTO SUAREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,2.0,2.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,3.0,8.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,3.0,7.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,29.0,21.0,50.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,21.0,10.0,31.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,9.0,14.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,1.0,6.0
SAN ANTONIO DE ESMORUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,7.0,11.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,6.0,8.0
