,group,variable,month,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,8.0,10.0,18.0
SAN JOAQUIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,1.0,2.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,6.0,5.0,11.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,1.0,2.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,2.0,4.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,242.0,193.0,435.0
SANTA ROSA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,1.0,3.0
SUCRE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,2.0,3.0,5.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,15.0,16.0,31.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
TOTORA(CBBA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,0.0,1.0,1.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,4.0,6.0,10.0
URIONDO (A. CONCEPCION),diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,7.0,1.0,8.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,1.0,0.0,1.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,5.0,3.0,8.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,3.0,2.0,5.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,30.0,21.0,51.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-01-01,5.0,5.0,10.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,4.0,6.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,0.0,2.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,3.0,5.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,1.0,2.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,0.0,2.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,1.0,4.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,1.0,2.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,7.0,5.0,12.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,21.0,16.0,37.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,5.0,4.0,9.0
CULPINA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,2.0,3.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,36.0,32.0,68.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,6.0,4.0,10.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
GUTIERREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,2.0,2.0
HUACARETA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,1.0,3.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,33.0,34.0,67.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,40.0,20.0,60.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,14.0,15.0,29.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,7.0,10.0,17.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,0.0,2.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,4.0,4.0,8.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,15.0,17.0,32.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,0.0,3.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,1.0,3.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,2.0,4.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,2.0,5.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,3.0,6.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,2.0,5.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,0.0,2.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,6.0,5.0,11.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,2.0,5.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,2.0,3.0
SAN RAFAEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,2.0,1.0,3.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,43.0,54.0,97.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,5.0,8.0
SUCRE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,5.0,3.0,8.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,4.0,2.0,6.0
TIPUANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,7.0,5.0,12.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,14.0,5.0,19.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,3.0,1.0,4.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,17.0,14.0,31.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,8.0,2.0,10.0
YOCALLA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-02-01,0.0,1.0,1.0
ACHACACHI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,3.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,1.0,3.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,1.0,2.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,2.0,2.0
BAURES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,1.0,2.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,4.0,1.0,5.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,1.0,3.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,3.0,3.0,6.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,0.0,2.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,1.0,3.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,6.0,1.0,7.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,3.0,0.0,3.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,8.0,9.0,17.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,32.0,25.0,57.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,0.0,2.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,3.0,3.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,61.0,62.0,123.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,4.0,6.0
HUACARETA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,2.0,2.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,5.0,7.0,12.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,41.0,41.0,82.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,2.0,4.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,1.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,2.0,3.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,28.0,29.0,57.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,11.0,10.0,21.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,3.0,5.0
PALOS BLANCOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,4.0,2.0,6.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,25.0,37.0,62.0
PUERTO RICO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,1.0,2.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,2.0,2.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,3.0,0.0,3.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,4.0,3.0,7.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,10.0,13.0,23.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,3.0,0.0,3.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,4.0,6.0,10.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,6.0,2.0,8.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,5.0,6.0,11.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,2.0,0.0,2.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,5.0,4.0,9.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,11.0,16.0,27.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,9.0,17.0,26.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,5.0,6.0,11.0
SAN RAFAEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,77.0,81.0,158.0
SANTA ROSA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,8.0,9.0,17.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,2.0,2.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,11.0,7.0,18.0
TIPUANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,8.0,10.0,18.0
UMALA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,0.0,5.0,5.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,12.0,6.0,18.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,1.0,0.0,1.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,3.0,0.0,3.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,53.0,32.0,85.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-03-01,7.0,4.0,11.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,2.0,2.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,7.0,2.0,9.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,3.0,4.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,6.0,7.0,13.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,0.0,2.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,4.0,6.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,2.0,4.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,2.0,4.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,4.0,8.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,7.0,4.0,11.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,11.0,11.0,22.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,77.0,40.0,117.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,4.0,8.0
COMARAPA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,6.0,4.0,10.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,1.0,2.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,136.0,125.0,261.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,2.0,2.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
HUANUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,1.0,2.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,4.0,8.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,115.0,93.0,208.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,5.0,8.0,13.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,8.0,10.0,18.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,32.0,33.0,65.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,33.0,23.0,56.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,2.0,6.0
PALOS BLANCOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,1.0,2.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,3.0,7.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,59.0,32.0,91.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,2.0,3.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,8.0,6.0,14.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,7.0,3.0,10.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,37.0,19.0,56.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,3.0,7.0,10.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,2.0,4.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,2.0,2.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,27.0,14.0,41.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,1.0,1.0
SAN BUENA VENTURA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,3.0,1.0,4.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,8.0,5.0,13.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,15.0,6.0,21.0
SAN JOAQUIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,2.0,3.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,1.0,5.0
SAN LUCAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,4.0,6.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
SAN RAMON BENI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,1.0,1.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,339.0,351.0,690.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,14.0,11.0,25.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,2.0,4.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,79.0,68.0,147.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,8.0,7.0,15.0
TOTORA(CBBA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,2.0,4.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,6.0,2.0,8.0
TUPIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,2.0,0.0,2.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
VILLA MONTES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,1.0,0.0,1.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,28.0,17.0,45.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,4.0,5.0,9.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,6.0,4.0,10.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,36.0,25.0,61.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-04-01,13.0,12.0,25.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,2.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,2.0,5.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,3.0,4.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,16.0,22.0,38.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,4.0,4.0,8.0
BETANZOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,12.0,4.0,16.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,5.0,7.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,13.0,5.0,18.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,1.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,3.0,5.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,6.0,7.0,13.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,5.0,8.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,11.0,5.0,16.0
