municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
CHIMORE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,5,5
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
COMBAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
CORO CORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
COTOCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
CURVA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,33,33
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
EL TORNO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
GUTIERREZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
HUARINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
HUMANATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,38,38
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
LAJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
MORO MORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
PALCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
PATACAMAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
POOPO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PORCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,12,12
PUCARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
REYES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,11,11
SACABA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAIPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,9,9
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,14,14
SAN LUCAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAN PEDRO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,4,4
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,24,24
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
SORATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
TEOPONTE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TIPUANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,6,6
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
TOMAVE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,2,2
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,7,7
TUPIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,10,10
UMALA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
VACAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,7,7
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,3,3
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,6,6
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,8,8
YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,7,7
ACHOCALLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
ARBIETO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,8,8
BETANZOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
BOLIVAR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
CAMIRI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
CAPINOTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
COMANCHE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
CORO CORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,39,39
EL TORNO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
ESCOMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
HUMANATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
LA GUARDIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,37,37
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
LAJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
MACHARETI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
MOJOCOYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,6,6
MORO MORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
OMEREQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
PAILON,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,5,5
PELECHUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
POJO (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
PORTACHUELO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
POSTRER VALLE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,5,5
PRESTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PUCARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
QUIME,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,5,5
REYES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,6,6
ROBORE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
SACABA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAIPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
SAN BENITO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,12,12
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,6,6
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
SANTA ANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,25,25
SANTA ROSA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SENA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SIPE SIPE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SORACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
SORATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,4,4
TARABUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
TARACO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
TOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,17,17
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2011-02-01,1,1
