municipality,group,variable,month,Numero de actividades realizadas con la comunidad,TOTAL
GUANAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
IXIAMAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,28,28
MOJOCOYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,3,3
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,10,10
PUERTO VILLARROEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
SAN IGNACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
SAN JULIAN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,6,6
SAN PEDRO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,3,3
SIPE SIPE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,2,2
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,54,54
TARVITA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,4,4
TIPUANI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
YACUIBA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-03-01,1,1
AZURDUY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,39,39
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,3,3
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
CAMARGO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,13,13
CAMATAQUI (C. VILLA ABECIA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
CAPINOTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,1,1
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,4,4
COTOCA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,1,1
ENTRE RIOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
GUAYARAMERIN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
GUTIERREZ,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
INCAHUASI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,6,6
IXIAMAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,66,66
MORO MORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
OKINAWA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,3,3
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,42,42
PORONGO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
PUCARA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,30,30
PUERTO VILLARROEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,8,8
SAN BUENA VENTURA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,8,8
SAN IGNACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,1,1
SAN IGNACIO DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,6,6
SAN LUCAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,15,15
SAN PEDRO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
SAN RAMON,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,2,2
TARIJA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,5,5
TORO TORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,7,7
TRIGAL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,4,4
VILLA TUNARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-04-01,4,4
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,15,15
CAMATAQUI (C. VILLA ABECIA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,7,7
COCHABAMBA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
ENTRE RIOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,5,5
MOROCHATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,5,5
PADCAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
POJO (CBBA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,1,1
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,9,9
PORONGO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,1,1
POSTRER VALLE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
PUCARA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,16,16
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,4,4
SACABA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,1,1
SACABAMBA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
SAIPINA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,5,5
SAN IGNACIO DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,3,3
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,6,6
SAN MIGUEL DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,5,5
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,4,4
SANTIVAÑES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
TARATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,18,18
TORO TORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,7,7
TOTORA(CBBA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,1,1
TRINIDAD,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,8,8
VALLEGRANDE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,8,8
WARNES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-05-01,2,2
ANZALDO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
ARBIETO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,2,2
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,8,8
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
COCHABAMBA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,9,9
EL TORNO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
MACHARETI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,12,12
MORO MORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,5,5
MOROCHATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,3,3
PADILLA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,59,59
PORONGO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,3,3
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,11,11
RIBERALTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,8,8
SAIPINA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,5,5
SAN LUCAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,15,15
SAN RAFAEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,4,4
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,5,5
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,8,8
TAPACARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,4,4
TOLATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
TRIGAL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,1,1
VILLA SERRANO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-06-01,3,3
ALALAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,3,3
AZURDUY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,3,3
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,10,10
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,15,15
BOLIVAR,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,9,9
CABEZAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,2,2
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
CHARAGUA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,7,7
EL VILLAR,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,5,5
GUTIERREZ,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,10,10
HUACARETA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,2,2
MINEROS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,2,2
MIZQUE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,5,5
MORO MORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,4,4
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,61,61
PUERTO VILLARROEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,5,5
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,6,6
PUNATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
RIBERALTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,6,6
SAN ANDRES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,5,5
SAN IGNACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,2,2
SAN MIGUEL DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,7,7
SAN RAFAEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,11,11
TARIJA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,24,24
TOLATA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,2,2
TRIGAL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
VALLEGRANDE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,1,1
WARNES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-07-01,4,4
ACACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,6,6
ALALAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,4,4
AZURDUY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,4,4
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,12,12
CAMIRI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
CAPINOTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,6,6
CHARAGUA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,8,8
COTOCA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
EL VILLAR,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,8,8
ENTRE RIOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,4,4
GUANAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,4,4
IXIAMAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
MAPIRI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
MONTERO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
PADCAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,5,5
PADILLA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
PALOS BLANCOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
POCONA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,50,50
POSTRER VALLE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
PUCARA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,6,6
PUERTO SILES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
PUERTO VILLARROEL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
PUNA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
RIBERALTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,3,3
SAN BORJA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,12,12
SAN IGNACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
SAN IGNACIO DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
SAN JOAQUIN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,1,1
SAN LORENZO(TJA),control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,6,6
SAN PEDRO DE BUENA VISTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,13,13
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,7,7
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
TARIJA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,3,3
TOMINA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
TORO TORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,5,5
TRIGAL,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,2,2
VALLEGRANDE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-08-01,3,3
AZURDUY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,44,44
BERMEJO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,13,13
BETANZOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,35,35
CARANAVI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
CARAPARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,12,12
CHARAGUA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,9,9
COLOMI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,4,4
COLPA BELGICA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
EL VILLAR,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,5,5
ENTRE RIOS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
GUANAY,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
HUACARETA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,4,4
ICLA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
MAIRANA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
MORO MORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
PAMPA GRANDE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
POROMA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,5,5
POSTRER VALLE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
RAVELO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,7,7
RIBERALTA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,3,3
ROBORE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
SAN ANDRES,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,5,5
SAN IGNACIO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
SAN IGNACIO DE VELASCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,54,54
SAN JULIAN,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,3,3
SAN LUCAS,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,8,8
SAN PEDRO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,10,10
SANTA CRUZ DE LA SIERRA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,3,3
SANTA ROSA DEL SARA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,8,8
SUCRE,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,4,4
TACOPAYA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,1,1
TAPACARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,5,5
TARIJA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,28,28
TOCO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
TOMINA,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,6,6
TORO TORO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,12,12
VILLA SERRANO,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,2,2
VILLA TUNARI,control vectorial de dengue lucha vectorial integrada,numero de actividades realizadas con la comunidad,2007-09-01,5,5
