municipality,group,variable,month,Número de personas que recibieron orientación,TOTAL
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,35,35
CHUMA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,19,19
CLIZA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,39,39
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,198,198
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2970,2970
COLCAPIRHUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,158,158
"COLCHA ""K""","anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
COLOMI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,48,48
COLPA BELGICA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,203,203
COLQUECHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,83,83
COLQUENCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,11,11
COLQUIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,90,90
COMANCHE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,3,3
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,48,48
COMBAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,7,7
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,107,107
COPACABANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,15,15
CORIPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,12,12
CORO CORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,13,13
COROICO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,15,15
CORQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,27,27
COTAGAITA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,87,87
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,210,210
CUATRO CAÑADAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,95,95
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
CUEVO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
CULPINA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,339,339
CURAHUARA DE CARANGAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,30,30
CURVA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,7,7
DESAGUADERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,30,30
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,3188,3188
EL CHORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,26,26
EL PUENTE(STC),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,95,95
EL PUENTE(TJA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,108,108
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,220,220
EL VILLAR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,57,57
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,127,127
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,54,54
ESCARA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,3,3
EUCALIPTUS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,66,66
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,42,42
EXALTACION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,9,9
FERNANDEZ ALONSO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,76,76
FILADELFIA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,63,63
GENERAL SAAVEDRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,169,169
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,21,21
GUANAY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,21,21
GUAQUI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,19,19
GUAYARAMERIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,634,634
GUTIERREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,22,22
HUACARETA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,201,201
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,39,39
HUACHACALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,4,4
HUANUNI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,134,134
HUARACAJE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,31,31
HUAYLLAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,23,23
ICHOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,26,26
ICLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,139,139
INCAHUASI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,246,246
INGAVI (HUMAITA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
INQUISIVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,107,107
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,47,47
IXIAMAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,57,57
JESUS DE MACHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,28,28
LA ASUNTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,112,112
LA GUARDIA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,306,306
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2327,2327
LAGUNILLAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,96,96
LAJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,50,50
LAS CARRERAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,56,56
LICOMA PAMPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,22,22
LLALLAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,206,206
LLICA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,1,1
LORETO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,60,60
LURIBAY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,22,22
MACHACAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,5,5
MACHARETI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,157,157
MAGDALENA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,157,157
MAIRANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,48,48
MALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,8,8
MAPIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,69,69
MECAPACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,58,58
MINEROS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,67,67
MIZQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,67,67
MOCOMOCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,37,37
MOJINETE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
MOJOCOYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,68,68
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,382,382
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,822,822
MORO MORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,46,46
MOROCHATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,112,112
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,15,15
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,24,24
OCURI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,38,38
OKINAWA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,152,152
OMEREQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,30,30
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,1331,1331
PADCAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,114,114
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,234,234
PAILON,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,90,90
PALCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,25,25
PALOS BLANCOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,85,85
PAMPA AULLAGAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,13,13
PAMPA GRANDE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,47,47
PAPEL PAMPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,5,5
PASORAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,9,9
PATACAMAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,58,58
PAZÑA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,53,53
PELECHUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,29,29
POCOATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,64,64
POCONA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,17,17
POJO (CBBA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,13,13
POOPO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,52,52
PORCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
POROMA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,115,115
PORONGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,49,49
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,72,72
PORVENIR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,13,13
POSTRER VALLE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,19,19
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,389,389
PRESTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,95,95
PUCARA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
PUCARANI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,55,55
PUERTO ACOSTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,30,30
PUERTO CARABUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,75,75
PUERTO GONZALO MORENO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,25,25
PUERTO PEREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,19,19
PUERTO QUIJARRO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,183,183
PUERTO RICO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,29,29
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,94,94
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,128,128
PUNA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,81,81
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,157,157
QUIABAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,456,456
QUIME,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,66,66
QUIRUSILLAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,3,3
RAVELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,27,27
REYES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,29,29
RIBERALTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,528,528
ROBORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,87,87
RURRENABAQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,73,73
SABAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,16,16
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,321,321
SACABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,12,12
SACACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,44,44
SAIPINA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,39,39
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,54,54
SAMAIPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,44,44
SAN AGUSTIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
SAN ANDRES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,90,90
SAN ANDRES DE MACHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,2,2
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,57,57
SAN BENITO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,113,113
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,124,124
SAN BUENA VENTURA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,89,89
SAN CARLOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,71,71
SAN IGNACIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,162,162
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,621,621
SAN JAVIER(BNI),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,26,26
SAN JAVIER(STC),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,105,105
SAN JOAQUIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,10,10
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de personas que recibieron orientacion,2006-01-01,151,151
