municipality,group,variable,month,Número de inyectables trimestrales suministra,TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,68,68
ATOCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,89,89
AUCAPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,26,26
AYATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,40,40
AYO AYO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,135,135
AZURDUY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,92,92
BATALLAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,41,41
BAURES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,18,18
BELEN DE ANDAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
BELEN DE URMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,5,5
BELLA FLOR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,15,15
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,57,57
BETANZOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,119,119
BOLIVAR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,21,21
BOLPEBRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,12,12
BOYUIBE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,15,15
BUENA VISTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,86,86
CABEZAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,52,52
CAIROMA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,19,19
"CAIZA ""D""","anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,32,32
CAJUATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,34,34
CALACOTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,2,2
CALAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,22,22
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,93,93
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,9,9
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,80,80
CAPINOTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,57,57
CAQUIAVIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,6,6
CARACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,40,40
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,186,186
CARAPARI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,122,122
CARIPUYO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,17,17
CARMEN RIVERO TORREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,15,15
CHACARILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
CHALLAPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,61,61
CHAQUI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,16,16
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,27,27
CHARAÑA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,5,5
CHAYANTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
CHIMORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,28,28
CHIPAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,15,15
CHOQUE COTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,34,34
CHUMA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,46,46
CLIZA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,41,41
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,162,162
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,615,615
COLCAPIRHUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,147,147
"COLCHA ""K""","anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
COLLANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,7,7
COLOMI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,53,53
COLPA BELGICA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,30,30
COLQUECHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,48,48
COLQUENCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,15,15
COLQUIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,59,59
COMANCHE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,94,94
COMBAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,5,5
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,55,55
COPACABANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,42,42
CORIPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,40,40
CORO CORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,16,16
COROICO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
CORQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,25,25
COTAGAITA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,70,70
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,47,47
CUATRO CAÑADAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,59,59
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
CUEVO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,26,26
CULPINA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,92,92
CURAHUARA DE CARANGAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,27,27
CURVA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
DESAGUADERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,23,23
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1950,1950
EL CHORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,2,2
EL PUENTE(STC),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,42,42
EL PUENTE(TJA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,164,164
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,123,123
EL VILLAR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,32,32
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,41,41
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,201,201
ESCARA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
EUCALIPTUS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,26,26
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,2,2
EXALTACION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
FERNANDEZ ALONSO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,77,77
FILADELFIA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,47,47
GENERAL SAAVEDRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,54,54
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,25,25
GUANAY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,22,22
GUAQUI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,23,23
GUAYARAMERIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,146,146
GUTIERREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,18,18
HUACARETA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,170,170
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,14,14
HUACHACALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
HUANUNI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,69,69
HUARACAJE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,16,16
HUAYLLAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
ICHOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,7,7
INCAHUASI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,51,51
INGAVI (HUMAITA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
INQUISIVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,47,47
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,57,57
IXIAMAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,42,42
JESUS DE MACHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,27,27
LA ASUNTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,63,63
LA GUARDIA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,127,127
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1224,1224
LAGUNILLAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,17,17
LAJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,25,25
LAS CARRERAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,7,7
LICOMA PAMPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,20,20
LLALLAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,61,61
LLICA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,21,21
LORETO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,28,28
LURIBAY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,41,41
MACHACAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,2,2
MACHARETI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,95,95
MAGDALENA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,43,43
MAIRANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,61,61
MALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,7,7
MAPIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,96,96
MECAPACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,43,43
MINEROS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,42,42
MIZQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,77,77
MOCOMOCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,28,28
MOJOCOYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,233,233
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,180,180
MORO MORO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
MOROCHATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,78,78
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
OCURI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,53,53
OKINAWA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,67,67
OMEREQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,37,37
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,713,713
PADCAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,116,116
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,81,81
PAILON,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,30,30
PALCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,28,28
PALOS BLANCOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,124,124
PAMPA GRANDE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,56,56
PAPEL PAMPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,5,5
PASORAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,8,8
PATACAMAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,38,38
PAZÑA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,22,22
PELECHUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,19,19
POCOATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,28,28
POCONA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,43,43
POJO (CBBA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
POOPO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,20,20
PORCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,18,18
POROMA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,45,45
PORONGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,60,60
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,107,107
PORVENIR,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
POSTRER VALLE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,11,11
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,622,622
PUCARA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,22,22
PUCARANI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,76,76
PUERTO ACOSTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,32,32
PUERTO CARABUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,41,41
PUERTO GONZALO MORENO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,13,13
PUERTO PEREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,11,11
PUERTO QUIJARRO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,59,59
PUERTO RICO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,34,34
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,58,58
PUNA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,95,95
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,32,32
QUIABAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,158,158
QUIME,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,39,39
QUIRUSILLAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,17,17
RAVELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,68,68
REYES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,18,18
RIBERALTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,145,145
ROBORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,35,35
RURRENABAQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,98,98
SABAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,13,13
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,104,104
SACABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,4,4
SACACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,144,144
SAIPINA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,48,48
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,12,12
SAMAIPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,45,45
SAN AGUSTIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,2,2
SAN ANDRES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,49,49
SAN ANDRES DE MACHACA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,3,3
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,9,9
SAN BENITO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,45,45
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,76,76
SAN BUENA VENTURA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,52,52
SAN CARLOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,68,68
SAN IGNACIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,61,61
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,143,143
SAN JAVIER(BNI),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,7,7
SAN JAVIER(STC),"anticoncepcion, prevencionde its y de cancer de cuello uterino",numero de inyectables trimestrales suministra,2006-01-01,29,29
