municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,8,8
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,8,8
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,33,33
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,18,18
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,13,13
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
PORVENIR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,8,8
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
PUNATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,8,8
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,19,19
SAIPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,10,10
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,11,11
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
SAN RAMON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,12,12
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,6,6
TEOPONTE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,5,5
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,3,3
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,4,4
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,1,1
YOTALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-01-01,2,2
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,9,9
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,9,9
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,9,9
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,13,13
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,39,39
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,7,7
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,16,16
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,9,9
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
PATACAMAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,12,12
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PORVENIR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PUERTO SILES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
QUIME,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,35,35
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,10,10
SAN CARLOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,12,12
SAN JOAQUIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,20,20
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SAN RAMON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SANTIAGO DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,5,5
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,8,8
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TIPUANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,4,4
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,3,3
VACAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-02-01,2,2
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,5,5
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,8,8
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,3,3
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,3,3
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,4,4
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2006-03-01,3,3
