municipality,group,variable,month,Nacidos muertos atendidos por personal de sal,TOTAL
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,2,2
CHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
COLLANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,3,3
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-04-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,5,5
VACAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-05-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,3,3
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,2,2
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,1,1
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-06-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,2,2
LLICA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-07-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
ACHOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,2,2
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-08-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,2,2
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-09-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,2,2
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,3,3
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-10-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,2,2
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,3,3
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-11-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
VACAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
YANACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2006-12-01,1,1
