municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,8,8
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,21,21
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,8,8
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,6,6
SAN PEDRO DE TIQUINA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,4,4
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,28,28
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2834,2834
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,6,6
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,5,5
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1065,1065
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,15,15
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,457,457
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,3,3
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2,2
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,8,8
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,15,15
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,9,9
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,274,274
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,58,58
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,25,25
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,37,37
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,53,53
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,13,13
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,75,75
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,24,24
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,61,61
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,1,1
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,10,10
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,36,36
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-01-01,2,2
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,9,9
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,20,20
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,5,5
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,20,20
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,7,7
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,44,44
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,29,29
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,57,57
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,86,86
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,31,31
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,21,21
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,35,35
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,58,58
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,51,51
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1789,1789
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,84,84
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,7,7
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,9,9
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,9,9
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,10,10
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,13,13
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,19,19
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,650,650
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,15,15
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,6,6
FILADELFIA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,200,200
GUANAY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,37,37
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,9,9
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,5,5
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2866,2866
LAS CARRERAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,30,30
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,5,5
MOCOMOCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,34,34
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,148,148
OCURI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,493,493
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,8,8
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,19,19
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,8,8
POROMA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,31,31
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,312,312
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,15,15
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,46,46
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,96,96
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,74,74
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,142,142
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,5,5
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,95,95
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,8,8
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,37,37
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,22,22
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,9,9
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,65,65
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,27,27
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,16,16
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,15,15
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,6,6
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,27,27
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2747,2747
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,918,918
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,10,10
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,409,409
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,15,15
TOLEDO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,174,174
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,39,39
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,18,18
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,4,4
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,18,18
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,43,43
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,17,17
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,2,2
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,44,44
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,23,23
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,68,68
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,3,3
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,8,8
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,18,18
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-02-01,1,1
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,5,5
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,12,12
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,8,8
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,18,18
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,20,20
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,11,11
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3,3
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3,3
BELLA FLOR,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,54,54
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,36,36
BOYUIBE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
CABEZAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,98,98
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,108,108
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,43,43
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2,2
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,17,17
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,34,34
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2,2
CLIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,7,7
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,76,76
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2052,2052
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,50,50
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,6,6
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3,3
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,12,12
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,14,14
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,23,23
COTAGAITA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,24,24
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,9,9
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,469,469
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,19,19
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,27,27
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
GUANAY,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,5,5
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,43,43
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,12,12
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3,3
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,5,5
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,7,7
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3399,3399
LAS CARRERAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,5,5
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,45,45
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,6,6
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,12,12
MOJOCOYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,53,53
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,204,204
OCURI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2,2
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,435,435
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,22,22
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,18,18
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,72,72
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,21,21
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,382,382
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,30,30
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
PUERTO GONZALO MORENO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2,2
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,7,7
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,44,44
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,135,135
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,69,69
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,182,182
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,8,8
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,165,165
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,7,7
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,59,59
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,9,9
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,21,21
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,2,2
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,32,32
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,91,91
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,5,5
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,9,9
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,34,34
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,13,13
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,11,11
SAN MATIAS,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,10,10
SAN PEDRO DE TIQUINA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,3,3
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,4,4
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,8,8
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2005-03-01,22,22
