municipality,group,variable,month,N° de Quimioprofilaxis en menores de 5 años,TOTAL
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
UNCIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
UYUNI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,3,3
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,1,1
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-02-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,8,8
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,26,26
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
COTAGAITA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
CULPINA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,20,20
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,6,6
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
IXIAMAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,3,3
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,6,6
LAGUNILLAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,7,7
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,3,3
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
RURRENABAQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
SAN BUENA VENTURA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
SAN LUCAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,140,140
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
TACOPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,5,5
UYUNI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,2,2
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,3,3
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,9,9
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,4,4
YACO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,6,6
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-03-01,3,3
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,7,7
BETANZOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
BOYUIBE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,17,17
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
CHUMA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,27,27
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,12,12
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,6,6
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,7,7
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,4,4
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,6,6
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,9,9
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,4,4
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
PUERTO QUIJARRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,14,14
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
ROBORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
RURRENABAQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
SAN PEDRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,24,24
SANTA ROSA DEL SARA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,5,5
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,5,5
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,2,2
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,7,7
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,6,6
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,12,12
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
YANACACHI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,1,1
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-04-01,3,3
AIQUILE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,6,6
CABEZAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,7,7
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
CHARAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,13,13
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
COLQUECHACA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
COMARAPA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,5,5
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,22,22
EL PUENTE(STC),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,6,6
FERNANDEZ ALONSO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
GUAQUI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,5,5
MINEROS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
PAILON,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
POJO (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,9,9
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,4,4
SAN JUAN DE YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,14,14
SIPE SIPE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
TACOPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
TOMAVE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,2,2
VILLA RIVERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,1,1
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,5,5
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,3,3
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,7,7
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-05-01,4,4
AIQUILE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,4,4
BETANZOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
CAQUIAVIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,13,13
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,5,5
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,11,11
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
COLOMI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,15,15
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,4,4
MINEROS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,4,4
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,4,4
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
PAILON,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
PORVENIR,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,11,11
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
SAMAIPATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
SAN PEDRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,29,29
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
TAPACARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
TOMAVE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
URIONDO (A. CONCEPCION),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,3,3
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-06-01,11,11
AIQUILE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,5,5
CAPINOTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,10,10
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,3,3
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,9,9
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
COTAGAITA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
COTOCA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,15,15
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
