municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
CHAQUI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,7,7
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,4,4
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,34,34
SICA SICA (VILLA AROMA),tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
TOMAVE,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,2,2
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,4,4
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,4,4
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,4,4
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,5,5
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
RAVELO,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
REYES,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
ROBORE,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,18,18
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
TACACOMA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,4,4
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,2,2
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,3,3
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-04-01,2,2
ACHACACHI,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
CHAQUI,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
IXIAMAS,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,5,5
MACHARETI,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
OMEREQUE,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,8,8
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
VILLA RIVERO,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-05-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,3,3
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,12,12
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,3,3
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,3,3
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
RAVELO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
REYES,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,17,17
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-06-01,2,2
ANCORAIMES,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
CAPINOTA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,2,2
CHAYANTA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,2,2
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,2,2
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,5,5
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,2,2
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
SAN ANDRES,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,18,18
SOPACHUY,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,3,3
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
TOMAVE,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,2,2
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
YOCALLA,tuberculosis,tratamientos iniciados con esquema ll,2009-07-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,3,3
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
CARAPARI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,5,5
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,10,10
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
MOROCHATA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
OCURI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,3,3
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,2,2
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,16,16
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,3,3
TACACOMA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,2,2
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
VILLA RIVERO,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,4,4
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2009-08-01,1,1
AIQUILE,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
BATALLAS,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
BELLA FLOR,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,3,3
COMARAPA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,4,4
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,3,3
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,3,3
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
SAMAIPATA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,15,15
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
TOMAVE,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
TOTORA(CBBA),tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,2,2
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2009-09-01,6,6
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,2,2
CARAPARI,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,3,3
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
HUACAYA (VILLA DE HUACAYA),tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,6,6
MAIRANA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,2,2
POCOATA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
POOPO,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,2,2
SACACA,tuberculosis,tratamientos iniciados con esquema ll,2009-10-01,1,1
