municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,6,6
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,6,6
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
URIONDO (A. CONCEPCION),tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,3,3
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
VILLA RIVERO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,2,2
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
BATALLAS,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,3,3
CAPINOTA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,10,10
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,10,10
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,51,51
MOCOMOCO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
MONTEAGUDO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,8,8
PAMPA GRANDE,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,5,5
PUNA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,4,4
SAN JULIAN,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
SAN LORENZO(TJA),tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,29,29
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,4,4
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
UMALA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
UNCIA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
VALLEGRANDE,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,3,3
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-03-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
CHIMORE,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,7,7
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,2,2
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,14,14
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,3,3
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,41,41
MOJOCOYA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
OCURI,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,4,4
PADCAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
PADILLA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,3,3
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
QUIME,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
ROBORE,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,4,4
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,31,31
SANTIAGO DE HUARI,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,9,9
TACACOMA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,3,3
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,5,5
UNCIA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,4,4
YAPACANI,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
YOTALA,tuberculosis,n de tb extrapulmonar nuevos,2009-04-01,1,1
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
CAMARGO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
CAPINOTA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,8,8
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
CUATRO CAÑADAS,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,15,15
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
GUTIERREZ,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
ICHOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,46,46
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
OMEREQUE,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,5,5
PAILON,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
PALOS BLANCOS,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,3,3
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,4,4
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
SAN JOSE DE CHIQUITOS,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,38,38
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,7,7
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
TEOPONTE,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,3,3
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,2,2
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-05-01,4,4
CAMARGO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
CAMIRI,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,5,5
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,16,16
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
GUANAY,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
LA ASUNTA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,55,55
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,9,9
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
PORTACHUELO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
QUIABAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,5,5
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
SAMAIPATA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,35,35
SANTA ROSA DEL SARA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,5,5
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,3,3
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,4,4
UNCIA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
VILLA RIVERO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-06-01,2,2
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
ANCORAIMES,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
CAMARGO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,8,8
COLQUECHACA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
COLQUENCHA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
COPACABANA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,9,9
LA ASUNTA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,49,49
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,3,3
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,7,7
PALOS BLANCOS,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,3,3
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,7,7
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
SAN BORJA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,28,28
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
UNCIA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,1,1
VITICHI,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,2,2
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-07-01,3,3
ARQUE,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
CAPINOTA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,2,2
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,11,11
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
COMBAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,20,20
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,2,2
GENERAL SAAVEDRA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
GUAYARAMERIN,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,2,2
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,45,45
LAGUNILLAS,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
MAPIRI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,6,6
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,4,4
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,13,13
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,2,2
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,5,5
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
SAN BENITO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
SAN LUCAS,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,21,21
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
TAPACARI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,7,7
TEOPONTE,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
TIPUANI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,3,3
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
YANACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-08-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
"CAIZA ""D""",tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,2,2
CHALLAPATA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,3,3
CLIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,8,8
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
CUATRO CAÑADAS,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,22,22
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
GUANAY,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,2,2
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,65,65
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,4,4
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,5,5
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,4,4
PUCARANI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,2,2
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
QUIME,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,2,2
SAIPINA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,20,20
SORACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,7,7
TAPACARI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,5,5
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
VITICHI,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-09-01,2,2
CAPINOTA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,2,2
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,10,10
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
