municipality,group,variable,month,N° de Sintomáticos Respiratorios,TOTAL
MACHARETI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
MAGDALENA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
MAIRANA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
MAPIRI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,12,12
MECAPACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
MINEROS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,14,14
MIZQUE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,17,17
MOCOMOCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
MOJINETE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
MOJOCOYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
MONTEAGUDO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,39,39
MONTERO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,95,95
MORO MORO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
MOROCHATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
OCURI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
OKINAWA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
OMEREQUE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ORURO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,183,183
PADCAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
PADILLA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
PAILON,tuberculosis,n de sintomaticos respiratorios,2009-01-01,16,16
PALCA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
PALOS BLANCOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,25,25
PAMPA AULLAGAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
PAMPA GRANDE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
PASORAPA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
PATACAMAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
PAZÑA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
POCOATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
POCONA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
POJO (CBBA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
POOPO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
PORCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
POROMA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
PORONGO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
PORTACHUELO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
PORVENIR,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
POTOSI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,118,118
PRESTO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
PUCARANI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
PUERTO ACOSTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,12,12
PUERTO CARABUCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
PUERTO GONZALO MORENO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
PUERTO PEREZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
PUERTO QUIJARRO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
PUERTO RICO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
PUERTO SUAREZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
PUERTO VILLARROEL,tuberculosis,n de sintomaticos respiratorios,2009-01-01,76,76
PUNA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,18,18
PUNATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,21,21
QUIABAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
QUILLACOLLO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,56,56
QUIME,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
QUIRUSILLAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
RAVELO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
REYES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
RIBERALTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,80,80
ROBORE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
RURRENABAQUE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,15,15
SACABA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,98,98
SACACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
SAIPINA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SALINAS DE GARCI MENDOZA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SAMAIPATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SAN AGUSTIN,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SAN ANDRES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
SAN ANDRES DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
SAN ANTONIO DE LOMERIO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
SAN BENITO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SAN BORJA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,39,39
SAN BUENA VENTURA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
SAN CARLOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,14,14
SAN IGNACIO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,15,15
SAN IGNACIO DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,41,41
SAN JAVIER(STC),tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
SAN JOSE DE CHIQUITOS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SAN JUAN DE YAPACANI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
SAN JULIAN,tuberculosis,n de sintomaticos respiratorios,2009-01-01,63,63
SAN LORENZO(PND),tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
SAN LORENZO(TJA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
SAN LUCAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,10,10
SAN MATIAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
SAN MIGUEL DE VELASCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
SAN PEDRO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,16,16
SAN PEDRO DE BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
SAN PEDRO DE TIQUINA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SAN RAFAEL,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
SAN RAMON,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
SANTA CRUZ DE LA SIERRA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1307,1307
SANTA ROSA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SANTA ROSA DEL SARA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
SANTIAGO DE CALLAPA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SANTIAGO DE HUARI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
SANTIAGO DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SANTIVAÑES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SAPAHAQUI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
SICA SICA (VILLA AROMA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
SICAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
SIPE SIPE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
SOPACHUY,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
SORACACHI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
SORATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,27,27
SUCRE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,199,199
TACACOMA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
TACOPAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
TAPACARI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,12,12
TARABUCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,17,17
TARACO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
TARATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
TARIJA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,164,164
TARVITA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,10,10
TEOPONTE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,6,6
TIAWANACU,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
TINGUIPAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,7,7
TIPUANI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,29,29
TIQUIPAYA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,31,31
TIRAQUE (CBBA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,16,16
TITO YUPANQUI (PARQUIPUJIO),tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
TOCO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
TOLATA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,5,5
TOLEDO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
TOMAVE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
TOMINA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,10,10
TORO TORO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
TOTORA(CBBA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
TRINIDAD,tuberculosis,n de sintomaticos respiratorios,2009-01-01,70,70
TUPIZA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,15,15
UNCIA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,8,8
URIONDO (A. CONCEPCION),tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
URUBICHA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
UYUNI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,19,19
VACAS,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
VALLEGRANDE,tuberculosis,n de sintomaticos respiratorios,2009-01-01,13,13
VIACHA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,30,30
VILA VILA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
VILLA MONTES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,29,29
VILLA NUEVA (LOMA ALTA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,4,4
VILLA RIVERO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
VILLA SERRANO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,9,9
VILLA TUNARI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,90,90
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de sintomaticos respiratorios,2009-01-01,11,11
VILLAZON,tuberculosis,n de sintomaticos respiratorios,2009-01-01,22,22
VINTO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,30,30
VITICHI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
WARNES,tuberculosis,n de sintomaticos respiratorios,2009-01-01,69,69
YACO,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
YACUIBA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,119,119
YAMPARAEZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
YANACACHI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
YAPACANI,tuberculosis,n de sintomaticos respiratorios,2009-01-01,63,63
YOCALLA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,1,1
YOTALA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
YUNCHARA,tuberculosis,n de sintomaticos respiratorios,2009-01-01,3,3
ZUDAÑEZ,tuberculosis,n de sintomaticos respiratorios,2009-01-01,2,2
ACACIO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
ACHACACHI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,21,21
ACHOCALLA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,7,7
AIQUILE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,11,11
ALALAY,tuberculosis,n de sintomaticos respiratorios,2009-02-01,8,8
ALCALA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
ANCORAIMES,tuberculosis,n de sintomaticos respiratorios,2009-02-01,9,9
ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
ANTEQUERA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
ANZALDO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,6,6
APOLO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
ARAMPAMPA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
ARANI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,4,4
ARBIETO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
ARQUE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,15,15
ATOCHA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
AUCAPATA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
AYATA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
AYO AYO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de sintomaticos respiratorios,2009-02-01,12,12
AZURDUY,tuberculosis,n de sintomaticos respiratorios,2009-02-01,4,4
BATALLAS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,13,13
BAURES,tuberculosis,n de sintomaticos respiratorios,2009-02-01,4,4
BERMEJO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,35,35
BETANZOS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,8,8
BOLIVAR,tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
BOYUIBE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
BUENA VISTA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,7,7
CABEZAS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,18,18
CAIROMA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
"CAIZA ""D""",tuberculosis,n de sintomaticos respiratorios,2009-02-01,8,8
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,4,4
CALAMARCA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,6,6
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
CAMIRI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,10,10
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,85,85
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,10,10
CARIPUYO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
CARMEN RIVERO TORREZ,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,20,20
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,11,11
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,20,20
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2009-02-01,22,22
CHUMA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,5,5
CLIZA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,4,4
COBIJA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,50,50
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,264,264
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,32,32
"COLCHA ""K""",tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
COLOMI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,10,10
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,12,12
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2009-02-01,10,10
COMANCHE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,2,2
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,6,6
COMBAYA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
CONCEPCION,tuberculosis,n de sintomaticos respiratorios,2009-02-01,15,15
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,23,23
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,1,1
COROICO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,15,15
CORQUE,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,11,11
COTOCA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,19,19
CUATRO CAÑADAS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,24,24
CUEVO,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
CULPINA,tuberculosis,n de sintomaticos respiratorios,2009-02-01,10,10
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2009-02-01,3,3
