municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
SACABA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-05-01,19,19
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,20,20
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,52,52
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,19,19
VALLEGRANDE,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,3,3
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-05-01,1,1
BERMEJO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
CAMARGO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,11,11
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,12,12
COLQUECHACA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,5,5
CORQUE,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,4,4
EL TORNO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,3,3
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,3,3
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,13,13
MAGDALENA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
PAILON,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
PUERTO RICO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
PUNA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,3,3
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-06-01,24,24
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
SAN LORENZO(PND),tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,37,37
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
SICAYA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,7,7
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,2,2
UMALA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,4,4
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
VINTO,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-06-01,1,1
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,5,5
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,23,23
CHAYANTA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,6,6
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,14,14
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
PAILON,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,3,3
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
PUERTO SILES,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
PUNA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
SACABA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
SAN CARLOS,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
SAN JOAQUIN,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,25,25
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,5,5
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
TEOPONTE,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
TOMINA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
UMALA,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,2,2
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,9,9
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-07-01,1,1
ANCORAIMES,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,5,5
CABEZAS,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,8,8
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
CAMARGO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,27,27
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,22,22
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,3,3
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,6,6
LLALLAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,2,2
MOROCHATA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
PAILON,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,39,39
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,3,3
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,6,6
PUNA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,31,31
SORATA,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,7,7
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,8,8
VACAS,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-08-01,3,3
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,13,13
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,6,6
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
COROICO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
CURAHUARA DE CARANGAS,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,8,8
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
GUANAY,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
GUTIERREZ,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
JESUS DE MACHACA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,19,19
LLALLAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,3,3
PUERTO SILES,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
PUERTO SUAREZ,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-09-01,28,28
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,18,18
SIPE SIPE,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,5,5
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,7,7
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,3,3
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
TUPIZA,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,2,2
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
VILLAZON,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-09-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,4,4
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,4,4
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
CONCEPCION,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,6,6
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,6,6
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,12,12
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
GUANAY,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,23,23
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PAZÑA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PELECHUCO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,6,6
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PUNA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,3,3
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
SACABA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
SAN BENITO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-10-01,21,21
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,12,12
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
SAN PEDRO,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
SAN RAMON,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,10,10
