,group,variable,month,NÚMERO DE CONDONES ENTREGADOS < 15,NÚMERO DE CONDONES ENTREGADOS 15 - 19,NÚMERO DE CONDONES ENTREGADOS 20 - 34,NÚMERO DE CONDONES ENTREGADOS 35 - 49,NÚMERO DE CONDONES ENTREGADOS 50 Y +,TOTALES
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,12,0,60
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,16,0,0,16
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,0,12,12
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,15,39,12,0,66
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,84,96,12,0,204
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,60,24,0,108
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,144,84,12,252
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,0,0,48
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,120,36,12,168
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,12,36,12,0,72
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,108,36,0,168
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,60,0,0,72
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,36,0,60
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,24,0,36
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,12,12,72
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,264,12,0,300
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,126,12,0,162
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,0,36,24,0,72
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,49,36,0,85
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,96,12,0,120
CHARAÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,12,0,48
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,180,144,12,348
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,0,24,24
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,13,0,37
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,48,72,0,144
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,24,0,36
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,36,0,84
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,24,0,72
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,96,12,0,120
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,24,12,84
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,216,532,206,3,957
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,0,0,0,0,12
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,72,12,0,84
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,36,84,24,12,156
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,0,0,24
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,132,36,0,192
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,0,0,48
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,60,24,0,96
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,12,0,60
COMANCHE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,84,0,0,84
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,12,12,12,48
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,156,48,0,216
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,192,72,12,288
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,72,0,0,72
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,0,0,24
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,60,24,0,108
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,48,12,0,72
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,36,0,0,0,36
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,134,2523,884,24,3565
EL CHORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,60,0,0,84
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,108,12,0,120
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,48,276,108,0,432
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,96,24,0,132
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,216,36,12,276
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,84,432,96,24,636
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,24,0,48
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,25,0,0,25
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,60,0,60
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,72,252,72,12,408
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,36,0,84
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,12,0,36
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,0,0,48
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,12,0,48
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,24,0,24
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,12,0,36
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,144,48,0,204
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,96,36,12,156
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,36,108,60,0,204
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,24,0,48
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,156,72,0,252
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,144,12,0,156
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,72,785,491,0,1348
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,84,0,0,96
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,12,0,0,24
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,0,0,24
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,432,1152,132,0,1728
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,0,0,24
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,1,0,25
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,96,24,0,120
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,0,0,48
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,0,0,0,12
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,10,0,0,10
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,0,36,36,0,84
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,3,60,24,0,87
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,12,0,48
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,36,252,72,0,360
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,12,0,36
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,72,48,0,132
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,36,312,132,0,492
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,113,25,0,150
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,0,12,0,24
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,52,24,0,88
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,12,0,0,24
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,96,12,0,108
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,0,0,48
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,921,3425,654,1,5001
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,181,168,12,361
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,72,24,0,108
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,72,24,0,108
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,84,108,12,228
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,24,0,24
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,36,0,60
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,36,12,60
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,48,0,48
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,12,0,48
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,36,12,84
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,72,228,96,0,396
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,60,36,0,108
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,48,0,0,60
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,0,48,0,60
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,60,180,60,0,312
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,24,0,60
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,108,744,336,72,1260
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,72,36,0,108
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,24,24,0,60
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,120,0,0,132
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,12,0,60
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,228,1080,240,84,1632
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,108,36,0,144
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,48,216,36,0,300
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,0,0,36
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,72,552,84,0,708
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,36,0,0,48
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,0,0,12
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,12,96,24,0,144
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,84,24,0,120
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,12,0,12
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,28,434,2041,484,96,3083
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,45,0,0,45
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,120,48,0,168
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,84,552,216,0,852
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,0,1,0,1
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,120,24,0,144
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,96,60,0,180
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,12,0,36
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,48,36,0,84
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,12,0,50,12,0,74
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,24,0,0,24
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,12,0,0,24
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,96,24,0,132
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,12,12,0,24
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,36,12,0,48
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,24,84,24,12,144
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,96,24,0,120
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,60,0,0,72
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,72,0,0,72
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,164,40,0,216
SAN LORENZO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,0,72,0,0,72
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2021-01-01,0,12,124,56,24,216
