,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS < 15,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 15 - 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 20 - 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 35 - 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 50 Y +,TOTALES
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,12,6,2,21
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,3,4,0,8
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,11,8,2,21
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,0,1,1
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,0,1,1
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,2,21,7,0,30
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,1,0,0,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,0,4,3,8
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,2,3
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,0,0,0,1
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,2,45,51,27,125
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,2,0,0,2
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,2,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,8,8,6,22
TAHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,1,4,2,7
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,0,1,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,1,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
VILA VILA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,1,1,0,0,2
YAMPARAEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-01-01,0,0,0,1,0,1
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,1,0,2
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,2,0,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,1,109,118,58,286
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,1,3,0,1,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,19,4,0,23
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,3,1,1,5
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,2,2,1,5
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,1,2
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,1,6,2,1,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,6,4,1,11
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,2,0,2
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,2,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,0,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,1,1,16,6,5,29
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,1,6,7,1,15
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,10,5,0,15
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,9,3,2,14
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,3,0,0,3
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,1,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,0,1,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,12,9,0,21
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,5,158,115,36,314
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,3,2,3,8
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,0,1,1
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,2,6,0,0,8
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,1,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,1,0,0,1,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,1,0,1,2
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-02-01,0,0,0,0,1,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,2,1,0,0,3
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,1,2,1,0,4
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,0,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,4,0,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,106,94,21,221
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,15,11,5,31
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,2,8,3,3,16
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,1,0,1
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,0,1,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,2,7,2,1,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,2,89,86,28,205
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,1,1,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,3,28,14,2,47
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,1,6,9,2,18
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,0,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,3,30,9,4,46
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,19,36,32,87
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,0,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,0,1,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,2,4
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,1,0,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,3,5,0,8
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,4,5,4,2,15
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,46,84,57,44,231
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,1,3,3,2,9
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,0,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,1,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,0,0,2
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,1,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,2,0,4
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,2,1,1,4
YAMPARAEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-03-01,0,0,0,0,1,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,1,2
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,5,0,0,5
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,3,0,0,3
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,2,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,10,276,238,69,593
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,2,0,3
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,34,47,33,114
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,2,1,0,3
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,1,7,3,1,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,189,235,90,514
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,49,27,9,85
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,2,2,1,0,5
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,3,1,5
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,4,2,0,6
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,3,1,2,6
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,1,0,2,0,3
SAN LORENZO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,1,0,1,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,15,223,210,139,587
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,8,12,1,21
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,1,2,2,0,5
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,1,0,2
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,0,1,1
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,0,1,0,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2021-04-01,0,0,1,0,0,1
