,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-04-01,0,0,6,8,1,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-04-01,0,0,2,4,0,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,0,8,3,0,11
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,0,1,3,1,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,0,0,5,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,5,4,0,0,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,0,3,0,0,3
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-05-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-06-01,0,1,6,2,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-06-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-06-01,0,0,0,3,0,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-06-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-06-01,0,0,7,2,1,10
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,3,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,0,3,0,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,3,5,0,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,2,1,0,3
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-07-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,0,3,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,1,1,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,0,0,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,10,3,0,13
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,1,1,0,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,1,0,4,0,5
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-08-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,3,6,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,0,5,0,5
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,3,6,0,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,3,0,0,3
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-09-01,0,0,0,4,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,0,0,10,8,0,18
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,0,0,3,3,1,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,0,0,0,4,1,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-10-01,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,8,86,56,2,152
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,0,3,2,0,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,2,30,244,3,279
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,0,8,28,0,36
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,2,25,12,0,39
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,1,1,30,1,0,33
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-11-01,0,0,1,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,0,2,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,22,9,0,31
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,1,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,0,0,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,3,36,2,41
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,3,1,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,0,1,1,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,0,12,4,0,16
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2021-12-01,0,1,18,14,0,33
