,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,5,0,0,9
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,5,8,11,28
CAIROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,2,1,1,9
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,2,1,5
CAJUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,3,0,0,9
CALACOTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,0,2,5,10
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,1,1,8
CAMARGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,1,0,0,5
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,10,9,0,0,19
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,4,1,0,9
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,8,4,14
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,8,29,29,75
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,16,27,8,4,55
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,17,17,38
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,1,2,4
CATACORA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,13,18,16,56
CHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,0,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,20,30,53
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,0,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,2,6,11,25
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,7,2,5,23
CHUMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,2,0,0,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,0,0,0,4
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,17,4,3,25
CLIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,2,1,2,10
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,17,14,16,56
COCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,130,144,17,25,316
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,6,5,9,24
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,10,5,10,32
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,4,3,9
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,4,10,8,27
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,9,6,21
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,2,7,8,23
COMANCHE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,0,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,2,2,5
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,7,4,2,17
CORO CORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,3,8,11,24
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,7,4,12
CORQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,2,1,4
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,5,2,3,15
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,29,22,0,0,51
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,0,1,2,7
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,6,3,2,16
CURVA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,3,3,8
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,0,0,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,190,188,60,67,505
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,5,0,0,8
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,5,2,8
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,21,0,1,31
EL VILLAR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,2,0,0,7
ESCARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
ESCOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,4,1,5
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,0,3
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,4,7,9,21
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,8,0,0,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,6,4,14
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,5,2,5,17
GUAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,3,1,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,10,18,14,5,47
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,3,2,0,5
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,1,2
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,13,12,10,6,41
HUARINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,0,1,3
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,2,0,1,5
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
HUMANATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,0,0,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,3,0,4
ICLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,3,5,10
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,7,6,19
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,5,8,6,26
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,2,0,0,5
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,0,2,1,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,16,8,3,1,28
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,37,31,9,8,85
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,209,212,44,31,496
LA RIVERA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,6,1,2,14
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,3,0,4
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,29,16,65,70,180
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,5,2,8
LURIBAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,2,0,6
MALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,2,1,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,9,2,4,20
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,5,6,5,19
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,6,0,2,14
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,11,4,8,8,31
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,1,4,7
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,0,1,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,41,33,9,11,94
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,4,2,1,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,3,1,5
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,0,0,4
OCURI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,7,3,0,13
OKINAWA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,6,1,1,9
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,96,98,122,135,451
PADCAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,4,0,3,10
PADILLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,8,7,1,1,17
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,16,25,30,30,101
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,5,1,2,13
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,3,1,10
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,2,5
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,1,0,3
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,8,2,13
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,4,32,31,69
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,4,1,3,8
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,1,4,5,16
POOPO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,5,4,10
PORCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,3,0,4,13
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,4,4,5,16
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,8,10,6,31
PORVENIR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,3,8,11
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,89,65,32,28,214
PRESTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,0,1,3
PUCARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,8,0,5,7,20
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,2,4,10
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,9,9,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,2,4,6
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,4,0,0,9
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,4,3,7
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,6,0,0,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,3,1,3,11
PUNA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,1,0,2,8
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,11,0,0,13
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,0,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,23,25,16,26,90
QUIME,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,23,24,49
REYES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,0,0,4
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,43,30,9,6,88
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,1,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,2,37,61,103
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,24,19,6,5,54
SACACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,42,52,92,94,280
SAIPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,0,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,3,3,10
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,3,3,3,12
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,2,2,8
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,2,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,1,4
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,1,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,8,0,1,18
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,1,0,1,5
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,4,0,0,8
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,13,14,3,0,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,20,19,3,8,50
