,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,11,7,19
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,1,1,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,6,5,4,2,17
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,35,38,6,4,83
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
MECAPACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,2,2,2,6
MINEROS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,3,0,0,5
MIZQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,15,12,1,2,30
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,22,17,3,4,46
PADCAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,13,8,3,4,28
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,3,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,1,2
PAZÑA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,0,0,1,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,3,4,2,2,11
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,32,25,2,2,61
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,3,2,0,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,0,0,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,5,6,11,6,28
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,6,0,0,10
SABAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,3,0,3
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,15,15,0,0,30
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,6,0,0,10
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,2,0,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,2,0,4,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,2,4,7
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,2,0,0,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,173,147,2,3,325
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,0,0,0,2
SORACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,6,0,6
SORATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,2,2,4
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,10,10,0,0,20
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,11,0,0,15
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,1,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,7,3,0,0,10
TOMINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,5,7,3,2,17
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,3,3,0,0,6
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,6,3,0,0,9
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,0,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,2,1,0,4
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,0,1,1,4
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,10,9,0,1,20
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,3,1,3,0,7
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,2,0,3
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,2,0,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
ALALAY,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,1,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,7,10,0,0,17
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,6,8
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,3,1,4
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,1,1,0,4
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,2,0,0,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,1,1,4
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,6,4,10
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,2,2,3,9
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,26,35,2,2,65
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,0,1,4,7
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,2,1,1,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,4,1,0,0,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,28,25,16,37,106
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,5,1,2,11
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,1,0,0,3
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,3,0,0,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,4,2,8
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,2,0,3
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,2,5,5,12
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,2,0,2
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,1,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,5,5,7,18
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,20,25,1,0,46
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,3,1,0,5
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,1,1,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,12,6,0,0,18
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,12,16,3,0,31
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,2,19,24,45
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,1,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
PORCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,11,11,1,3,26
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,3,0,0,4
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,0,1,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,5,5,3,16
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,5,6,6,3,20
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,1,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,11,6,0,0,17
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,0,0,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,1,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,11,13,2,2,28
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,0,0,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,128,130,19,12,289
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,0,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,1,2,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,0,0,0,2
SENA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,0,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,3,1,0,4
SORATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,16,9,0,0,25
TACACOMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
TARATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,0,0,0,3
TIPUANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,1,1,2,1,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,6,4,5,13,28
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
TURCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,2,0,2
UNCIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,0,0,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,1,1,2
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,3,1,0,7
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,2,6,0,0,8
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,5,5,1,6,17
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,5,4,0,0,9
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,3,4,0,0,7
YANACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-02-01,0,2,0,0,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,1,0,2,0,3
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,0,0,1,2,3
ARQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,3,5,0,0,8
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,0,1,0,0,1
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-03-01,0,0,0,1,1
