,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,86,81,24,24,215
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,6,3,0,0,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,3,3,2,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,5,0,0,10
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,1,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,3,2,7
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,1,0,0,2
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,2,1,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,1,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,4,1,0,7
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,76,86,30,30,222
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,1,0,2
LORETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,2,2,1,8
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,3,0,0,5
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,0,0,2
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,4,0,0,6
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,21,26,1,6,54
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,1,0,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,110,118,42,41,311
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,3,1,0,6
PADILLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,14,9,3,1,27
PALCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,1,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
PASORAPA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,1,1
POCONA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,1,0,0,3
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,1,2
PORCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,2,3,3,10
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,4,4,5,3,16
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,1,1
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,30,36,9,9,84
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,3,0,0,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,2,0,0,7
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,4,1,1,0,6
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,5,6,5,21
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,8,0,0,13
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,2,0,0,5
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,9,15,1,2,27
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,19,29,0,0,48
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,3,0,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,3,0,0,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,2,0,2,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,44,40,22,19,125
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,1,2,4,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,6,6,0,0,12
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,11,9,1,3,24
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,6,6,13
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,276,281,6,12,575
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,3,0,0,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,0,2,4,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,6,0,6
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,11,2,0,0,13
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,4,2,0,7
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,7,0,0,12
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,3,0,0,8
TOLEDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,1,2
TOMINA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,1,0,2
TORO TORO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,8,9
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,0,1
TRIGAL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,16,30,32,26,104
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,10,3,3,21
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,1,0,2
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,0,4,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,5,0,0,8
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,10,4,1,6,21
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,0,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,2,1,3
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,4,0,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,0,1,0,3
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,12,9,0,1,22
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,7,2,1,1,11
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,4,3,0,9
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,2,0,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,1,0,4
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
ALALAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,2,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,7,2,2,2,13
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,3,0,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,11,11,0,0,22
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,5,6,9,23
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,2,0,0,4
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,7,3,4,17
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,8,1,0,1,10
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,4,2,7
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,20,22,1,2,45
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,0,0,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,1,0,3
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,1,0,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,5,3,2,11
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,5,4,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,1,0,0,4
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,1,0,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,5,4,0,0,9
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,2,3,8
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,37,33,0,2,72
COIPASA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,0,0,3
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,0,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,0,0,0,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,1,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,0,1,4,7
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,4,0,0,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,1,0,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,13,13,0,1,27
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,29,33,13,24,99
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,2,1,2,8
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,2,0,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,0,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,8,5,1,0,14
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,4,2,7
GUANAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,2,1,0,4
HUACARETA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,2,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,2,0,2,5
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,4,6,4,6,20
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,54,40,0,5,99
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,0,0,2
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,6,9,0,0,15
MALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,2,2,4
MECAPACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,1,1,3
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,2,2,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,23,25,0,1,49
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,58,54,6,0,118
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,4,1,0,0,5
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,2,20,28,52
PALCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,4,6,10
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,0,0,2
POCONA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,0,0,2
POOPO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,6,0,0,8
PORCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,3,1,4
PORONGO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,5,0,0,5
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,9,20,5,6,40
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,15,0,0,15
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,4,2,1,7
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,0,1,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,3,3,4,13
REYES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,4,4
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,5,5,8,1,19
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,4,2,1,0,7
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,13,8,1,3,25
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,0,0,0,3
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,3,0,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,4,2,1,0,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,1,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,11,13,2,2,28
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,27,27,11,10,75
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,5,7,0,0,12
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,3,0,0,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,0,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,187,177,22,10,396
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,0,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,2,1,5
SENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,2,0,3
