,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COMANCHE,estado nutricional,total talla normal,2014-01-01,15,15,13,6,3,4,31,25,56
COMARAPA,estado nutricional,total talla normal,2014-01-01,124,149,123,97,106,108,353,354,707
COMBAYA,estado nutricional,total talla normal,2014-01-01,22,14,19,15,26,40,67,69,136
CONCEPCION,estado nutricional,total talla normal,2014-01-01,155,182,105,114,130,150,390,446,836
COPACABANA,estado nutricional,total talla normal,2014-01-01,94,91,62,52,68,77,224,220,444
CORIPATA,estado nutricional,total talla normal,2014-01-01,44,21,18,13,23,25,85,59,144
CORO CORO,estado nutricional,total talla normal,2014-01-01,53,51,43,28,26,37,122,116,238
COROICO,estado nutricional,total talla normal,2014-01-01,28,24,21,14,33,21,82,59,141
CORQUE,estado nutricional,total talla normal,2014-01-01,60,43,41,37,60,33,161,113,274
COTAGAITA,estado nutricional,total talla normal,2014-01-01,144,135,117,139,128,132,389,406,795
COTOCA,estado nutricional,total talla normal,2014-01-01,469,447,298,225,212,210,979,882,1861
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-01-01,2,2,1,1,2,6,5,9,14
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-01-01,125,155,117,105,139,119,381,379,760
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-01-01,8,17,8,8,14,3,30,28,58
CUEVO,estado nutricional,total talla normal,2014-01-01,30,24,25,33,59,60,114,117,231
CULPINA,estado nutricional,total talla normal,2014-01-01,123,153,85,113,135,134,343,400,743
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-01-01,28,35,27,38,41,41,96,114,210
CURVA,estado nutricional,total talla normal,2014-01-01,30,24,12,28,20,18,62,70,132
DESAGUADERO,estado nutricional,total talla normal,2014-01-01,25,43,33,34,19,35,77,112,189
EL ALTO,estado nutricional,total talla normal,2014-01-01,5818,5351,3644,3673,3338,3289,12800,12313,25113
EL CHORO,estado nutricional,total talla normal,2014-01-01,54,52,58,47,30,66,142,165,307
EL PUENTE(STC),estado nutricional,total talla normal,2014-01-01,102,87,74,75,82,69,258,231,489
EL PUENTE(TJA),estado nutricional,total talla normal,2014-01-01,99,71,74,79,80,78,253,228,481
EL TORNO,estado nutricional,total talla normal,2014-01-01,551,294,320,196,242,211,1113,701,1814
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-01-01,189,218,188,185,158,150,535,553,1088
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-01-01,414,377,318,295,255,295,987,967,1954
ESCARA,estado nutricional,total talla normal,2014-01-01,3,6,3,2,3,5,9,13,22
ESCOMA,estado nutricional,total talla normal,2014-01-01,32,37,25,27,36,35,93,99,192
ESMERALDA,estado nutricional,total talla normal,2014-01-01,2,1,4,6,7,7,13,14,27
EUCALIPTUS,estado nutricional,total talla normal,2014-01-01,39,36,55,55,34,41,128,132,260
EUREKA (SANTOS MERCADO),estado nutricional,total talla normal,2014-01-01,10,10,12,10,12,22,34,42,76
EXALTACION,estado nutricional,total talla normal,2014-01-01,7,22,6,10,13,9,26,41,67
FERNANDEZ ALONSO,estado nutricional,total talla normal,2014-01-01,129,134,111,112,168,150,408,396,804
FILADELFIA,estado nutricional,total talla normal,2014-01-01,51,55,46,38,36,31,133,124,257
GENERAL SAAVEDRA,estado nutricional,total talla normal,2014-01-01,149,104,96,104,107,117,352,325,677
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla normal,2014-01-01,73,63,50,41,41,42,164,146,310
GUANAY,estado nutricional,total talla normal,2014-01-01,172,129,114,149,105,130,391,408,799
GUAQUI,estado nutricional,total talla normal,2014-01-01,30,32,21,29,18,15,69,76,145
GUAYARAMERIN,estado nutricional,total talla normal,2014-01-01,531,532,331,340,306,273,1168,1145,2313
GUTIERREZ,estado nutricional,total talla normal,2014-01-01,131,144,119,154,137,182,387,480,867
HUACARETA,estado nutricional,total talla normal,2014-01-01,85,61,56,77,91,96,232,234,466
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla normal,2014-01-01,26,31,19,24,45,47,90,102,192
HUACHACALLA,estado nutricional,total talla normal,2014-01-01,12,25,17,15,16,15,45,55,100
HUANUNI,estado nutricional,total talla normal,2014-01-01,214,235,135,127,142,120,491,482,973
HUARACAJE,estado nutricional,total talla normal,2014-01-01,32,26,17,26,34,25,83,77,160
HUARINA,estado nutricional,total talla normal,2014-01-01,25,30,19,39,26,32,70,101,171
HUATAJATA,estado nutricional,total talla normal,2014-01-01,22,14,18,18,23,28,63,60,123
HUAYLLAMARCA,estado nutricional,total talla normal,2014-01-01,30,26,20,21,32,29,82,76,158
HUMANATA,estado nutricional,total talla normal,2014-01-01,21,7,17,15,7,11,45,33,78
ICHOCA,estado nutricional,total talla normal,2014-01-01,16,29,15,18,20,19,51,66,117
ICLA,estado nutricional,total talla normal,2014-01-01,54,53,45,48,87,106,186,207,393
INGAVI (HUMAITA),estado nutricional,total talla normal,2014-01-01,14,13,10,10,6,12,30,35,65
INQUISIVI,estado nutricional,total talla normal,2014-01-01,64,68,62,61,51,47,177,176,353
IRUPANA (VILLA DE LANZA),estado nutricional,total talla normal,2014-01-01,10,9,10,9,1,4,21,22,43
IXIAMAS,estado nutricional,total talla normal,2014-01-01,86,65,39,52,53,51,178,168,346
JESUS DE MACHACA,estado nutricional,total talla normal,2014-01-01,81,71,32,63,48,60,161,194,355
LA ASUNTA,estado nutricional,total talla normal,2014-01-01,167,139,122,130,118,103,407,372,779
LA GUARDIA,estado nutricional,total talla normal,2014-01-01,726,682,309,275,251,261,1286,1218,2504
LA PAZ,estado nutricional,total talla normal,2014-01-01,4728,4378,2927,2651,3102,2902,10757,9931,20688
LA RIVERA,estado nutricional,total talla normal,2014-01-01,4,6,5,6,1,9,10,21,31
LAGUNILLAS,estado nutricional,total talla normal,2014-01-01,87,55,61,60,118,79,266,194,460
LAJA,estado nutricional,total talla normal,2014-01-01,110,114,104,95,71,75,285,284,569
LAS CARRERAS,estado nutricional,total talla normal,2014-01-01,28,29,19,22,38,40,85,91,176
LICOMA PAMPA,estado nutricional,total talla normal,2014-01-01,17,20,27,11,17,15,61,46,107
LLALLAGUA,estado nutricional,total talla normal,2014-01-01,375,327,256,267,136,147,767,741,1508
LLICA,estado nutricional,total talla normal,2014-01-01,26,32,26,29,13,16,65,77,142
LORETO,estado nutricional,total talla normal,2014-01-01,28,36,20,13,45,57,93,106,199
LURIBAY,estado nutricional,total talla normal,2014-01-01,59,55,29,38,34,31,122,124,246
MACHACAMARCA,estado nutricional,total talla normal,2014-01-01,38,48,29,32,26,25,93,105,198
MACHARETI,estado nutricional,total talla normal,2014-01-01,55,61,53,47,88,81,196,189,385
MAGDALENA,estado nutricional,total talla normal,2014-01-01,110,121,83,89,93,77,286,287,573
MAIRANA,estado nutricional,total talla normal,2014-01-01,3,5,5,3,4,8,12,16,28
MALLA,estado nutricional,total talla normal,2014-01-01,9,24,10,9,15,14,34,47,81
MAPIRI,estado nutricional,total talla normal,2014-01-01,77,79,65,68,67,67,209,214,423
MECAPACA,estado nutricional,total talla normal,2014-01-01,81,58,60,47,57,71,198,176,374
MINEROS,estado nutricional,total talla normal,2014-01-01,210,208,161,148,150,147,521,503,1024
MIZQUE,estado nutricional,total talla normal,2014-01-01,297,286,240,219,171,139,708,644,1352
MOCOMOCO,estado nutricional,total talla normal,2014-01-01,66,73,69,95,87,81,222,249,471
MOJINETE,estado nutricional,total talla normal,2014-01-01,5,4,5,8,5,9,15,21,36
MOJOCOYA,estado nutricional,total talla normal,2014-01-01,55,44,56,39,88,111,199,194,393
MONTEAGUDO,estado nutricional,total talla normal,2014-01-01,233,187,179,214,225,191,637,592,1229
MONTERO,estado nutricional,total talla normal,2014-01-01,1122,1088,773,791,591,622,2486,2501,4987
MORO MORO,estado nutricional,total talla normal,2014-01-01,14,13,18,22,24,15,56,50,106
MOROCHATA,estado nutricional,total talla normal,2014-01-01,83,82,51,56,110,88,244,226,470
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla normal,2014-01-01,12,11,11,6,10,2,33,19,52
NAZACARA DE PACAJES,estado nutricional,total talla normal,2014-01-01,4,4,2,3,10,3,16,10,26
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla normal,2014-01-01,35,10,24,22,36,22,95,54,149
OCURI,estado nutricional,total talla normal,2014-01-01,100,104,58,69,68,57,226,230,456
OKINAWA,estado nutricional,total talla normal,2014-01-01,151,126,110,105,118,108,379,339,718
OMEREQUE,estado nutricional,total talla normal,2014-01-01,97,73,60,53,87,60,244,186,430
ORURO,estado nutricional,total talla normal,2014-01-01,2056,1957,1336,1421,977,1030,4369,4408,8777
PADCAYA,estado nutricional,total talla normal,2014-01-01,166,131,142,134,83,90,391,355,746
PAILON,estado nutricional,total talla normal,2014-01-01,312,247,174,151,183,152,669,550,1219
PALCA,estado nutricional,total talla normal,2014-01-01,152,152,96,79,110,106,358,337,695
PALOS BLANCOS,estado nutricional,total talla normal,2014-01-01,227,231,202,190,263,234,692,655,1347
PAMPA AULLAGAS,estado nutricional,total talla normal,2014-01-01,22,25,15,19,18,19,55,63,118
PAMPA GRANDE,estado nutricional,total talla normal,2014-01-01,10,9,2,4,2,0,14,13,27
PAPEL PAMPA,estado nutricional,total talla normal,2014-01-01,40,46,48,54,58,33,146,133,279
PASORAPA,estado nutricional,total talla normal,2014-01-01,23,22,23,22,36,30,82,74,156
PATACAMAYA,estado nutricional,total talla normal,2014-01-01,141,134,84,101,55,60,280,295,575
PAZÑA,estado nutricional,total talla normal,2014-01-01,51,60,41,40,59,54,151,154,305
PELECHUCO,estado nutricional,total talla normal,2014-01-01,60,44,38,37,43,42,141,123,264
POCOATA,estado nutricional,total talla normal,2014-01-01,155,157,88,113,74,86,317,356,673
POCONA,estado nutricional,total talla normal,2014-01-01,91,90,84,71,73,76,248,237,485
POJO (CBBA),estado nutricional,total talla normal,2014-01-01,107,108,85,72,103,77,295,257,552
POOPO,estado nutricional,total talla normal,2014-01-01,53,56,40,42,37,27,130,125,255
PORCO,estado nutricional,total talla normal,2014-01-01,103,104,56,62,34,45,193,211,404
POROMA,estado nutricional,total talla normal,2014-01-01,100,88,73,100,112,113,285,301,586
PORONGO,estado nutricional,total talla normal,2014-01-01,78,70,63,47,76,84,217,201,418
PORTACHUELO,estado nutricional,total talla normal,2014-01-01,85,90,32,45,28,29,145,164,309
PORVENIR,estado nutricional,total talla normal,2014-01-01,55,49,38,52,54,58,147,159,306
POSTRER VALLE,estado nutricional,total talla normal,2014-01-01,10,7,16,17,19,23,45,47,92
POTOSI,estado nutricional,total talla normal,2014-01-01,1403,1429,818,799,573,504,2794,2732,5526
PRESTO,estado nutricional,total talla normal,2014-01-01,64,49,39,49,59,54,162,152,314
PUCARA,estado nutricional,total talla normal,2014-01-01,12,7,18,1,6,19,36,27,63
PUCARANI,estado nutricional,total talla normal,2014-01-01,189,190,186,184,123,122,498,496,994
PUERTO ACOSTA,estado nutricional,total talla normal,2014-01-01,63,56,56,49,52,36,171,141,312
PUERTO CARABUCO,estado nutricional,total talla normal,2014-01-01,72,74,59,81,64,44,195,199,394
PUERTO GONZALO MORENO,estado nutricional,total talla normal,2014-01-01,102,73,55,70,63,68,220,211,431
PUERTO PEREZ,estado nutricional,total talla normal,2014-01-01,43,37,46,51,66,60,155,148,303
PUERTO RICO,estado nutricional,total talla normal,2014-01-01,59,67,36,40,25,34,120,141,261
PUERTO SILES,estado nutricional,total talla normal,2014-01-01,6,2,14,2,6,14,26,18,44
PUERTO SUAREZ,estado nutricional,total talla normal,2014-01-01,117,111,79,54,44,44,240,209,449
PUERTO VILLARROEL,estado nutricional,total talla normal,2014-01-01,719,660,476,423,455,376,1650,1459,3109
PUNA,estado nutricional,total talla normal,2014-01-01,155,135,128,146,131,118,414,399,813
PUNATA,estado nutricional,total talla normal,2014-01-01,270,227,179,128,101,126,550,481,1031
QUIABAYA,estado nutricional,total talla normal,2014-01-01,15,17,9,21,16,19,40,57,97
QUILLACOLLO,estado nutricional,total talla normal,2014-01-01,1348,1551,1080,1203,1170,1403,3598,4157,7755
QUIME,estado nutricional,total talla normal,2014-01-01,67,86,70,64,56,71,193,221,414
QUIRUSILLAS,estado nutricional,total talla normal,2014-01-01,2,1,0,0,1,3,3,4,7
RAVELO,estado nutricional,total talla normal,2014-01-01,93,94,69,66,111,120,273,280,553
REYES,estado nutricional,total talla normal,2014-01-01,83,101,72,69,73,66,228,236,464
RIBERALTA,estado nutricional,total talla normal,2014-01-01,1033,1045,689,722,569,606,2291,2373,4664
ROBORE,estado nutricional,total talla normal,2014-01-01,142,128,90,86,61,41,293,255,548
RURRENABAQUE,estado nutricional,total talla normal,2014-01-01,122,145,60,61,51,46,233,252,485
SABAYA,estado nutricional,total talla normal,2014-01-01,17,19,21,16,19,16,57,51,108
SACABA,estado nutricional,total talla normal,2014-01-01,1215,1259,840,835,548,535,2603,2629,5232
SACABAMBA,estado nutricional,total talla normal,2014-01-01,41,26,26,22,20,14,87,62,149
SACACA,estado nutricional,total talla normal,2014-01-01,168,124,104,110,72,66,344,300,644
SAIPINA,estado nutricional,total talla normal,2014-01-01,59,58,49,34,30,39,138,131,269
SALINAS DE GARCI MENDOZA,estado nutricional,total talla normal,2014-01-01,103,104,87,83,100,95,290,282,572
SAMAIPATA,estado nutricional,total talla normal,2014-01-01,9,4,1,0,0,0,10,4,14
SAN AGUSTIN,estado nutricional,total talla normal,2014-01-01,4,7,3,4,13,7,20,18,38
SAN ANDRES,estado nutricional,total talla normal,2014-01-01,69,70,49,56,63,61,181,187,368
SAN ANDRES DE MACHACA,estado nutricional,total talla normal,2014-01-01,18,24,17,17,13,20,48,61,109
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla normal,2014-01-01,10,5,5,7,2,3,17,15,32
SAN ANTONIO DE LOMERIO,estado nutricional,total talla normal,2014-01-01,52,67,43,62,137,140,232,269,501
SAN BENITO,estado nutricional,total talla normal,2014-01-01,124,108,71,73,71,71,266,252,518
SAN BORJA,estado nutricional,total talla normal,2014-01-01,364,363,220,188,273,213,857,764,1621
SAN BUENA VENTURA,estado nutricional,total talla normal,2014-01-01,85,83,51,49,65,59,201,191,392
SAN CARLOS,estado nutricional,total talla normal,2014-01-01,161,193,152,167,107,118,420,478,898
SAN IGNACIO,estado nutricional,total talla normal,2014-01-01,224,185,194,173,213,248,631,606,1237
SAN IGNACIO DE VELASCO,estado nutricional,total talla normal,2014-01-01,611,604,427,403,390,371,1428,1378,2806
SAN JAVIER(BNI),estado nutricional,total talla normal,2014-01-01,9,3,15,19,26,36,50,58,108
SAN JAVIER(STC),estado nutricional,total talla normal,2014-01-01,110,128,64,60,75,90,249,278,527
SAN JOAQUIN,estado nutricional,total talla normal,2014-01-01,58,42,31,31,32,36,121,109,230
SAN JOSE DE CHIQUITOS,estado nutricional,total talla normal,2014-01-01,97,100,55,58,66,57,218,215,433
SAN JUAN DE YAPACANI,estado nutricional,total talla normal,2014-01-01,80,81,72,56,42,38,194,175,369
SAN JULIAN,estado nutricional,total talla normal,2014-01-01,436,411,389,389,300,284,1125,1084,2209
SAN LORENZO(PND),estado nutricional,total talla normal,2014-01-01,29,29,13,21,15,21,57,71,128
SAN LORENZO(TJA),estado nutricional,total talla normal,2014-01-01,215,214,192,186,180,170,587,570,1157
SAN LUCAS,estado nutricional,total talla normal,2014-01-01,57,57,49,58,110,120,216,235,451
SAN MATIAS,estado nutricional,total talla normal,2014-01-01,102,98,75,64,81,77,258,239,497
SAN MIGUEL DE VELASCO,estado nutricional,total talla normal,2014-01-01,138,124,117,99,66,66,321,289,610
SAN PABLO DE LIPEZ,estado nutricional,total talla normal,2014-01-01,11,19,10,9,4,7,25,35,60
SAN PEDRO,estado nutricional,total talla normal,2014-01-01,120,124,110,102,137,115,367,341,708
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla normal,2014-01-01,198,189,145,180,102,91,445,460,905
SAN PEDRO DE CURAHUARA,estado nutricional,total talla normal,2014-01-01,37,31,33,25,26,33,96,89,185
SAN PEDRO DE QUEMES,estado nutricional,total talla normal,2014-01-01,8,2,10,5,10,12,28,19,47
SAN PEDRO DE TIQUINA,estado nutricional,total talla normal,2014-01-01,27,21,25,17,33,24,85,62,147
SAN PEDRO(PND),estado nutricional,total talla normal,2014-01-01,10,12,12,11,22,9,44,32,76
SAN RAFAEL,estado nutricional,total talla normal,2014-01-01,59,35,63,58,59,41,181,134,315
SAN RAMON BENI,estado nutricional,total talla normal,2014-01-01,56,47,24,25,30,29,110,101,211
SAN RAMON SCZ,estado nutricional,total talla normal,2014-01-01,85,75,60,51,66,51,211,177,388
SANTA ANA,estado nutricional,total talla normal,2014-01-01,198,131,100,97,96,108,394,336,730
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla normal,2014-01-01,7882,7596,4198,3806,3526,3302,15606,14704,30310
SANTA ROSA,estado nutricional,total talla normal,2014-01-01,82,65,44,43,41,44,167,152,319
SANTA ROSA DEL SARA,estado nutricional,total talla normal,2014-01-01,133,168,109,106,78,79,320,353,673
SANTIAGO DE CALLAPA,estado nutricional,total talla normal,2014-01-01,27,18,21,15,13,15,61,48,109
SANTIAGO DE HUARI,estado nutricional,total talla normal,2014-01-01,73,73,67,72,79,50,219,195,414
SANTIAGO DE HUATA,estado nutricional,total talla normal,2014-01-01,33,33,28,45,20,18,81,96,177
SANTIAGO DE MACHACA,estado nutricional,total talla normal,2014-01-01,21,30,15,26,11,12,47,68,115
SANTIVAÑES,estado nutricional,total talla normal,2014-01-01,78,39,45,35,41,51,164,125,289
SANTUARIO DE QUILLACAS,estado nutricional,total talla normal,2014-01-01,26,23,19,18,25,20,70,61,131
SAPAHAQUI,estado nutricional,total talla normal,2014-01-01,54,51,45,45,46,49,145,145,290
SENA,estado nutricional,total talla normal,2014-01-01,43,35,21,23,22,13,86,71,157
SHINAOTA,estado nutricional,total talla normal,2014-01-01,384,284,228,178,258,242,870,704,1574
SICA SICA (VILLA AROMA),estado nutricional,total talla normal,2014-01-01,119,111,125,108,104,114,348,333,681
SICAYA,estado nutricional,total talla normal,2014-01-01,29,28,23,16,12,13,64,57,121
SIPE SIPE,estado nutricional,total talla normal,2014-01-01,454,458,305,313,242,210,1001,981,1982
SOPACHUY,estado nutricional,total talla normal,2014-01-01,59,46,43,44,66,79,168,169,337
SORACACHI,estado nutricional,total talla normal,2014-01-01,92,98,81,74,103,105,276,277,553
SORATA,estado nutricional,total talla normal,2014-01-01,118,127,117,102,132,127,367,356,723
SUCRE,estado nutricional,total talla normal,2014-01-01,1345,1450,1104,1063,842,839,3291,3352,6643
TACACHI,estado nutricional,total talla normal,2014-01-01,13,10,3,13,9,11,25,34,59
TACACOMA,estado nutricional,total talla normal,2014-01-01,51,40,34,32,29,30,114,102,216
TACOBAMBA,estado nutricional,total talla normal,2014-01-01,63,67,50,67,31,27,144,161,305
TACOPAYA,estado nutricional,total talla normal,2014-01-01,50,53,37,35,35,40,122,128,250
TAHUA,estado nutricional,total talla normal,2014-01-01,12,9,6,8,9,8,27,25,52
TAPACARI,estado nutricional,total talla normal,2014-01-01,184,166,143,168,140,163,467,497,964
TARABUCO,estado nutricional,total talla normal,2014-01-01,94,95,81,76,125,116,300,287,587
TARACO,estado nutricional,total talla normal,2014-01-01,1,0,0,0,0,0,1,0,1
TARATA,estado nutricional,total talla normal,2014-01-01,120,107,74,82,55,72,249,261,510
