,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
CONCEPCION,estado nutricional,total talla baja,2014-01-01,7,2,18,10,13,21,38,33,71
COPACABANA,estado nutricional,total talla baja,2014-01-01,0,1,8,5,8,8,16,14,30
CORIPATA,estado nutricional,total talla baja,2014-01-01,3,0,4,0,0,1,7,1,8
CORO CORO,estado nutricional,total talla baja,2014-01-01,9,6,11,4,8,9,28,19,47
COROICO,estado nutricional,total talla baja,2014-01-01,0,0,2,2,0,0,2,2,4
CORQUE,estado nutricional,total talla baja,2014-01-01,7,4,6,6,7,4,20,14,34
COTAGAITA,estado nutricional,total talla baja,2014-01-01,24,8,49,25,36,32,109,65,174
COTOCA,estado nutricional,total talla baja,2014-01-01,4,1,8,3,3,7,15,11,26
CUATRO CAÑADAS,estado nutricional,total talla baja,2014-01-01,1,1,2,2,0,3,3,6,9
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-01-01,0,0,1,1,4,2,5,3,8
CUEVO,estado nutricional,total talla baja,2014-01-01,1,1,2,5,7,7,10,13,23
CULPINA,estado nutricional,total talla baja,2014-01-01,13,5,6,2,8,4,27,11,38
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-01-01,12,9,10,6,11,5,33,20,53
CURVA,estado nutricional,total talla baja,2014-01-01,4,1,5,6,12,5,21,12,33
DESAGUADERO,estado nutricional,total talla baja,2014-01-01,2,0,2,2,1,1,5,3,8
EL ALTO,estado nutricional,total talla baja,2014-01-01,398,296,536,329,379,285,1313,910,2223
EL CHORO,estado nutricional,total talla baja,2014-01-01,4,1,1,2,3,0,8,3,11
EL PUENTE(STC),estado nutricional,total talla baja,2014-01-01,0,0,1,0,1,2,2,2,4
EL PUENTE(TJA),estado nutricional,total talla baja,2014-01-01,5,2,16,12,23,13,44,27,71
EL TORNO,estado nutricional,total talla baja,2014-01-01,2,2,3,7,7,3,12,12,24
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-01-01,5,6,3,4,9,16,17,26,43
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-01-01,10,3,13,13,17,12,40,28,68
ESCARA,estado nutricional,total talla baja,2014-01-01,0,1,0,0,3,0,3,1,4
ESCOMA,estado nutricional,total talla baja,2014-01-01,3,4,3,6,7,4,13,14,27
EUCALIPTUS,estado nutricional,total talla baja,2014-01-01,7,1,18,4,6,7,31,12,43
EUREKA (SANTOS MERCADO),estado nutricional,total talla baja,2014-01-01,1,0,0,0,2,1,3,1,4
EXALTACION,estado nutricional,total talla baja,2014-01-01,0,0,0,0,1,0,1,0,1
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-01-01,2,1,3,0,7,0,12,1,13
FILADELFIA,estado nutricional,total talla baja,2014-01-01,1,0,5,0,2,0,8,0,8
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-01-01,3,2,4,3,1,6,8,11,19
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-01-01,13,3,25,9,13,28,51,40,91
GUANAY,estado nutricional,total talla baja,2014-01-01,4,1,8,2,13,6,25,9,34
GUAQUI,estado nutricional,total talla baja,2014-01-01,1,1,1,2,0,1,2,4,6
GUAYARAMERIN,estado nutricional,total talla baja,2014-01-01,45,26,43,18,28,27,116,71,187
GUTIERREZ,estado nutricional,total talla baja,2014-01-01,10,11,34,14,35,28,79,53,132
HUACARETA,estado nutricional,total talla baja,2014-01-01,0,0,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-01-01,2,0,3,1,5,2,10,3,13
HUACHACALLA,estado nutricional,total talla baja,2014-01-01,1,1,1,0,3,0,5,1,6
HUANUNI,estado nutricional,total talla baja,2014-01-01,21,20,36,18,32,15,89,53,142
HUARACAJE,estado nutricional,total talla baja,2014-01-01,0,0,0,1,2,0,2,1,3
HUARINA,estado nutricional,total talla baja,2014-01-01,3,2,8,0,7,4,18,6,24
HUATAJATA,estado nutricional,total talla baja,2014-01-01,1,1,2,4,4,2,7,7,14
HUAYLLAMARCA,estado nutricional,total talla baja,2014-01-01,4,7,3,1,3,7,10,15,25
HUMANATA,estado nutricional,total talla baja,2014-01-01,9,4,14,5,6,10,29,19,48
ICHOCA,estado nutricional,total talla baja,2014-01-01,8,6,12,7,16,14,36,27,63
ICLA,estado nutricional,total talla baja,2014-01-01,13,7,20,18,79,70,112,95,207
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-01-01,1,0,1,2,1,2,3,4,7
INQUISIVI,estado nutricional,total talla baja,2014-01-01,4,1,7,4,7,4,18,9,27
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-01-01,0,1,1,0,1,0,2,1,3
IXIAMAS,estado nutricional,total talla baja,2014-01-01,1,2,1,4,4,1,6,7,13
JESUS DE MACHACA,estado nutricional,total talla baja,2014-01-01,6,3,6,6,3,7,15,16,31
LA ASUNTA,estado nutricional,total talla baja,2014-01-01,0,2,4,3,6,2,10,7,17
LA GUARDIA,estado nutricional,total talla baja,2014-01-01,9,16,8,4,9,8,26,28,54
LA PAZ,estado nutricional,total talla baja,2014-01-01,340,208,414,241,248,251,1002,700,1702
LAGUNILLAS,estado nutricional,total talla baja,2014-01-01,0,2,0,0,44,4,44,6,50
LAJA,estado nutricional,total talla baja,2014-01-01,7,6,16,17,13,7,36,30,66
LAS CARRERAS,estado nutricional,total talla baja,2014-01-01,0,1,3,1,6,5,9,7,16
LICOMA PAMPA,estado nutricional,total talla baja,2014-01-01,0,0,3,0,0,0,3,0,3
LLALLAGUA,estado nutricional,total talla baja,2014-01-01,21,12,46,29,26,26,93,67,160
LLICA,estado nutricional,total talla baja,2014-01-01,3,1,4,1,0,0,7,2,9
LORETO,estado nutricional,total talla baja,2014-01-01,4,0,2,1,9,2,15,3,18
LURIBAY,estado nutricional,total talla baja,2014-01-01,2,1,9,3,3,1,14,5,19
MACHACAMARCA,estado nutricional,total talla baja,2014-01-01,4,5,1,4,5,4,10,13,23
MACHARETI,estado nutricional,total talla baja,2014-01-01,3,1,2,0,8,3,13,4,17
MAGDALENA,estado nutricional,total talla baja,2014-01-01,4,4,12,5,4,6,20,15,35
MAIRANA,estado nutricional,total talla baja,2014-01-01,0,0,1,1,1,0,2,1,3
MALLA,estado nutricional,total talla baja,2014-01-01,1,1,2,4,2,2,5,7,12
MAPIRI,estado nutricional,total talla baja,2014-01-01,2,0,5,4,4,6,11,10,21
MECAPACA,estado nutricional,total talla baja,2014-01-01,3,0,4,2,9,3,16,5,21
MINEROS,estado nutricional,total talla baja,2014-01-01,3,1,7,3,14,3,24,7,31
MIZQUE,estado nutricional,total talla baja,2014-01-01,5,9,30,16,8,14,43,39,82
MOCOMOCO,estado nutricional,total talla baja,2014-01-01,5,3,13,9,6,8,24,20,44
MOJINETE,estado nutricional,total talla baja,2014-01-01,1,0,2,1,2,2,5,3,8
MOJOCOYA,estado nutricional,total talla baja,2014-01-01,4,0,11,6,21,33,36,39,75
MONTEAGUDO,estado nutricional,total talla baja,2014-01-01,7,6,11,3,13,20,31,29,60
MONTERO,estado nutricional,total talla baja,2014-01-01,10,7,14,12,14,14,38,33,71
MORO MORO,estado nutricional,total talla baja,2014-01-01,0,1,4,1,2,0,6,2,8
MOROCHATA,estado nutricional,total talla baja,2014-01-01,21,10,44,27,61,72,126,109,235
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-01-01,7,4,6,3,9,1,22,8,30
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla baja,2014-01-01,0,0,2,3,3,0,5,3,8
OCURI,estado nutricional,total talla baja,2014-01-01,20,19,60,43,77,54,157,116,273
OKINAWA,estado nutricional,total talla baja,2014-01-01,2,0,1,0,0,0,3,0,3
OMEREQUE,estado nutricional,total talla baja,2014-01-01,3,1,5,2,1,4,9,7,16
ORURO,estado nutricional,total talla baja,2014-01-01,222,134,314,214,186,171,722,519,1241
PADCAYA,estado nutricional,total talla baja,2014-01-01,1,1,7,8,6,4,14,13,27
PAILON,estado nutricional,total talla baja,2014-01-01,4,1,3,4,4,2,11,7,18
PALCA,estado nutricional,total talla baja,2014-01-01,11,6,18,8,19,14,48,28,76
PALOS BLANCOS,estado nutricional,total talla baja,2014-01-01,3,3,18,15,16,25,37,43,80
PAMPA AULLAGAS,estado nutricional,total talla baja,2014-01-01,1,1,13,5,7,8,21,14,35
PAMPA GRANDE,estado nutricional,total talla baja,2014-01-01,0,0,1,0,0,0,1,0,1
PAPEL PAMPA,estado nutricional,total talla baja,2014-01-01,1,2,5,2,2,0,8,4,12
PASORAPA,estado nutricional,total talla baja,2014-01-01,0,0,13,0,6,9,19,9,28
PATACAMAYA,estado nutricional,total talla baja,2014-01-01,17,8,21,16,12,4,50,28,78
PAZÑA,estado nutricional,total talla baja,2014-01-01,10,1,14,11,14,11,38,23,61
PELECHUCO,estado nutricional,total talla baja,2014-01-01,5,1,9,0,6,3,20,4,24
POCOATA,estado nutricional,total talla baja,2014-01-01,26,13,60,70,75,73,161,156,317
POCONA,estado nutricional,total talla baja,2014-01-01,4,4,19,11,12,13,35,28,63
POJO (CBBA),estado nutricional,total talla baja,2014-01-01,6,4,26,18,10,12,42,34,76
POOPO,estado nutricional,total talla baja,2014-01-01,5,4,9,3,6,4,20,11,31
PORCO,estado nutricional,total talla baja,2014-01-01,23,9,23,12,19,11,65,32,97
POROMA,estado nutricional,total talla baja,2014-01-01,10,11,24,17,41,39,75,67,142
PORONGO,estado nutricional,total talla baja,2014-01-01,0,0,0,0,2,1,2,1,3
PORTACHUELO,estado nutricional,total talla baja,2014-01-01,0,1,3,2,2,2,5,5,10
PORVENIR,estado nutricional,total talla baja,2014-01-01,5,3,3,3,3,3,11,9,20
POSTRER VALLE,estado nutricional,total talla baja,2014-01-01,0,0,1,0,1,0,2,0,2
POTOSI,estado nutricional,total talla baja,2014-01-01,215,124,328,171,128,107,671,402,1073
PRESTO,estado nutricional,total talla baja,2014-01-01,6,8,26,17,54,43,86,68,154
PUCARA,estado nutricional,total talla baja,2014-01-01,1,0,3,0,1,2,5,2,7
PUCARANI,estado nutricional,total talla baja,2014-01-01,5,9,29,17,13,8,47,34,81
PUERTO ACOSTA,estado nutricional,total talla baja,2014-01-01,6,4,9,8,5,5,20,17,37
PUERTO CARABUCO,estado nutricional,total talla baja,2014-01-01,3,3,10,7,16,11,29,21,50
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-01-01,10,4,17,22,31,22,58,48,106
PUERTO PEREZ,estado nutricional,total talla baja,2014-01-01,0,1,3,1,5,2,8,4,12
PUERTO RICO,estado nutricional,total talla baja,2014-01-01,5,0,4,3,9,7,18,10,28
PUERTO SILES,estado nutricional,total talla baja,2014-01-01,0,0,0,0,1,0,1,0,1
PUERTO SUAREZ,estado nutricional,total talla baja,2014-01-01,6,4,4,4,5,1,15,9,24
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-01-01,12,15,26,15,23,22,61,52,113
PUNA,estado nutricional,total talla baja,2014-01-01,16,3,30,27,25,56,71,86,157
PUNATA,estado nutricional,total talla baja,2014-01-01,35,8,25,17,18,14,78,39,117
QUIABAYA,estado nutricional,total talla baja,2014-01-01,8,3,9,8,5,4,22,15,37
QUILLACOLLO,estado nutricional,total talla baja,2014-01-01,32,40,72,96,104,96,208,232,440
QUIME,estado nutricional,total talla baja,2014-01-01,4,3,8,2,6,9,18,14,32
QUIRUSILLAS,estado nutricional,total talla baja,2014-01-01,0,0,0,0,2,0,2,0,2
RAVELO,estado nutricional,total talla baja,2014-01-01,14,13,52,36,91,99,157,148,305
REYES,estado nutricional,total talla baja,2014-01-01,3,3,4,7,4,3,11,13,24
RIBERALTA,estado nutricional,total talla baja,2014-01-01,32,33,84,61,51,50,167,144,311
ROBORE,estado nutricional,total talla baja,2014-01-01,2,1,1,0,1,0,4,1,5
RURRENABAQUE,estado nutricional,total talla baja,2014-01-01,7,3,14,9,9,10,30,22,52
SABAYA,estado nutricional,total talla baja,2014-01-01,3,0,2,3,1,2,6,5,11
SACABA,estado nutricional,total talla baja,2014-01-01,48,28,66,65,40,50,154,143,297
SACABAMBA,estado nutricional,total talla baja,2014-01-01,4,3,5,6,3,3,12,12,24
SACACA,estado nutricional,total talla baja,2014-01-01,41,27,100,54,64,63,205,144,349
SAIPINA,estado nutricional,total talla baja,2014-01-01,1,0,2,0,2,3,5,3,8
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-01-01,18,8,36,19,21,22,75,49,124
SAMAIPATA,estado nutricional,total talla baja,2014-01-01,0,0,0,0,1,1,1,1,2
SAN AGUSTIN,estado nutricional,total talla baja,2014-01-01,1,1,2,0,3,0,6,1,7
SAN ANDRES,estado nutricional,total talla baja,2014-01-01,0,0,0,0,2,2,2,2,4
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-01-01,0,0,1,0,1,2,2,2,4
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-01-01,6,4,3,1,1,3,10,8,18
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-01-01,7,3,11,7,11,17,29,27,56
SAN BENITO,estado nutricional,total talla baja,2014-01-01,3,2,7,8,4,2,14,12,26
SAN BORJA,estado nutricional,total talla baja,2014-01-01,16,12,40,22,52,38,108,72,180
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-01-01,7,1,4,1,7,4,18,6,24
SAN CARLOS,estado nutricional,total talla baja,2014-01-01,3,0,1,3,6,2,10,5,15
SAN IGNACIO,estado nutricional,total talla baja,2014-01-01,8,13,18,13,27,22,53,48,101
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-01-01,19,15,44,32,29,29,92,76,168
SAN JAVIER(STC),estado nutricional,total talla baja,2014-01-01,1,1,0,1,1,1,2,3,5
SAN JOAQUIN,estado nutricional,total talla baja,2014-01-01,0,2,2,2,2,1,4,5,9
SAN JOSE DE CHIQUITOS,estado nutricional,total talla baja,2014-01-01,7,0,1,1,1,2,9,3,12
SAN JUAN DE YAPACANI,estado nutricional,total talla baja,2014-01-01,1,0,2,2,0,0,3,2,5
SAN JULIAN,estado nutricional,total talla baja,2014-01-01,5,3,6,6,12,9,23,18,41
SAN LORENZO(PND),estado nutricional,total talla baja,2014-01-01,1,4,5,0,6,4,12,8,20
SAN LORENZO(TJA),estado nutricional,total talla baja,2014-01-01,11,5,9,10,12,11,32,26,58
SAN LUCAS,estado nutricional,total talla baja,2014-01-01,27,29,28,29,60,92,115,150,265
SAN MATIAS,estado nutricional,total talla baja,2014-01-01,1,0,1,1,3,3,5,4,9
SAN MIGUEL DE VELASCO,estado nutricional,total talla baja,2014-01-01,14,9,20,16,9,14,43,39,82
SAN PABLO DE LIPEZ,estado nutricional,total talla baja,2014-01-01,1,1,2,1,0,1,3,3,6
SAN PEDRO,estado nutricional,total talla baja,2014-01-01,3,1,2,2,1,5,6,8,14
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla baja,2014-01-01,27,20,62,44,47,47,136,111,247
SAN PEDRO DE QUEMES,estado nutricional,total talla baja,2014-01-01,0,0,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,estado nutricional,total talla baja,2014-01-01,3,0,4,2,0,2,7,4,11
SAN PEDRO(PND),estado nutricional,total talla baja,2014-01-01,0,0,2,0,3,0,5,0,5
SAN RAFAEL,estado nutricional,total talla baja,2014-01-01,1,0,6,3,0,1,7,4,11
SAN RAMON BENI,estado nutricional,total talla baja,2014-01-01,2,0,2,0,0,2,4,2,6
SAN RAMON SCZ,estado nutricional,total talla baja,2014-01-01,1,0,2,0,0,1,3,1,4
SANTA ANA,estado nutricional,total talla baja,2014-01-01,8,5,10,5,10,5,28,15,43
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla baja,2014-01-01,104,82,100,60,80,74,284,216,500
SANTA ROSA,estado nutricional,total talla baja,2014-01-01,3,5,4,2,0,2,7,9,16
SANTA ROSA DEL SARA,estado nutricional,total talla baja,2014-01-01,4,0,3,5,2,1,9,6,15
SANTIAGO DE HUARI,estado nutricional,total talla baja,2014-01-01,3,5,8,16,13,6,24,27,51
SANTIAGO DE HUATA,estado nutricional,total talla baja,2014-01-01,5,0,7,0,3,7,15,7,22
SANTIAGO DE MACHACA,estado nutricional,total talla baja,2014-01-01,3,0,10,5,3,12,16,17,33
SANTIVAÑES,estado nutricional,total talla baja,2014-01-01,1,1,3,4,9,7,13,12,25
SANTUARIO DE QUILLACAS,estado nutricional,total talla baja,2014-01-01,2,2,8,7,8,7,18,16,34
SAPAHAQUI,estado nutricional,total talla baja,2014-01-01,7,5,8,5,9,14,24,24,48
SENA,estado nutricional,total talla baja,2014-01-01,1,2,6,3,4,4,11,9,20
SHINAOTA,estado nutricional,total talla baja,2014-01-01,1,1,11,9,5,8,17,18,35
SICA SICA (VILLA AROMA),estado nutricional,total talla baja,2014-01-01,6,6,13,10,20,16,39,32,71
SICAYA,estado nutricional,total talla baja,2014-01-01,4,2,9,12,4,3,17,17,34
SIPE SIPE,estado nutricional,total talla baja,2014-01-01,22,17,49,26,27,25,98,68,166
SOPACHUY,estado nutricional,total talla baja,2014-01-01,8,1,19,12,32,29,59,42,101
SORACACHI,estado nutricional,total talla baja,2014-01-01,8,6,16,10,22,15,46,31,77
SORATA,estado nutricional,total talla baja,2014-01-01,9,4,15,9,21,18,45,31,76
SUCRE,estado nutricional,total talla baja,2014-01-01,25,8,54,46,67,51,146,105,251
TACACOMA,estado nutricional,total talla baja,2014-01-01,0,0,3,0,5,2,8,2,10
TACOBAMBA,estado nutricional,total talla baja,2014-01-01,9,10,19,10,13,10,41,30,71
TACOPAYA,estado nutricional,total talla baja,2014-01-01,11,12,24,23,10,18,45,53,98
TAPACARI,estado nutricional,total talla baja,2014-01-01,30,17,66,47,62,41,158,105,263
TARABUCO,estado nutricional,total talla baja,2014-01-01,13,14,32,28,97,79,142,121,263
TARACO,estado nutricional,total talla baja,2014-01-01,0,0,1,0,0,0,1,0,1
TARATA,estado nutricional,total talla baja,2014-01-01,0,2,5,3,4,5,9,10,19
TARIJA,estado nutricional,total talla baja,2014-01-01,43,24,41,23,28,39,112,86,198
TARVITA,estado nutricional,total talla baja,2014-01-01,15,13,33,22,80,88,128,123,251
TEOPONTE,estado nutricional,total talla baja,2014-01-01,0,0,3,0,0,0,3,0,3
TIAWANACU,estado nutricional,total talla baja,2014-01-01,16,8,9,15,19,7,44,30,74
TINGUIPAYA,estado nutricional,total talla baja,2014-01-01,40,34,56,56,34,34,130,124,254
TIPUANI,estado nutricional,total talla baja,2014-01-01,3,0,5,7,6,2,14,9,23
TIQUIPAYA,estado nutricional,total talla baja,2014-01-01,44,28,35,43,39,35,118,106,224
TIRAQUE (CBBA),estado nutricional,total talla baja,2014-01-01,12,11,26,25,15,14,53,50,103
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla baja,2014-01-01,0,0,0,1,0,2,0,3,3
TOCO,estado nutricional,total talla baja,2014-01-01,0,2,3,1,2,1,5,4,9
TODOS SANTOS,estado nutricional,total talla baja,2014-01-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,total talla baja,2014-01-01,0,2,2,3,1,4,3,9,12
TOLEDO,estado nutricional,total talla baja,2014-01-01,4,3,2,4,5,5,11,12,23
TOMAVE,estado nutricional,total talla baja,2014-01-01,12,6,19,11,12,11,43,28,71
TORO TORO,estado nutricional,total talla baja,2014-01-01,6,9,21,17,40,35,67,61,128
